file,utterance_id,start_ms,end_ms,ref,mb,gl,ft
synthetic_paradigm_glossed.eaf,13,22213,23943,iɲiɲ haku ɘkʰɾiɲkeda,iɲ-iɲ haku ɘkʰɾiɲ-ked-a,1SG-1SG fish sell-PST-FIN,I sold the fish.
synthetic_new_glossed_3.eaf,14,23943,26396,mit̪ʔʈɛn gid̪ɾɘ d̪ɔ kuɲɾɛ menaa,mit̪ʔ-ʈɛn gid̪ɾɘ d̪ɔ kuɲ-ɾɛ mena-a,one-CLF.HUM child TOP well-LOC exist-FIN,One child is in the well.
synthetic_bangla_glossed.eaf,15,26396,29159,am d̪ɔ t̪o̯͡a aɾ d̪aʔ ɲua,am d̪ɔ t̪o̯͡a aɾ d̪aʔ ɲu-a,2SG TOP milk and water drink-FIN,You will drink the milk and the water.
synthetic_see_paradigm.eaf,16,29159,31623,iɲ d̪ɔ ɾan bɘɲ kiɾiɲa,iɲ d̪ɔ ɾan bɘ-ɲ kiɾiɲ-a,1SG TOP medicine NEG-1SG buy-FIN,I do not buy the medicine.
synthetic_see_paradigm.eaf,17,31623,34177,uni d̪ɔ ɖak̚t̪aɾ bai̯ gɔɽɔa,uni d̪ɔ ɖak̚t̪aɾ ba-i̯ gɔɽɔ-a,3SG.ANIM TOP doctor NEG-3SG.ANIM help-FIN,He/she does not help the doctor.
synthetic_paradigm_glossed.eaf,18,34177,36203,alɛaʔ bʰaka d̪ɔ nɔwaa,alɛ-aʔ bʰaka d̪ɔ nɔwa-a,1PL.EXCL-GEN language TOP new-FIN,Our language is new.
synthetic_bangla_glossed.eaf,19,36203,39118,iɲ d̪ɔ ɟɔmaʔ aɾ ɾan kiɾiɲa,iɲ d̪ɔ ɟɔmaʔ aɾ ɾan kiɾiɲ-a,1SG TOP food and medicine buy-FIN,I will buy the food and the medicine.
synthetic_see_paradigm.eaf,20,39118,41643,apɛ d̪ɔ pɘɾsi bapɛ ɾɔɽa,apɛ d̪ɔ pɘɾsi ba-pɛ ɾɔɽ-a,2PL TOP language NEG-2PL speak-FIN,You all do not speak the language.
synthetic_see_paradigm.eaf,21,41643,44048,uni d̪ɔ bid͡ʒli bai̯ ɲɛla,uni d̪ɔ bid͡ʒli ba-i̯ ɲɛl-a,3SG.ANIM TOP lightning NEG-3SG.ANIM see-FIN,He/she does not see the lightning.
synthetic_paradigm_glossed.eaf,22,44048,45794,oŋkoko ʈaka ɲamkeda,oŋko-ko ʈaka ɲam-ked-a,3PL.ANIM-3PL.ANIM money get-PST-FIN,They got the money.
synthetic_see_paradigm.eaf,23,45794,48156,am d̪ɔ ʈaka bam ɲama,am d̪ɔ ʈaka ba-m ɲam-a,2SG TOP money NEG-2SG get-FIN,You do not get the money.
synthetic_paradigm_glossed.eaf,24,48156,49731,unii̯ kat̪ʰa ɔlɔʔkeda,uni-i̯ kat̪ʰa ɔlɔʔ-ked-a,3SG.ANIM-3SG.ANIM word write-PST-FIN,He/she wrote the word.
synthetic_bangla_glossed.eaf,25,49731,51654,apɛ d̪ɔ ɾan kiɾiɲa,apɛ d̪ɔ ɾan kiɾiɲ-a,2PL TOP medicine buy-FIN,You all will buy the medicine.
synthetic_texts_glossed.eaf,26,51654,53453,bəteɾɛ əjup̕ pajaɾ menaa,bəte-ɾɛ əjup̕ pajaɾ mena-a,courtyard.of.house-LOC eventide exist-FIN,There is an eventide in the courtyard of house.
synthetic_texts_glossed.eaf,27,53453,55051,pusi d̪ɔ mɔ̃ɟa,pusi d̪ɔ mɔ̃ɟ-a,cat TOP good-FIN,The cat is good.
synthetic_paradigm_glossed.eaf,28,55051,57085,oŋkoaʔ ahɾan pahaɾand d̪ɔ ɟɘɾuɽa,oŋko-aʔ ahɾan pahaɾand d̪ɔ ɟɘɾuɽ-a,3PL-GEN apparel TOP important-FIN,Their apparel is important.
synthetic_paradigm_glossed.eaf,29,57085,58769,unii̯ ɟɔmaʔ ɘkʰɾiɲkeda,uni-i̯ ɟɔmaʔ ɘkʰɾiɲ-ked-a,3SG.ANIM-3SG.ANIM food sell-PST-FIN,He/she sold the food.
synthetic_new_glossed.eaf,30,58769,60745,uni d̪ɔ t̪o̯͡a ɲuakada,uni d̪ɔ t̪o̯͡a ɲu-akad-a,3SG.ANIM TOP milk drink-PRF-FIN,He/she has drunk the milk.
synthetic_texts_glossed.eaf,31,60745,62318,bilətɾɛ bɛɾõʈ duk menaa,bilət-ɾɛ bɛɾõʈ duk mena-a,england-LOC gripes exist-FIN,There is a gripes in the england.
synthetic_bangla_glossed.eaf,32,62318,64492,oŋko d̪ɔ kat̪ʰa ɾɔɽa,oŋko d̪ɔ kat̪ʰa ɾɔɽ-a,3PL.ANIM TOP word speak-FIN,They will speak the word.
synthetic_see_paradigm.eaf,33,64492,66762,iɲ d̪ɔ pɘɾsi bɘɲ ɔlɔʔa,iɲ d̪ɔ pɘɾsi bɘ-ɲ ɔlɔʔ-a,1SG TOP language NEG-1SG write-FIN,I do not write the language.
synthetic_bangla_glossed.eaf,34,66762,69507,apɛ d̪ɔ ɾan aɾ mɔbaĭl pʰon kiɾiɲa,apɛ d̪ɔ ɾan aɾ mɔbaĭl pʰon kiɾiɲ-a,2PL TOP medicine and mobile.phone buy-FIN,You all will buy the medicine and the mobile phone.
synthetic_see_paradigm.eaf,35,69507,72016,uni d̪ɔ ɟɔmaʔ bai̯ kiɾiɲa,uni d̪ɔ ɟɔmaʔ ba-i̯ kiɾiɲ-a,3SG.ANIM TOP food NEG-3SG.ANIM buy-FIN,He/she does not buy the food.
synthetic_texts_glossed.eaf,36,72016,73704,bʰakaɾa d̪ɔ ɟɘɾuɽa,bʰakaɾa d̪ɔ ɟɘɾuɽ-a,rumour TOP important-FIN,The rumour is important.
synthetic_dialogues_glossed.eaf,37,73704,75823,gaɖa d̪ɔ ɔkaɾɛ menaa,gaɖa d̪ɔ ɔka-ɾɛ mena-a,river TOP where-LOC exist-FIN,Where is the river?
synthetic_texts_glossed.eaf,38,75823,77596,bʰut͡ʃəɽ d̪ɔ sapʰaa,bʰut͡ʃəɽ d̪ɔ sapʰa-a,butcher TOP clean-FIN,The butcher is clean.
synthetic_paradigm_glossed.eaf,39,77596,79561,alɛaʔ pusi d̪ɔ mɔ̃ɟa,alɛ-aʔ pusi d̪ɔ mɔ̃ɟ-a,1PL.EXCL-GEN cat TOP good-FIN,Our cat is good.
synthetic_dialogues_glossed.eaf,40,79561,80828,cɛt̪ʔlɛka meni̯a,cɛt̪ʔ-lɛka men-i̯-a,how-like be.NFIN-3SG.ANIM-FIN,How is he/she?
synthetic_paradigm_glossed.eaf,41,80828,82521,oŋkoko haku kiɾiɲkeda,oŋko-ko haku kiɾiɲ-ked-a,3PL.ANIM-3PL.ANIM fish buy-PST-FIN,They bought the fish.
synthetic_texts_glossed.eaf,42,82521,84127,aɲd͡ʒle d̪ɔ mɔ̃ɟa,aɲd͡ʒle d̪ɔ mɔ̃ɟ-a,handful TOP good-FIN,The handful is good.
synthetic_see_paradigm.eaf,43,84127,86570,am d̪ɔ haku bam ɘkʰɾiɲa,am d̪ɔ haku ba-m ɘkʰɾiɲ-a,2SG TOP fish NEG-2SG sell-FIN,You do not sell the fish.
synthetic_paradigm_glossed.eaf,44,86570,88529,amaʔ t̪o̯͡a d̪ɔ sibila,am-aʔ t̪o̯͡a d̪ɔ sibil-a,2SG-GEN milk TOP tasty-FIN,Your milk is tasty.
synthetic_bangla_glossed.eaf,45,88529,91279,apɛ d̪ɔ ɲɛlɛɾasa aɾ basaŋ ɟɔma,apɛ d̪ɔ ɲɛlɛɾasa aɾ basaŋ ɟɔm-a,2PL TOP honey and cooked.food eat-FIN,You all will eat the honey and the cooked food.
synthetic_paradigm_glossed.eaf,46,91279,93436,amaʔ əpəi̯ d̪ɔ ɟɘɾuɽa,am-aʔ əpəi̯ d̪ɔ ɟɘɾuɽ-a,2SG-GEN fault TOP important-FIN,Your fault is important.
synthetic_texts_glossed.eaf,47,93436,95217,bəteɾɛ ɾan menaa,bəte-ɾɛ ɾan mena-a,courtyard.of.house-LOC medicine exist-FIN,There is a medicine in the courtyard of house.
synthetic_new_glossed_3.eaf,48,95217,97596,mit̪ʔʈɛn bibɔɾɔn d̪ɔ at̪oɾɛ menaa,mit̪ʔ-ʈɛn bibɔɾɔn d̪ɔ at̪o-ɾɛ mena-a,one-CLF.HUM generation TOP village-LOC exist-FIN,One generation is in the village.
synthetic_see_paradigm.eaf,49,97596,98760,oŋkoko kɘmiɛd̪a,oŋko-ko kɘmi-ɛ-d̪a,3PL.ANIM-3PL.ANIM work-PROG-FIN,They are working.
synthetic_see_paradigm.eaf,50,98760,101176,oŋko d̪ɔ ɟɔmaʔ bako ɲama,oŋko d̪ɔ ɟɔmaʔ ba-ko ɲam-a,3PL.ANIM TOP food NEG-3PL.ANIM get-FIN,They do not get the food.
synthetic_bangla_glossed.eaf,51,101176,103240,iɲ d̪ɔ haku ɟɔma,iɲ d̪ɔ haku ɟɔm-a,1SG TOP fish eat-FIN,I will eat the fish.
synthetic_new_glossed.eaf,52,103240,105385,apɛ d̪ɔ ɲɛlɛɾasa ɟɔmakada,apɛ d̪ɔ ɲɛlɛɾasa ɟɔm-akad-a,2PL TOP honey eat-PRF-FIN,You all have eaten the honey.
synthetic_paradigm_glossed.eaf,53,105385,107085,apɛpɛ kat̪ʰa ɔlɔʔkeda,apɛ-pɛ kat̪ʰa ɔlɔʔ-ked-a,2PL-2PL word write-PST-FIN,You all wrote the word.
synthetic_bangla_glossed.eaf,54,107085,109013,apɛ d̪ɔ d̪aʔ ɲua,apɛ d̪ɔ d̪aʔ ɲu-a,2PL TOP water drink-FIN,You all will drink the water.
synthetic_new_glossed_3.eaf,55,109013,111548,mit̪ʔʈɛn hɔɽ d̪ɔ at̪oɾɛ menaa,mit̪ʔ-ʈɛn hɔɽ d̪ɔ at̪o-ɾɛ mena-a,one-CLF.HUM person TOP village-LOC exist-FIN,One person is in the village.
synthetic_bangla_glossed.eaf,56,111548,113419,oŋko d̪ɔ bandʰec̕ ɲɛla,oŋko d̪ɔ bandʰec̕ ɲɛl-a,3PL.ANIM TOP appliance see-FIN,They will see the appliance.
synthetic_paradigm_glossed.eaf,57,113419,115444,uniaʔ bʰaɽa d̪ɔ ɟɘɾuɽa,uni-aʔ bʰaɽa d̪ɔ ɟɘɾuɽ-a,3SG-GEN fare TOP important-FIN,His/her fare is important.
synthetic_bangla_glossed.eaf,58,115444,117436,uni d̪ɔ ɾan ɲama,uni d̪ɔ ɾan ɲam-a,3SG.ANIM TOP medicine get-FIN,He/she will get the medicine.
synthetic_paradigm_glossed.eaf,59,117436,118999,unii̯ sikʰnɘt̪ paɽha͡o̯keda,uni-i̯ sikʰnɘt̪ paɽha͡o̯-ked-a,3SG.ANIM-3SG.ANIM lesson study-PST-FIN,He/she studied the lesson.
synthetic_texts_glossed.eaf,60,118999,120716,bade d̪ɔ mɔ̃ɟa,bade d̪ɔ mɔ̃ɟ-a,heddles.of.loom TOP good-FIN,The heddles of loom is good.
synthetic_dialogues_glossed.eaf,61,120716,124156,uni d̪ɔ pʰɔʈɔ ɲama mɛnkʰan pʰɔʈɔ bai̯ ɲama,uni d̪ɔ pʰɔʈɔ ɲam-a mɛnkʰan pʰɔʈɔ ba-i̯ ɲam-a,3SG.ANIM TOP photo get-FIN but photo NEG-3SG.ANIM get-FIN,"He/she will get the photo, but does not get the photo."
synthetic_dialogues_glossed.eaf,62,124156,127759,iɲ d̪ɔ ʈaka ɲama mɛnkʰan ɟɔmaʔ bɘɲ ɲama,iɲ d̪ɔ ʈaka ɲam-a mɛnkʰan ɟɔmaʔ bɘ-ɲ ɲam-a,1SG TOP money get-FIN but food NEG-1SG get-FIN,"I will get the money, but do not get the food."
synthetic_see_paradigm.eaf,63,127759,130091,uni d̪ɔ d̪aʔ bai̯ ɲua,uni d̪ɔ d̪aʔ ba-i̯ ɲu-a,3SG.ANIM TOP water NEG-3SG.ANIM drink-FIN,He/she does not drink the water.
synthetic_new_glossed_3.eaf,64,130091,132439,mit̪ʔʈɛn hɔɽ d̪ɔ ɟɔlaɾɛ menaa,mit̪ʔ-ʈɛn hɔɽ d̪ɔ ɟɔla-ɾɛ mena-a,one-CLF.HUM person TOP lake-LOC exist-FIN,One person is in the lake.
synthetic_dialogues_glossed.eaf,65,132439,135789,oŋko d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲa mɛnkʰan ɟɔmaʔ bako ɘkʰɾiɲa,oŋko d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲ-a mɛnkʰan ɟɔmaʔ ba-ko ɘkʰɾiɲ-a,3PL.ANIM TOP mobile.phone sell-FIN but food NEG-3PL.ANIM sell-FIN,"They will sell the mobile phone, but do not sell the food."
synthetic_school_dialogue_glossed.eaf,66,135789,138587,hɔlaɾɛ oŋko ɾan ɲɛlkat̪ɛ ɔɽaʔɾɛ calaʔa,hɔla-ɾɛ oŋko ɾan ɲɛl-kat̪ɛ ɔɽaʔ-ɾɛ calaʔ-a,yesterday-LOC 3PL.ANIM medicine see-CVB house-LOC go-FIN,"Yesterday, they see the medicine and then go to the house."
synthetic_bangla_glossed.eaf,67,138587,140500,alɛ d̪ɔ bəki bɔkɔe̯a ɲɛla,alɛ d̪ɔ bəki bɔkɔe̯a ɲɛl-a,1PL.EXCL TOP remainder see-FIN,We will see the remainder.
synthetic_texts_glossed.eaf,68,140500,142150,bilənɾɛ ad͡ʒa menaa,bilən-ɾɛ ad͡ʒa mena-a,wide.expanse.of-LOC grandfather exist-FIN,There is a grandfather in the wide expanse of land.
synthetic_texts_glossed.eaf,69,142150,143885,kat̪ʰa d̪ɔ mɔ̃ɟa,kat̪ʰa d̪ɔ mɔ̃ɟ-a,word TOP good-FIN,The word is good.
synthetic_bangla_glossed.eaf,70,143885,146653,uni d̪ɔ haku aɾ basaŋ ɟɔma,uni d̪ɔ haku aɾ basaŋ ɟɔm-a,3SG.ANIM TOP fish and cooked.food eat-FIN,He/she will eat the fish and the cooked food.
synthetic_texts_glossed.eaf,71,146653,148325,ɟiŋgi d̪ɔ ɟɘɾuɽa,ɟiŋgi d̪ɔ ɟɘɾuɽ-a,life TOP important-FIN,The life is important.
synthetic_see_paradigm.eaf,72,148325,150828,iɲ d̪ɔ gɔgɔ bɘɲ gɔɽɔa,iɲ d̪ɔ gɔgɔ bɘ-ɲ gɔɽɔ-a,1SG TOP mother NEG-1SG help-FIN,I do not help the mother.
synthetic_bangla_glossed.eaf,73,150828,152734,oŋko d̪ɔ kat̪ʰa paɽha͡o̯a,oŋko d̪ɔ kat̪ʰa paɽha͡o̯-a,3PL.ANIM TOP word study-FIN,They will study the word.
synthetic_new_glossed_3.eaf,74,152734,155068,mit̪ʔ ɟɔmaʔ d̪ɔ sɔhɔɽɾɛ menaa,mit̪ʔ ɟɔmaʔ d̪ɔ sɔhɔɽ-ɾɛ mena-a,one food TOP town-LOC exist-FIN,One food is in the town.
synthetic_bangla_glossed.eaf,75,155068,157056,oŋko d̪ɔ əi̯məi̯ ɲɛla,oŋko d̪ɔ əi̯məi̯ ɲɛl-a,3PL.ANIM TOP woman see-FIN,They will see the woman.
synthetic_see_paradigm.eaf,76,157056,158369,oŋkoko t̪ɘŋgiɛd̪a,oŋko-ko t̪ɘŋgi-ɛ-d̪a,3PL.ANIM-3PL.ANIM wait-PROG-FIN,They are waiting.
synthetic_see_paradigm.eaf,77,158369,159698,unii̯ hiɟuʔɛd̪a,uni-i̯ hiɟuʔ-ɛ-d̪a,3SG.ANIM-3SG.ANIM come-PROG-FIN,He/she is coming.
synthetic_new_glossed_3.eaf,78,159698,162209,mit̪ʔʈɛn bʰəgnə d̪ɔ ɟɔlaɾɛ menaa,mit̪ʔ-ʈɛn bʰəgnə d̪ɔ ɟɔla-ɾɛ mena-a,one-CLF.HUM nephew TOP lake-LOC exist-FIN,One nephew is in the lake.
synthetic_paradigm_glossed.eaf,79,162209,164191,alɛaʔ ato posu d̪ɔ mɔ̃ɟa,alɛ-aʔ ato posu d̪ɔ mɔ̃ɟ-a,1PL.EXCL-GEN domestic.animal TOP good-FIN,Our domestic animal is good.
synthetic_texts_glossed.eaf,80,164191,165807,baɾ isi d̪ɔ ɟɘɾuɽa,baɾ isi d̪ɔ ɟɘɾuɽ-a,forty TOP important-FIN,The forty is important.
synthetic_see_paradigm.eaf,81,165807,168104,alɛ d̪ɔ ɟɔmaʔ balɛ kiɾiɲa,alɛ d̪ɔ ɟɔmaʔ ba-lɛ kiɾiɲ-a,1PL.EXCL TOP food NEG-1PL.EXCL buy-FIN,We do not buy the food.
synthetic_see_paradigm.eaf,82,168104,170542,uni d̪ɔ ɟɔmaʔ bai̯ ɟɔma,uni d̪ɔ ɟɔmaʔ ba-i̯ ɟɔm-a,3SG.ANIM TOP food NEG-3SG.ANIM eat-FIN,He/she does not eat the food.
synthetic_school_dialogue_glossed.eaf,83,170542,173138,sɛt̪aʔɾɛ iɲ d̪aʔ ɲukat̪ɛ gaɖaɾɛ kɘmia,sɛt̪aʔ-ɾɛ iɲ d̪aʔ ɲu-kat̪ɛ gaɖa-ɾɛ kɘmi-a,morning-LOC 1SG water drink-CVB river-LOC work-FIN,"In the morning, I drink the water and then work in the river."
synthetic_see_paradigm.eaf,84,173138,174591,alɛlɛ kiɾiɲɛd̪a,alɛ-lɛ kiɾiɲ-ɛ-d̪a,1PL.EXCL-1PL.EXCL buy-PROG-FIN,We are buying.
synthetic_dialogues_glossed.eaf,85,174591,178015,alɛ d̪ɔ kat̪ʰa paɽha͡o̯a mɛnkʰan pɘɾsi balɛ paɽha͡o̯a,alɛ d̪ɔ kat̪ʰa paɽha͡o̯-a mɛnkʰan pɘɾsi ba-lɛ paɽha͡o̯-a,1PL.EXCL TOP word study-FIN but language NEG-1PL.EXCL study-FIN,"We will study the word, but do not study the language."
synthetic_school_dialogue_glossed.eaf,86,178015,180715,hɔlaɾɛ apɛ kat̪ʰa ɔlɔʔkat̪ɛ kuɲɾɛ gat̪ea,hɔla-ɾɛ apɛ kat̪ʰa ɔlɔʔ-kat̪ɛ kuɲ-ɾɛ gat̪e-a,yesterday-LOC 2PL word write-CVB well-LOC play-FIN,"Yesterday, you all write the word and then play in the well."
synthetic_texts_glossed.eaf,87,180715,182370,bʰabna d̪ɔ sapʰaa,bʰabna d̪ɔ sapʰa-a,anxiety TOP clean-FIN,The anxiety is clean.
synthetic_bangla_glossed.eaf,88,182370,184423,oŋko d̪ɔ ɟɔmaʔ ɘkʰɾiɲa,oŋko d̪ɔ ɟɔmaʔ ɘkʰɾiɲ-a,3PL.ANIM TOP food sell-FIN,They will sell the food.
synthetic_bangla_glossed.eaf,89,184423,186582,oŋko d̪ɔ hɔɽ gɔɽɔa,oŋko d̪ɔ hɔɽ gɔɽɔ-a,3PL.ANIM TOP person help-FIN,They will help the person.
synthetic_new_glossed.eaf,90,186582,188787,uni d̪ɔ haku ɟɔmakada,uni d̪ɔ haku ɟɔm-akad-a,3SG.ANIM TOP fish eat-PRF-FIN,He/she has eaten the fish.
synthetic_dialogues_glossed.eaf,91,188787,192169,oŋko d̪ɔ gʰuɽi ɘkʰɾiɲa mɛnkʰan mɔbaĭl pʰon bako ɘkʰɾiɲa,oŋko d̪ɔ gʰuɽi ɘkʰɾiɲ-a mɛnkʰan mɔbaĭl pʰon ba-ko ɘkʰɾiɲ-a,3PL.ANIM TOP watch sell-FIN but mobile.phone NEG-3PL.ANIM sell-FIN,"They will sell the watch, but do not sell the mobile phone."
synthetic_paradigm_glossed.eaf,92,192169,194149,alɛaʔ ɖak̚t̪aɾ d̪ɔ lɘʈua,alɛ-aʔ ɖak̚t̪aɾ d̪ɔ lɘʈu-a,1PL.EXCL-GEN doctor TOP small-FIN,Our doctor is small.
synthetic_paradigm_glossed.eaf,93,194149,195682,apɛpɛ haku ɘkʰɾiɲkeda,apɛ-pɛ haku ɘkʰɾiɲ-ked-a,2PL-2PL fish sell-PST-FIN,You all sold the fish.
synthetic_new_glossed_3.eaf,94,195682,198196,mit̪ʔ ʈaka d̪ɔ gaɖaɾɛ menaa,mit̪ʔ ʈaka d̪ɔ gaɖa-ɾɛ mena-a,one money TOP river-LOC exist-FIN,One money is in the river.
synthetic_bangla_glossed.eaf,95,198196,200187,alɛ d̪ɔ pɘɾsi ɔlɔʔa,alɛ d̪ɔ pɘɾsi ɔlɔʔ-a,1PL.EXCL TOP language write-FIN,We will write the language.
synthetic_bangla_glossed.eaf,96,200187,202351,uni d̪ɔ ɖak̚t̪aɾ gɔɽɔa,uni d̪ɔ ɖak̚t̪aɾ gɔɽɔ-a,3SG.ANIM TOP doctor help-FIN,He/she will help the doctor.
synthetic_texts_glossed.eaf,97,202351,204001,suk̚ɾi d̪ɔ ɾɘskɘa,suk̚ɾi d̪ɔ ɾɘskɘ-a,pig TOP happy-FIN,The pig is happy.
synthetic_bangla_glossed.eaf,98,204001,206034,uni d̪ɔ pʰɔʈɔ ɲama,uni d̪ɔ pʰɔʈɔ ɲam-a,3SG.ANIM TOP photo get-FIN,He/she will get the photo.
synthetic_new_glossed_3.eaf,99,206034,208320,mit̪ʔʈɛn ɟɘliɘ d̪ɔ sɔhɔɽɾɛ menaa,mit̪ʔ-ʈɛn ɟɘliɘ d̪ɔ sɔhɔɽ-ɾɛ mena-a,one-CLF.HUM fisherman TOP town-LOC exist-FIN,One fisherman is in the town.
synthetic_school_dialogue_glossed.eaf,100,208320,211103,sɛt̪aʔɾɛ iɲ kat̪ʰa ɔlɔʔkat̪ɛ kuɲɾɛ hiɟuʔa,sɛt̪aʔ-ɾɛ iɲ kat̪ʰa ɔlɔʔ-kat̪ɛ kuɲ-ɾɛ hiɟuʔ-a,morning-LOC 1SG word write-CVB well-LOC come-FIN,"In the morning, I write the word and then come to the well."
synthetic_see_paradigm.eaf,101,211103,212437,iɲiɲ calaʔɛd̪a,iɲ-iɲ calaʔ-ɛ-d̪a,1SG-1SG go-PROG-FIN,I am going.
synthetic_paradigm_glossed.eaf,102,212437,214406,iɲaʔ pɔɾɔb d̪ɔ nɔwaa,iɲ-aʔ pɔɾɔb d̪ɔ nɔwa-a,1SG-GEN festival TOP new-FIN,My festival is new.
synthetic_bangla_glossed.eaf,103,214406,217322,uni d̪ɔ əpɾug aɾ bʰelə̃uɳɖi ɲɛla,uni d̪ɔ əpɾug aɾ bʰelə̃uɳɖi ɲɛl-a,3SG.ANIM TOP choice and goat.s.dropping see-FIN,He/she will see the choice and the goat's dropping.
synthetic_imperatives_glossed.eaf,104,217322,219414,d̪a.ja kat̪ɛ iskulɾɛ t̪ɘŋgimɛ,d̪a.ja kat̪ɛ iskul-ɾɛ t̪ɘŋgi-mɛ,please Manner school-LOC wait-IMP.2SG.POL,Please wait in the school.
synthetic_school_dialogue_glossed.eaf,105,219414,222186,ɔkt̪ɛɾɛ am pɘɾsi paɽha͡o̯kat̪ɛ gaɖaɾɛ calaʔa,ɔkt̪ɛ-ɾɛ am pɘɾsi paɽha͡o̯-kat̪ɛ gaɖa-ɾɛ calaʔ-a,time-LOC 2SG language study-CVB river-LOC go-FIN,"At that time, you study the language and then go to the river."
synthetic_texts_glossed.eaf,106,222186,224020,basaɾɛ pɔɾɔb menaa,basa-ɾɛ pɔɾɔb mena-a,residence-LOC festival exist-FIN,There is a festival in the residence.
synthetic_bangla_glossed.eaf,107,224020,226138,alɛ d̪ɔ pɘɾsi ɾɔɽa,alɛ d̪ɔ pɘɾsi ɾɔɽ-a,1PL.EXCL TOP language speak-FIN,We will speak the language.
synthetic_new_glossed.eaf,108,226138,228281,iɲ d̪ɔ gʰuɽi ɘkʰɾiɲakada,iɲ d̪ɔ gʰuɽi ɘkʰɾiɲ-akad-a,1SG TOP watch sell-PRF-FIN,I have sold the watch.
synthetic_bangla_glossed.eaf,109,228281,230186,uni d̪ɔ haku kiɾiɲa,uni d̪ɔ haku kiɾiɲ-a,3SG.ANIM TOP fish buy-FIN,He/she will buy the fish.
synthetic_school_dialogue_glossed.eaf,110,230186,232802,t̪eheɲɾɛ am basaŋ ɟɔmkat̪ɛ ɔɽaʔɾɛ kɘmia,t̪eheɲ-ɾɛ am basaŋ ɟɔm-kat̪ɛ ɔɽaʔ-ɾɛ kɘmi-a,today-LOC 2SG cooked.food eat-CVB house-LOC work-FIN,"Today, you eat the cooked food and then work in the house."
synthetic_texts_glossed.eaf,111,232802,234426,bid͡ʒli d̪ɔ mɔ̃ɟa,bid͡ʒli d̪ɔ mɔ̃ɟ-a,lightning TOP good-FIN,The lightning is good.
synthetic_see_paradigm.eaf,112,234426,236979,apɛ d̪ɔ kat̪ʰa bapɛ ɔlɔʔa,apɛ d̪ɔ kat̪ʰa ba-pɛ ɔlɔʔ-a,2PL TOP word NEG-2PL write-FIN,You all do not write the word.
synthetic_texts_glossed.eaf,113,236979,238765,bʰiduk d̪ɔ lɘʈua,bʰiduk d̪ɔ lɘʈu-a,pretender TOP small-FIN,The pretender is small.
synthetic_paradigm_glossed.eaf,114,238765,240357,apɛpɛ pɘɾsi ɔlɔʔkeda,apɛ-pɛ pɘɾsi ɔlɔʔ-ked-a,2PL-2PL language write-PST-FIN,You all wrote the language.
