file,utterance_id,start_ms,end_ms,ref,mb,gl,ft
synthetic_paradigm_glossed.eaf,11,17493,19441,alɛaʔ mɔbaĭl pʰon d̪ɔ ɟɘɾuɽa,alɛ-aʔ mɔbaĭl pʰon d̪ɔ ɟɘɾuɽ-a,1PL.EXCL-GEN mobile.phone TOP important-FIN,Our mobile phone is important.
synthetic_imperatives_glossed.eaf,12,19441,21593,d̪a.ja kat̪ɛ kuɲɾɛ calaʔmɛ,d̪a.ja kat̪ɛ kuɲ-ɾɛ calaʔ-mɛ,please Manner well-LOC go-IMP.2SG.POL,Please go to the well.
synthetic_paradigm_glossed.eaf,13,21593,23319,iɲiɲ haku ɘkʰɾiɲkeda,iɲ-iɲ haku ɘkʰɾiɲ-ked-a,1SG-1SG fish sell-PST-FIN,I sold the fish.
synthetic_new_glossed_3.eaf,14,23319,25704,mit̪ʔʈɛn gid̪ɾɘ d̪ɔ kuɲɾɛ menaa,mit̪ʔ-ʈɛn gid̪ɾɘ d̪ɔ kuɲ-ɾɛ mena-a,one-CLF.HUM child TOP well-LOC exist-FIN,One child is in the well.
synthetic_bangla_glossed.eaf,15,25704,28373,am d̪ɔ t̪o̯͡a aɾ d̪aʔ ɲua,am d̪ɔ t̪o̯͡a aɾ d̪aʔ ɲu-a,2SG TOP milk and water drink-FIN,You will drink the milk and the water.
synthetic_see_paradigm.eaf,16,28373,30922,iɲ d̪ɔ ɾan bɘɲ kiɾiɲa,iɲ d̪ɔ ɾan bɘ-ɲ kiɾiɲ-a,1SG TOP medicine NEG-1SG buy-FIN,I do not buy the medicine.
synthetic_see_paradigm.eaf,17,30922,33474,uni d̪ɔ ɖak̚t̪aɾ bai̯ gɔɽɔa,uni d̪ɔ ɖak̚t̪aɾ ba-i̯ gɔɽɔ-a,3SG.ANIM TOP doctor NEG-3SG.ANIM help-FIN,He/she does not help the doctor.
synthetic_paradigm_glossed.eaf,18,33474,35579,alɛaʔ bʰaka d̪ɔ nɔwaa,alɛ-aʔ bʰaka d̪ɔ nɔwa-a,1PL.EXCL-GEN language TOP new-FIN,Our language is new.
synthetic_bangla_glossed.eaf,19,35579,38254,iɲ d̪ɔ ɟɔmaʔ aɾ ɾan kiɾiɲa,iɲ d̪ɔ ɟɔmaʔ aɾ ɾan kiɾiɲ-a,1SG TOP food and medicine buy-FIN,I will buy the food and the medicine.
synthetic_see_paradigm.eaf,20,38254,40705,apɛ d̪ɔ pɘɾsi bapɛ ɾɔɽa,apɛ d̪ɔ pɘɾsi ba-pɛ ɾɔɽ-a,2PL TOP language NEG-2PL speak-FIN,You all do not speak the language.
synthetic_see_paradigm.eaf,21,40705,43151,uni d̪ɔ bid͡ʒli bai̯ ɲɛla,uni d̪ɔ bid͡ʒli ba-i̯ ɲɛl-a,3SG.ANIM TOP lightning NEG-3SG.ANIM see-FIN,He/she does not see the lightning.
synthetic_paradigm_glossed.eaf,22,43151,44834,oŋkoko ʈaka ɲamkeda,oŋko-ko ʈaka ɲam-ked-a,3PL.ANIM-3PL.ANIM money get-PST-FIN,They got the money.
synthetic_see_paradigm.eaf,23,44834,47184,am d̪ɔ ʈaka bam ɲama,am d̪ɔ ʈaka ba-m ɲam-a,2SG TOP money NEG-2SG get-FIN,You do not get the money.
synthetic_paradigm_glossed.eaf,24,47184,48789,unii̯ kat̪ʰa ɔlɔʔkeda,uni-i̯ kat̪ʰa ɔlɔʔ-ked-a,3SG.ANIM-3SG.ANIM word write-PST-FIN,He/she wrote the word.
synthetic_bangla_glossed.eaf,25,48789,50786,apɛ d̪ɔ ɾan kiɾiɲa,apɛ d̪ɔ ɾan kiɾiɲ-a,2PL TOP medicine buy-FIN,You all will buy the medicine.
synthetic_texts_glossed.eaf,26,50786,52341,bəteɾɛ əjup̕ pajaɾ menaa,bəte-ɾɛ əjup̕ pajaɾ mena-a,courtyard.of.house-LOC eventide exist-FIN,There is an eventide in the courtyard of house.
synthetic_texts_glossed.eaf,27,52341,54135,pusi d̪ɔ mɔ̃ɟa,pusi d̪ɔ mɔ̃ɟ-a,cat TOP good-FIN,The cat is good.
synthetic_paradigm_glossed.eaf,28,54135,56213,oŋkoaʔ ahɾan pahaɾand d̪ɔ ɟɘɾuɽa,oŋko-aʔ ahɾan pahaɾand d̪ɔ ɟɘɾuɽ-a,3PL-GEN apparel TOP important-FIN,Their apparel is important.
synthetic_paradigm_glossed.eaf,29,56213,57796,unii̯ ɟɔmaʔ ɘkʰɾiɲkeda,uni-i̯ ɟɔmaʔ ɘkʰɾiɲ-ked-a,3SG.ANIM-3SG.ANIM food sell-PST-FIN,He/she sold the food.
synthetic_new_glossed.eaf,30,57796,59697,uni d̪ɔ t̪o̯͡a ɲuakada,uni d̪ɔ t̪o̯͡a ɲu-akad-a,3SG.ANIM TOP milk drink-PRF-FIN,He/she has drunk the milk.
synthetic_texts_glossed.eaf,31,59697,61433,bilətɾɛ bɛɾõʈ duk menaa,bilət-ɾɛ bɛɾõʈ duk mena-a,england-LOC gripes exist-FIN,There is a gripes in the england.
synthetic_bangla_glossed.eaf,32,61433,63452,oŋko d̪ɔ kat̪ʰa ɾɔɽa,oŋko d̪ɔ kat̪ʰa ɾɔɽ-a,3PL.ANIM TOP word speak-FIN,They will speak the word.
synthetic_see_paradigm.eaf,33,63452,65981,iɲ d̪ɔ pɘɾsi bɘɲ ɔlɔʔa,iɲ d̪ɔ pɘɾsi bɘ-ɲ ɔlɔʔ-a,1SG TOP language NEG-1SG write-FIN,I do not write the language.
synthetic_bangla_glossed.eaf,34,65981,68857,apɛ d̪ɔ ɾan aɾ mɔbaĭl pʰon kiɾiɲa,apɛ d̪ɔ ɾan aɾ mɔbaĭl pʰon kiɾiɲ-a,2PL TOP medicine and mobile.phone buy-FIN,You all will buy the medicine and the mobile phone.
synthetic_see_paradigm.eaf,35,68857,71265,uni d̪ɔ ɟɔmaʔ bai̯ kiɾiɲa,uni d̪ɔ ɟɔmaʔ ba-i̯ kiɾiɲ-a,3SG.ANIM TOP food NEG-3SG.ANIM buy-FIN,He/she does not buy the food.
synthetic_texts_glossed.eaf,36,71265,72926,bʰakaɾa d̪ɔ ɟɘɾuɽa,bʰakaɾa d̪ɔ ɟɘɾuɽ-a,rumour TOP important-FIN,The rumour is important.
synthetic_dialogues_glossed.eaf,37,72926,74806,gaɖa d̪ɔ ɔkaɾɛ menaa,gaɖa d̪ɔ ɔka-ɾɛ mena-a,river TOP where-LOC exist-FIN,Where is the river?
synthetic_texts_glossed.eaf,38,74806,76536,bʰut͡ʃəɽ d̪ɔ sapʰaa,bʰut͡ʃəɽ d̪ɔ sapʰa-a,butcher TOP clean-FIN,The butcher is clean.
synthetic_paradigm_glossed.eaf,39,76536,78512,alɛaʔ pusi d̪ɔ mɔ̃ɟa,alɛ-aʔ pusi d̪ɔ mɔ̃ɟ-a,1PL.EXCL-GEN cat TOP good-FIN,Our cat is good.
synthetic_dialogues_glossed.eaf,40,78512,79748,cɛt̪ʔlɛka meni̯a,cɛt̪ʔ-lɛka men-i̯-a,how-like be.NFIN-3SG.ANIM-FIN,How is he/she?
synthetic_paradigm_glossed.eaf,41,79748,81596,oŋkoko haku kiɾiɲkeda,oŋko-ko haku kiɾiɲ-ked-a,3PL.ANIM-3PL.ANIM fish buy-PST-FIN,They bought the fish.
synthetic_texts_glossed.eaf,42,81596,83233,aɲd͡ʒle d̪ɔ mɔ̃ɟa,aɲd͡ʒle d̪ɔ mɔ̃ɟ-a,handful TOP good-FIN,The handful is good.
synthetic_see_paradigm.eaf,43,83233,85633,am d̪ɔ haku bam ɘkʰɾiɲa,am d̪ɔ haku ba-m ɘkʰɾiɲ-a,2SG TOP fish NEG-2SG sell-FIN,You do not sell the fish.
synthetic_paradigm_glossed.eaf,44,85633,87618,amaʔ t̪o̯͡a d̪ɔ sibila,am-aʔ t̪o̯͡a d̪ɔ sibil-a,2SG-GEN milk TOP tasty-FIN,Your milk is tasty.
synthetic_bangla_glossed.eaf,45,87618,90357,apɛ d̪ɔ ɲɛlɛɾasa aɾ basaŋ ɟɔma,apɛ d̪ɔ ɲɛlɛɾasa aɾ basaŋ ɟɔm-a,2PL TOP honey and cooked.food eat-FIN,You all will eat the honey and the cooked food.
synthetic_paradigm_glossed.eaf,46,90357,92470,amaʔ əpəi̯ d̪ɔ ɟɘɾuɽa,am-aʔ əpəi̯ d̪ɔ ɟɘɾuɽ-a,2SG-GEN fault TOP important-FIN,Your fault is important.
synthetic_texts_glossed.eaf,47,92470,94116,bəteɾɛ ɾan menaa,bəte-ɾɛ ɾan mena-a,courtyard.of.house-LOC medicine exist-FIN,There is a medicine in the courtyard of house.
synthetic_new_glossed_3.eaf,48,94116,96389,mit̪ʔʈɛn bibɔɾɔn d̪ɔ at̪oɾɛ menaa,mit̪ʔ-ʈɛn bibɔɾɔn d̪ɔ at̪o-ɾɛ mena-a,one-CLF.HUM generation TOP village-LOC exist-FIN,One generation is in the village.
synthetic_see_paradigm.eaf,49,96389,97864,oŋkoko kɘmiɛd̪a,oŋko-ko kɘmi-ɛ-d̪a,3PL.ANIM-3PL.ANIM work-PROG-FIN,They are working.
synthetic_see_paradigm.eaf,50,97864,100110,oŋko d̪ɔ ɟɔmaʔ bako ɲama,oŋko d̪ɔ ɟɔmaʔ ba-ko ɲam-a,3PL.ANIM TOP food NEG-3PL.ANIM get-FIN,They do not get the food.
synthetic_bangla_glossed.eaf,51,100110,102118,iɲ d̪ɔ haku ɟɔma,iɲ d̪ɔ haku ɟɔm-a,1SG TOP fish eat-FIN,I will eat the fish.
synthetic_new_glossed.eaf,52,102118,104103,apɛ d̪ɔ ɲɛlɛɾasa ɟɔmakada,apɛ d̪ɔ ɲɛlɛɾasa ɟɔm-akad-a,2PL TOP honey eat-PRF-FIN,You all have eaten the honey.
synthetic_paradigm_glossed.eaf,53,104103,105633,apɛpɛ kat̪ʰa ɔlɔʔkeda,apɛ-pɛ kat̪ʰa ɔlɔʔ-ked-a,2PL-2PL word write-PST-FIN,You all wrote the word.
synthetic_bangla_glossed.eaf,54,105633,107759,apɛ d̪ɔ d̪aʔ ɲua,apɛ d̪ɔ d̪aʔ ɲu-a,2PL TOP water drink-FIN,You all will drink the water.
synthetic_new_glossed_3.eaf,55,107759,110275,mit̪ʔʈɛn hɔɽ d̪ɔ at̪oɾɛ menaa,mit̪ʔ-ʈɛn hɔɽ d̪ɔ at̪o-ɾɛ mena-a,one-CLF.HUM person TOP village-LOC exist-FIN,One person is in the village.
synthetic_bangla_glossed.eaf,56,110275,112154,oŋko d̪ɔ bandʰec̕ ɲɛla,oŋko d̪ɔ bandʰec̕ ɲɛl-a,3PL.ANIM TOP appliance see-FIN,They will see the appliance.
synthetic_paradigm_glossed.eaf,57,112154,114152,uniaʔ bʰaɽa d̪ɔ ɟɘɾuɽa,uni-aʔ bʰaɽa d̪ɔ ɟɘɾuɽ-a,3SG-GEN fare TOP important-FIN,His/her fare is important.
synthetic_bangla_glossed.eaf,58,114152,116316,uni d̪ɔ ɾan ɲama,uni d̪ɔ ɾan ɲam-a,3SG.ANIM TOP medicine get-FIN,He/she will get the medicine.
synthetic_paradigm_glossed.eaf,59,116316,117855,unii̯ sikʰnɘt̪ paɽha͡o̯keda,uni-i̯ sikʰnɘt̪ paɽha͡o̯-ked-a,3SG.ANIM-3SG.ANIM lesson study-PST-FIN,He/she studied the lesson.
synthetic_texts_glossed.eaf,60,117855,119626,bade d̪ɔ mɔ̃ɟa,bade d̪ɔ mɔ̃ɟ-a,heddles.of.loom TOP good-FIN,The heddles of loom is good.
synthetic_dialogues_glossed.eaf,61,119626,123109,uni d̪ɔ pʰɔʈɔ ɲama mɛnkʰan pʰɔʈɔ bai̯ ɲama,uni d̪ɔ pʰɔʈɔ ɲam-a mɛnkʰan pʰɔʈɔ ba-i̯ ɲam-a,3SG.ANIM TOP photo get-FIN but photo NEG-3SG.ANIM get-FIN,"He/she will get the photo, but does not get the photo."
synthetic_dialogues_glossed.eaf,62,123109,126610,iɲ d̪ɔ ʈaka ɲama mɛnkʰan ɟɔmaʔ bɘɲ ɲama,iɲ d̪ɔ ʈaka ɲam-a mɛnkʰan ɟɔmaʔ bɘ-ɲ ɲam-a,1SG TOP money get-FIN but food NEG-1SG get-FIN,"I will get the money, but do not get the food."
synthetic_see_paradigm.eaf,63,126610,128884,uni d̪ɔ d̪aʔ bai̯ ɲua,uni d̪ɔ d̪aʔ ba-i̯ ɲu-a,3SG.ANIM TOP water NEG-3SG.ANIM drink-FIN,He/she does not drink the water.
synthetic_new_glossed_3.eaf,64,128884,131352,mit̪ʔʈɛn hɔɽ d̪ɔ ɟɔlaɾɛ menaa,mit̪ʔ-ʈɛn hɔɽ d̪ɔ ɟɔla-ɾɛ mena-a,one-CLF.HUM person TOP lake-LOC exist-FIN,One person is in the lake.
synthetic_dialogues_glossed.eaf,65,131352,134852,oŋko d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲa mɛnkʰan ɟɔmaʔ bako ɘkʰɾiɲa,oŋko d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲ-a mɛnkʰan ɟɔmaʔ ba-ko ɘkʰɾiɲ-a,3PL.ANIM TOP mobile.phone sell-FIN but food NEG-3PL.ANIM sell-FIN,"They will sell the mobile phone, but do not sell the food."
synthetic_school_dialogue_glossed.eaf,66,134852,137782,hɔlaɾɛ oŋko ɾan ɲɛlkat̪ɛ ɔɽaʔɾɛ calaʔa,hɔla-ɾɛ oŋko ɾan ɲɛl-kat̪ɛ ɔɽaʔ-ɾɛ calaʔ-a,yesterday-LOC 3PL.ANIM medicine see-CVB house-LOC go-FIN,"Yesterday, they see the medicine and then go to the house."
synthetic_bangla_glossed.eaf,67,137782,139991,alɛ d̪ɔ bəki bɔkɔe̯a ɲɛla,alɛ d̪ɔ bəki bɔkɔe̯a ɲɛl-a,1PL.EXCL TOP remainder see-FIN,We will see the remainder.
synthetic_texts_glossed.eaf,68,139991,141824,bilənɾɛ ad͡ʒa menaa,bilən-ɾɛ ad͡ʒa mena-a,wide.expanse.of-LOC grandfather exist-FIN,There is a grandfather in the wide expanse of land.
synthetic_texts_glossed.eaf,69,141824,143438,kat̪ʰa d̪ɔ mɔ̃ɟa,kat̪ʰa d̪ɔ mɔ̃ɟ-a,word TOP good-FIN,The word is good.
synthetic_bangla_glossed.eaf,70,143438,146156,uni d̪ɔ haku aɾ basaŋ ɟɔma,uni d̪ɔ haku aɾ basaŋ ɟɔm-a,3SG.ANIM TOP fish and cooked.food eat-FIN,He/she will eat the fish and the cooked food.
synthetic_texts_glossed.eaf,71,146156,147857,ɟiŋgi d̪ɔ ɟɘɾuɽa,ɟiŋgi d̪ɔ ɟɘɾuɽ-a,life TOP important-FIN,The life is important.
synthetic_see_paradigm.eaf,72,147857,150355,iɲ d̪ɔ gɔgɔ bɘɲ gɔɽɔa,iɲ d̪ɔ gɔgɔ bɘ-ɲ gɔɽɔ-a,1SG TOP mother NEG-1SG help-FIN,I do not help the mother.
synthetic_bangla_glossed.eaf,73,150355,152235,oŋko d̪ɔ kat̪ʰa paɽha͡o̯a,oŋko d̪ɔ kat̪ʰa paɽha͡o̯-a,3PL.ANIM TOP word study-FIN,They will study the word.
synthetic_new_glossed_3.eaf,74,152235,154649,mit̪ʔ ɟɔmaʔ d̪ɔ sɔhɔɽɾɛ menaa,mit̪ʔ ɟɔmaʔ d̪ɔ sɔhɔɽ-ɾɛ mena-a,one food TOP town-LOC exist-FIN,One food is in the town.
synthetic_bangla_glossed.eaf,75,154649,156750,oŋko d̪ɔ əi̯məi̯ ɲɛla,oŋko d̪ɔ əi̯məi̯ ɲɛl-a,3PL.ANIM TOP woman see-FIN,They will see the woman.
synthetic_see_paradigm.eaf,76,156750,158155,oŋkoko t̪ɘŋgiɛd̪a,oŋko-ko t̪ɘŋgi-ɛ-d̪a,3PL.ANIM-3PL.ANIM wait-PROG-FIN,They are waiting.
synthetic_see_paradigm.eaf,77,158155,159618,unii̯ hiɟuʔɛd̪a,uni-i̯ hiɟuʔ-ɛ-d̪a,3SG.ANIM-3SG.ANIM come-PROG-FIN,He/she is coming.
synthetic_new_glossed_3.eaf,78,159618,162118,mit̪ʔʈɛn bʰəgnə d̪ɔ ɟɔlaɾɛ menaa,mit̪ʔ-ʈɛn bʰəgnə d̪ɔ ɟɔla-ɾɛ mena-a,one-CLF.HUM nephew TOP lake-LOC exist-FIN,One nephew is in the lake.
synthetic_paradigm_glossed.eaf,79,162118,164030,alɛaʔ ato posu d̪ɔ mɔ̃ɟa,alɛ-aʔ ato posu d̪ɔ mɔ̃ɟ-a,1PL.EXCL-GEN domestic.animal TOP good-FIN,Our domestic animal is good.
synthetic_texts_glossed.eaf,80,164030,165558,baɾ isi d̪ɔ ɟɘɾuɽa,baɾ isi d̪ɔ ɟɘɾuɽ-a,forty TOP important-FIN,The forty is important.
synthetic_see_paradigm.eaf,81,165558,168023,alɛ d̪ɔ ɟɔmaʔ balɛ kiɾiɲa,alɛ d̪ɔ ɟɔmaʔ ba-lɛ kiɾiɲ-a,1PL.EXCL TOP food NEG-1PL.EXCL buy-FIN,We do not buy the food.
synthetic_see_paradigm.eaf,82,168023,170492,uni d̪ɔ ɟɔmaʔ bai̯ ɟɔma,uni d̪ɔ ɟɔmaʔ ba-i̯ ɟɔm-a,3SG.ANIM TOP food NEG-3SG.ANIM eat-FIN,He/she does not eat the food.
synthetic_school_dialogue_glossed.eaf,83,170492,173161,sɛt̪aʔɾɛ iɲ d̪aʔ ɲukat̪ɛ gaɖaɾɛ kɘmia,sɛt̪aʔ-ɾɛ iɲ d̪aʔ ɲu-kat̪ɛ gaɖa-ɾɛ kɘmi-a,morning-LOC 1SG water drink-CVB river-LOC work-FIN,"In the morning, I drink the water and then work in the river."
synthetic_see_paradigm.eaf,84,173161,174627,alɛlɛ kiɾiɲɛd̪a,alɛ-lɛ kiɾiɲ-ɛ-d̪a,1PL.EXCL-1PL.EXCL buy-PROG-FIN,We are buying.
synthetic_dialogues_glossed.eaf,85,174627,178000,alɛ d̪ɔ kat̪ʰa paɽha͡o̯a mɛnkʰan pɘɾsi balɛ paɽha͡o̯a,alɛ d̪ɔ kat̪ʰa paɽha͡o̯-a mɛnkʰan pɘɾsi ba-lɛ paɽha͡o̯-a,1PL.EXCL TOP word study-FIN but language NEG-1PL.EXCL study-FIN,"We will study the word, but do not study the language."
synthetic_school_dialogue_glossed.eaf,86,178000,180729,hɔlaɾɛ apɛ kat̪ʰa ɔlɔʔkat̪ɛ kuɲɾɛ gat̪ea,hɔla-ɾɛ apɛ kat̪ʰa ɔlɔʔ-kat̪ɛ kuɲ-ɾɛ gat̪e-a,yesterday-LOC 2PL word write-CVB well-LOC play-FIN,"Yesterday, you all write the word and then play in the well."
synthetic_texts_glossed.eaf,87,180729,182514,bʰabna d̪ɔ sapʰaa,bʰabna d̪ɔ sapʰa-a,anxiety TOP clean-FIN,The anxiety is clean.
synthetic_bangla_glossed.eaf,88,182514,184384,oŋko d̪ɔ ɟɔmaʔ ɘkʰɾiɲa,oŋko d̪ɔ ɟɔmaʔ ɘkʰɾiɲ-a,3PL.ANIM TOP food sell-FIN,They will sell the food.
synthetic_bangla_glossed.eaf,89,184384,186495,oŋko d̪ɔ hɔɽ gɔɽɔa,oŋko d̪ɔ hɔɽ gɔɽɔ-a,3PL.ANIM TOP person help-FIN,They will help the person.
synthetic_new_glossed.eaf,90,186495,188693,uni d̪ɔ haku ɟɔmakada,uni d̪ɔ haku ɟɔm-akad-a,3SG.ANIM TOP fish eat-PRF-FIN,He/she has eaten the fish.
synthetic_dialogues_glossed.eaf,91,188693,192073,oŋko d̪ɔ gʰuɽi ɘkʰɾiɲa mɛnkʰan mɔbaĭl pʰon bako ɘkʰɾiɲa,oŋko d̪ɔ gʰuɽi ɘkʰɾiɲ-a mɛnkʰan mɔbaĭl pʰon ba-ko ɘkʰɾiɲ-a,3PL.ANIM TOP watch sell-FIN but mobile.phone NEG-3PL.ANIM sell-FIN,"They will sell the watch, but do not sell the mobile phone."
synthetic_paradigm_glossed.eaf,92,192073,193948,alɛaʔ ɖak̚t̪aɾ d̪ɔ lɘʈua,alɛ-aʔ ɖak̚t̪aɾ d̪ɔ lɘʈu-a,1PL.EXCL-GEN doctor TOP small-FIN,Our doctor is small.
synthetic_paradigm_glossed.eaf,93,193948,195578,apɛpɛ haku ɘkʰɾiɲkeda,apɛ-pɛ haku ɘkʰɾiɲ-ked-a,2PL-2PL fish sell-PST-FIN,You all sold the fish.
synthetic_new_glossed_3.eaf,94,195578,197931,mit̪ʔ ʈaka d̪ɔ gaɖaɾɛ menaa,mit̪ʔ ʈaka d̪ɔ gaɖa-ɾɛ mena-a,one money TOP river-LOC exist-FIN,One money is in the river.
synthetic_bangla_glossed.eaf,95,197931,199966,alɛ d̪ɔ pɘɾsi ɔlɔʔa,alɛ d̪ɔ pɘɾsi ɔlɔʔ-a,1PL.EXCL TOP language write-FIN,We will write the language.
synthetic_bangla_glossed.eaf,96,199966,201973,uni d̪ɔ ɖak̚t̪aɾ gɔɽɔa,uni d̪ɔ ɖak̚t̪aɾ gɔɽɔ-a,3SG.ANIM TOP doctor help-FIN,He/she will help the doctor.
synthetic_texts_glossed.eaf,97,201973,203538,suk̚ɾi d̪ɔ ɾɘskɘa,suk̚ɾi d̪ɔ ɾɘskɘ-a,pig TOP happy-FIN,The pig is happy.
synthetic_bangla_glossed.eaf,98,203538,205643,uni d̪ɔ pʰɔʈɔ ɲama,uni d̪ɔ pʰɔʈɔ ɲam-a,3SG.ANIM TOP photo get-FIN,He/she will get the photo.
synthetic_new_glossed_3.eaf,99,205643,207938,mit̪ʔʈɛn ɟɘliɘ d̪ɔ sɔhɔɽɾɛ menaa,mit̪ʔ-ʈɛn ɟɘliɘ d̪ɔ sɔhɔɽ-ɾɛ mena-a,one-CLF.HUM fisherman TOP town-LOC exist-FIN,One fisherman is in the town.
synthetic_school_dialogue_glossed.eaf,100,207938,210816,sɛt̪aʔɾɛ iɲ kat̪ʰa ɔlɔʔkat̪ɛ kuɲɾɛ hiɟuʔa,sɛt̪aʔ-ɾɛ iɲ kat̪ʰa ɔlɔʔ-kat̪ɛ kuɲ-ɾɛ hiɟuʔ-a,morning-LOC 1SG word write-CVB well-LOC come-FIN,"In the morning, I write the word and then come to the well."
synthetic_see_paradigm.eaf,101,210816,212039,iɲiɲ calaʔɛd̪a,iɲ-iɲ calaʔ-ɛ-d̪a,1SG-1SG go-PROG-FIN,I am going.
synthetic_paradigm_glossed.eaf,102,212039,213933,iɲaʔ pɔɾɔb d̪ɔ nɔwaa,iɲ-aʔ pɔɾɔb d̪ɔ nɔwa-a,1SG-GEN festival TOP new-FIN,My festival is new.
synthetic_bangla_glossed.eaf,103,213933,216742,uni d̪ɔ əpɾug aɾ bʰelə̃uɳɖi ɲɛla,uni d̪ɔ əpɾug aɾ bʰelə̃uɳɖi ɲɛl-a,3SG.ANIM TOP choice and goat.s.dropping see-FIN,He/she will see the choice and the goat's dropping.
synthetic_imperatives_glossed.eaf,104,216742,218716,d̪a.ja kat̪ɛ iskulɾɛ t̪ɘŋgimɛ,d̪a.ja kat̪ɛ iskul-ɾɛ t̪ɘŋgi-mɛ,please Manner school-LOC wait-IMP.2SG.POL,Please wait in the school.
synthetic_school_dialogue_glossed.eaf,105,218716,221441,ɔkt̪ɛɾɛ am pɘɾsi paɽha͡o̯kat̪ɛ gaɖaɾɛ calaʔa,ɔkt̪ɛ-ɾɛ am pɘɾsi paɽha͡o̯-kat̪ɛ gaɖa-ɾɛ calaʔ-a,time-LOC 2SG language study-CVB river-LOC go-FIN,"At that time, you study the language and then go to the river."
synthetic_texts_glossed.eaf,106,221441,223220,basaɾɛ pɔɾɔb menaa,basa-ɾɛ pɔɾɔb mena-a,residence-LOC festival exist-FIN,There is a festival in the residence.
synthetic_bangla_glossed.eaf,107,223220,225331,alɛ d̪ɔ pɘɾsi ɾɔɽa,alɛ d̪ɔ pɘɾsi ɾɔɽ-a,1PL.EXCL TOP language speak-FIN,We will speak the language.
synthetic_new_glossed.eaf,108,225331,227528,iɲ d̪ɔ gʰuɽi ɘkʰɾiɲakada,iɲ d̪ɔ gʰuɽi ɘkʰɾiɲ-akad-a,1SG TOP watch sell-PRF-FIN,I have sold the watch.
synthetic_bangla_glossed.eaf,109,227528,229583,uni d̪ɔ haku kiɾiɲa,uni d̪ɔ haku kiɾiɲ-a,3SG.ANIM TOP fish buy-FIN,He/she will buy the fish.
synthetic_school_dialogue_glossed.eaf,110,229583,232509,t̪eheɲɾɛ am basaŋ ɟɔmkat̪ɛ ɔɽaʔɾɛ kɘmia,t̪eheɲ-ɾɛ am basaŋ ɟɔm-kat̪ɛ ɔɽaʔ-ɾɛ kɘmi-a,today-LOC 2SG cooked.food eat-CVB house-LOC work-FIN,"Today, you eat the cooked food and then work in the house."
synthetic_texts_glossed.eaf,111,232509,234160,bid͡ʒli d̪ɔ mɔ̃ɟa,bid͡ʒli d̪ɔ mɔ̃ɟ-a,lightning TOP good-FIN,The lightning is good.
synthetic_see_paradigm.eaf,112,234160,236624,apɛ d̪ɔ kat̪ʰa bapɛ ɔlɔʔa,apɛ d̪ɔ kat̪ʰa ba-pɛ ɔlɔʔ-a,2PL TOP word NEG-2PL write-FIN,You all do not write the word.
synthetic_texts_glossed.eaf,113,236624,238330,bʰiduk d̪ɔ lɘʈua,bʰiduk d̪ɔ lɘʈu-a,pretender TOP small-FIN,The pretender is small.
synthetic_paradigm_glossed.eaf,114,238330,240122,apɛpɛ pɘɾsi ɔlɔʔkeda,apɛ-pɛ pɘɾsi ɔlɔʔ-ked-a,2PL-2PL language write-PST-FIN,You all wrote the language.
