file,utterance_id,start_ms,end_ms,bangla,english,ipa_original,ipa_normalized,segments,glosses,notes
synthetic_see_paradigm.eaf,16,28373,30922,[SYN.16] আমি ঔষধ কিনব না।,I do not buy the medicine.,iɲ d̪ɔ ɾan bɘɲ kiɾiɲa.,iɲ d̪ɔ ɾan bɘ-ɲ kiɾiɲ-a.,iɲ | d̪ɔ | ɾan | bɘ-ɲ | kiɾiɲ-a,1SG | TOP | medicine | NEG-1SG | buy-FIN,Synthetic NEG-pronominal marker pattern from the see paradigm.
synthetic_see_paradigm.eaf,17,30922,33474,[SYN.17] সে ডাক্তার সাহায্য করবে না।,He/she does not help the doctor.,uni d̪ɔ ɖak̚t̪aɾ bai̯ gɔɽɔa.,uni d̪ɔ ɖak̚t̪aɾ ba-i̯ gɔɽɔ-a.,uni | d̪ɔ | ɖak̚t̪aɾ | ba-i̯ | gɔɽɔ-a,3SG.ANIM | TOP | doctor | NEG-3SG.ANIM | help-FIN,
synthetic_paradigm_glossed.eaf,18,33474,35579,[SYN.18] আমাদের ভাষা নতুন।,Our language is new.,alɛaʔ bʰaka d̪ɔ nɔwaa.,alɛ-aʔ bʰaka d̪ɔ nɔwa-a.,alɛ-aʔ | bʰaka | d̪ɔ | nɔwa-a,1PL.EXCL-GEN | language | TOP | new-FIN,Synthetic GEN + TOP clause using pronoun markers from ground truth.
synthetic_bangla_glossed.eaf,19,35579,38254,[SYN.19] আমি খাবার ও ঔষধ কিনব।,I will buy the food and the medicine.,iɲ d̪ɔ ɟɔmaʔ aɾ ɾan kiɾiɲa.,iɲ d̪ɔ ɟɔmaʔ aɾ ɾan kiɾiɲ-a.,iɲ | d̪ɔ | ɟɔmaʔ | aɾ | ɾan | kiɾiɲ-a,1SG | TOP | food | and | medicine | buy-FIN,
synthetic_see_paradigm.eaf,20,38254,40705,[SYN.20] তোমরা ভাষা বলবে না।,You all do not speak the language.,apɛ d̪ɔ pɘɾsi bapɛ ɾɔɽa.,apɛ d̪ɔ pɘɾsi ba-pɛ ɾɔɽ-a.,apɛ | d̪ɔ | pɘɾsi | ba-pɛ | ɾɔɽ-a,2PL | TOP | language | NEG-2PL | speak-FIN,
synthetic_see_paradigm.eaf,21,40705,43151,[SYN.21] সে বিদ্যুৎ দেখবে না।,He/she does not see the lightning.,uni d̪ɔ bid͡ʒli bai̯ ɲɛla.,uni d̪ɔ bid͡ʒli ba-i̯ ɲɛl-a.,uni | d̪ɔ | bid͡ʒli | ba-i̯ | ɲɛl-a,3SG.ANIM | TOP | lightning | NEG-3SG.ANIM | see-FIN,
synthetic_paradigm_glossed.eaf,22,43151,44834,[SYN.22] তারা টাকা পেয়েছিল।,They got the money.,oŋkoko ʈaka ɲamkeda.,oŋko-ko ʈaka ɲam-ked-a.,oŋko-ko | ʈaka | ɲam-ked-a,3PL.ANIM-3PL.ANIM | money | get-PST-FIN,
synthetic_see_paradigm.eaf,23,44834,47184,[SYN.23] তুমি টাকা পাবে না।,You do not get the money.,am d̪ɔ ʈaka bam ɲama.,am d̪ɔ ʈaka ba-m ɲam-a.,am | d̪ɔ | ʈaka | ba-m | ɲam-a,2SG | TOP | money | NEG-2SG | get-FIN,
synthetic_paradigm_glossed.eaf,24,47184,48789,[SYN.24] সে কথা লিখেছিল।,He/she wrote the word.,unii̯ kat̪ʰa ɔlɔʔkeda.,uni-i̯ kat̪ʰa ɔlɔʔ-ked-a.,uni-i̯ | kat̪ʰa | ɔlɔʔ-ked-a,3SG.ANIM-3SG.ANIM | word | write-PST-FIN,
synthetic_bangla_glossed.eaf,25,48789,50786,[SYN.25] তোমরা ঔষধ কিনবে।,You all will buy the medicine.,apɛ d̪ɔ ɾan kiɾiɲa.,apɛ d̪ɔ ɾan kiɾiɲ-a.,apɛ | d̪ɔ | ɾan | kiɾiɲ-a,2PL | TOP | medicine | buy-FIN,
synthetic_texts_glossed.eaf,26,50786,52341,[SYN.26] উঠানে একটি সন্ধ্যাকাল আছে।,There is an eventide in the courtyard of house.,bəteɾɛ əjup̕ pajaɾ menaa.,bəte-ɾɛ əjup̕ pajaɾ mena-a.,bəte-ɾɛ | əjup̕ pajaɾ | mena-a,courtyard.of.house-LOC | eventide | exist-FIN,
synthetic_texts_glossed.eaf,27,52341,54135,[SYN.27] বিড়ালটি ভালো।,The cat is good.,pusi d̪ɔ mɔ̃ɟa.,pusi d̪ɔ mɔ̃ɟ-a.,pusi | d̪ɔ | mɔ̃ɟ-a,cat | TOP | good-FIN,
synthetic_paradigm_glossed.eaf,28,54135,56213,[SYN.28] তাদের পোশাক গুরুত্বপূর্ণ।,Their apparel is important.,oŋkoaʔ ahɾan pahaɾand d̪ɔ ɟɘɾuɽa.,oŋko-aʔ ahɾan pahaɾand d̪ɔ ɟɘɾuɽ-a.,oŋko-aʔ | ahɾan pahaɾand | d̪ɔ | ɟɘɾuɽ-a,3PL-GEN | apparel | TOP | important-FIN,
synthetic_paradigm_glossed.eaf,29,56213,57796,[SYN.29] সে খাবার বিক্রি করেছিল।,He/she sold the food.,unii̯ ɟɔmaʔ ɘkʰɾiɲkeda.,uni-i̯ ɟɔmaʔ ɘkʰɾiɲ-ked-a.,uni-i̯ | ɟɔmaʔ | ɘkʰɾiɲ-ked-a,3SG.ANIM-3SG.ANIM | food | sell-PST-FIN,
synthetic_new_glossed.eaf,30,57796,59697,[SYN.30] সে দুধ পান করেছে।,He/she has drunk the milk.,uni d̪ɔ t̪o̯͡a ɲuakada.,uni d̪ɔ t̪o̯͡a ɲu-akad-a.,uni | d̪ɔ | t̪o̯͡a | ɲu-akad-a,3SG.ANIM | TOP | milk | drink-PRF-FIN,Synthetic PRF-FIN clause modeled on akad-a rows.
synthetic_texts_glossed.eaf,31,59697,61433,[SYN.31] ইংল্যান্ডে একটি পেট ব্যথা আছে।,There is a gripes in the england.,bilətɾɛ bɛɾõʈ duk menaa.,bilət-ɾɛ bɛɾõʈ duk mena-a.,bilət-ɾɛ | bɛɾõʈ duk | mena-a,england-LOC | gripes | exist-FIN,Synthetic LOC + exist-FIN clause matching mena-a patterns.
synthetic_bangla_glossed.eaf,32,61433,63452,[SYN.32] তারা কথা বলবে।,They will speak the word.,oŋko d̪ɔ kat̪ʰa ɾɔɽa.,oŋko d̪ɔ kat̪ʰa ɾɔɽ-a.,oŋko | d̪ɔ | kat̪ʰa | ɾɔɽ-a,3PL.ANIM | TOP | word | speak-FIN,
synthetic_see_paradigm.eaf,33,63452,65981,[SYN.33] আমি ভাষা লিখব না।,I do not write the language.,iɲ d̪ɔ pɘɾsi bɘɲ ɔlɔʔa.,iɲ d̪ɔ pɘɾsi bɘ-ɲ ɔlɔʔ-a.,iɲ | d̪ɔ | pɘɾsi | bɘ-ɲ | ɔlɔʔ-a,1SG | TOP | language | NEG-1SG | write-FIN,
synthetic_bangla_glossed.eaf,34,65981,68857,[SYN.34] তোমরা ঔষধ ও মোবাইল ফোন কিনবে।,You all will buy the medicine and the mobile phone.,apɛ d̪ɔ ɾan aɾ mɔbaĭl pʰon kiɾiɲa.,apɛ d̪ɔ ɾan aɾ mɔbaĭl pʰon kiɾiɲ-a.,apɛ | d̪ɔ | ɾan | aɾ | mɔbaĭl pʰon | kiɾiɲ-a,2PL | TOP | medicine | and | mobile.phone | buy-FIN,
synthetic_see_paradigm.eaf,35,68857,71265,[SYN.35] সে খাবার কিনবে না।,He/she does not buy the food.,uni d̪ɔ ɟɔmaʔ bai̯ kiɾiɲa.,uni d̪ɔ ɟɔmaʔ ba-i̯ kiɾiɲ-a.,uni | d̪ɔ | ɟɔmaʔ | ba-i̯ | kiɾiɲ-a,3SG.ANIM | TOP | food | NEG-3SG.ANIM | buy-FIN,
synthetic_texts_glossed.eaf,36,71265,72926,[SYN.36] গুজবটি গুরুত্বপূর্ণ।,The rumour is important.,bʰakaɾa d̪ɔ ɟɘɾuɽa.,bʰakaɾa d̪ɔ ɟɘɾuɽ-a.,bʰakaɾa | d̪ɔ | ɟɘɾuɽ-a,rumour | TOP | important-FIN,
synthetic_dialogues_glossed.eaf,37,72926,74806,[SYN.37] নদী কোথায় আছে?,Where is the river?,gaɖa d̪ɔ ɔkaɾɛ menaa.,gaɖa d̪ɔ ɔka-ɾɛ mena-a.,gaɖa | d̪ɔ | ɔka-ɾɛ | mena-a,river | TOP | where-LOC | exist-FIN,
synthetic_texts_glossed.eaf,38,74806,76536,[SYN.38] কসাইটি পরিষ্কার।,The butcher is clean.,bʰut͡ʃəɽ d̪ɔ sapʰaa.,bʰut͡ʃəɽ d̪ɔ sapʰa-a.,bʰut͡ʃəɽ | d̪ɔ | sapʰa-a,butcher | TOP | clean-FIN,
synthetic_paradigm_glossed.eaf,39,76536,78512,[SYN.39] আমাদের বিড়াল ভালো।,Our cat is good.,alɛaʔ pusi d̪ɔ mɔ̃ɟa.,alɛ-aʔ pusi d̪ɔ mɔ̃ɟ-a.,alɛ-aʔ | pusi | d̪ɔ | mɔ̃ɟ-a,1PL.EXCL-GEN | cat | TOP | good-FIN,
synthetic_dialogues_glossed.eaf,40,78512,79748,[SYN.40] সে কেমন আছে?,How is he/she?,cɛt̪ʔlɛka meni̯a.,cɛt̪ʔ-lɛka men-i̯-a.,cɛt̪ʔ-lɛka | men-i̯-a,how-like | be.NFIN-3SG.ANIM-FIN,
synthetic_paradigm_glossed.eaf,41,79748,81596,[SYN.41] তারা মাছ কিনেছিল।,They bought the fish.,oŋkoko haku kiɾiɲkeda.,oŋko-ko haku kiɾiɲ-ked-a.,oŋko-ko | haku | kiɾiɲ-ked-a,3PL.ANIM-3PL.ANIM | fish | buy-PST-FIN,
synthetic_texts_glossed.eaf,42,81596,83233,[SYN.42] একমুঠোটি ভালো।,The handful is good.,aɲd͡ʒle d̪ɔ mɔ̃ɟa.,aɲd͡ʒle d̪ɔ mɔ̃ɟ-a.,aɲd͡ʒle | d̪ɔ | mɔ̃ɟ-a,handful | TOP | good-FIN,
synthetic_see_paradigm.eaf,43,83233,85633,[SYN.43] তুমি মাছ বিক্রি করবে না।,You do not sell the fish.,am d̪ɔ haku bam ɘkʰɾiɲa.,am d̪ɔ haku ba-m ɘkʰɾiɲ-a.,am | d̪ɔ | haku | ba-m | ɘkʰɾiɲ-a,2SG | TOP | fish | NEG-2SG | sell-FIN,
synthetic_paradigm_glossed.eaf,44,85633,87618,[SYN.44] তোমার দুধ সুস্বাদু।,Your milk is tasty.,amaʔ t̪o̯͡a d̪ɔ sibila.,am-aʔ t̪o̯͡a d̪ɔ sibil-a.,am-aʔ | t̪o̯͡a | d̪ɔ | sibil-a,2SG-GEN | milk | TOP | tasty-FIN,
synthetic_bangla_glossed.eaf,45,87618,90357,[SYN.45] তোমরা মধু ও রান্না খাবে।,You all will eat the honey and the cooked food.,apɛ d̪ɔ ɲɛlɛɾasa aɾ basaŋ ɟɔma.,apɛ d̪ɔ ɲɛlɛɾasa aɾ basaŋ ɟɔm-a.,apɛ | d̪ɔ | ɲɛlɛɾasa | aɾ | basaŋ | ɟɔm-a,2PL | TOP | honey | and | cooked.food | eat-FIN,
synthetic_paradigm_glossed.eaf,46,90357,92470,[SYN.46] তোমার দোষ গুরুত্বপূর্ণ।,Your fault is important.,amaʔ əpəi̯ d̪ɔ ɟɘɾuɽa.,am-aʔ əpəi̯ d̪ɔ ɟɘɾuɽ-a.,am-aʔ | əpəi̯ | d̪ɔ | ɟɘɾuɽ-a,2SG-GEN | fault | TOP | important-FIN,
synthetic_texts_glossed.eaf,47,92470,94116,[SYN.47] উঠানে একটি ঔষধ আছে।,There is a medicine in the courtyard of house.,bəteɾɛ ɾan menaa.,bəte-ɾɛ ɾan mena-a.,bəte-ɾɛ | ɾan | mena-a,courtyard.of.house-LOC | medicine | exist-FIN,
synthetic_new_glossed_3.eaf,48,94116,96389,[SYN.48] একটি প্রজন্ম গ্রামে আছে।,One generation is in the village.,mit̪ʔʈɛn bibɔɾɔn d̪ɔ at̪oɾɛ menaa.,mit̪ʔ-ʈɛn bibɔɾɔn d̪ɔ at̪o-ɾɛ mena-a.,mit̪ʔ-ʈɛn | bibɔɾɔn | d̪ɔ | at̪o-ɾɛ | mena-a,one-CLF.HUM | generation | TOP | village-LOC | exist-FIN,
synthetic_see_paradigm.eaf,49,96389,97864,[SYN.49] তারা কাজ করছে।,They are working.,oŋkoko kɘmiɛd̪a.,oŋko-ko kɘmi-ɛ-d̪a.,oŋko-ko | kɘmi-ɛ-d̪a,3PL.ANIM-3PL.ANIM | work-PROG-FIN,Synthetic PROG-FIN agreement pattern based on see-paradigm rows.
synthetic_see_paradigm.eaf,50,97864,100110,[SYN.50] তারা খাবার পাবে না।,They do not get the food.,oŋko d̪ɔ ɟɔmaʔ bako ɲama.,oŋko d̪ɔ ɟɔmaʔ ba-ko ɲam-a.,oŋko | d̪ɔ | ɟɔmaʔ | ba-ko | ɲam-a,3PL.ANIM | TOP | food | NEG-3PL.ANIM | get-FIN,
synthetic_bangla_glossed.eaf,51,100110,102118,[SYN.51] আমি মাছ খাব।,I will eat the fish.,iɲ d̪ɔ haku ɟɔma.,iɲ d̪ɔ haku ɟɔm-a.,iɲ | d̪ɔ | haku | ɟɔm-a,1SG | TOP | fish | eat-FIN,
synthetic_new_glossed.eaf,52,102118,104103,[SYN.52] তোমরা মধু খেয়েছ।,You all have eaten the honey.,apɛ d̪ɔ ɲɛlɛɾasa ɟɔmakada.,apɛ d̪ɔ ɲɛlɛɾasa ɟɔm-akad-a.,apɛ | d̪ɔ | ɲɛlɛɾasa | ɟɔm-akad-a,2PL | TOP | honey | eat-PRF-FIN,
synthetic_paradigm_glossed.eaf,53,104103,105633,[SYN.53] তোমরা কথা লিখেছিলে।,You all wrote the word.,apɛpɛ kat̪ʰa ɔlɔʔkeda.,apɛ-pɛ kat̪ʰa ɔlɔʔ-ked-a.,apɛ-pɛ | kat̪ʰa | ɔlɔʔ-ked-a,2PL-2PL | word | write-PST-FIN,
synthetic_bangla_glossed.eaf,54,105633,107759,[SYN.54] তোমরা পানি পান করবে।,You all will drink the water.,apɛ d̪ɔ d̪aʔ ɲua.,apɛ d̪ɔ d̪aʔ ɲu-a.,apɛ | d̪ɔ | d̪aʔ | ɲu-a,2PL | TOP | water | drink-FIN,Synthetic transitive finite clause with TOP and FIN labels.
synthetic_new_glossed_3.eaf,55,107759,110275,[SYN.55] একটি মানুষ গ্রামে আছে।,One person is in the village.,mit̪ʔʈɛn hɔɽ d̪ɔ at̪oɾɛ menaa.,mit̪ʔ-ʈɛn hɔɽ d̪ɔ at̪o-ɾɛ mena-a.,mit̪ʔ-ʈɛn | hɔɽ | d̪ɔ | at̪o-ɾɛ | mena-a,one-CLF.HUM | person | TOP | village-LOC | exist-FIN,Synthetic classifier + LOC/exist clause.
synthetic_bangla_glossed.eaf,56,110275,112154,[SYN.56] তারা যন্ত্রপাতি দেখবে।,They will see the appliance.,oŋko d̪ɔ bandʰec̕ ɲɛla.,oŋko d̪ɔ bandʰec̕ ɲɛl-a.,oŋko | d̪ɔ | bandʰec̕ | ɲɛl-a,3PL.ANIM | TOP | appliance | see-FIN,Synthetic transitive finite clause with TOP and FIN labels.
synthetic_paradigm_glossed.eaf,57,112154,114152,[SYN.57] তার ভাড়া গুরুত্বপূর্ণ।,His/her fare is important.,uniaʔ bʰaɽa d̪ɔ ɟɘɾuɽa.,uni-aʔ bʰaɽa d̪ɔ ɟɘɾuɽ-a.,uni-aʔ | bʰaɽa | d̪ɔ | ɟɘɾuɽ-a,3SG-GEN | fare | TOP | important-FIN,
synthetic_bangla_glossed.eaf,58,114152,116316,[SYN.58] সে ঔষধ পাবে।,He/she will get the medicine.,uni d̪ɔ ɾan ɲama.,uni d̪ɔ ɾan ɲam-a.,uni | d̪ɔ | ɾan | ɲam-a,3SG.ANIM | TOP | medicine | get-FIN,
synthetic_paradigm_glossed.eaf,59,116316,117855,[SYN.59] সে পাঠ পড়েছিল।,He/she studied the lesson.,unii̯ sikʰnɘt̪ paɽha͡o̯keda.,uni-i̯ sikʰnɘt̪ paɽha͡o̯-ked-a.,uni-i̯ | sikʰnɘt̪ | paɽha͡o̯-ked-a,3SG.ANIM-3SG.ANIM | lesson | study-PST-FIN,
synthetic_texts_glossed.eaf,60,117855,119626,[SYN.60] তাঁতের অংশটি ভালো।,The heddles of loom is good.,bade d̪ɔ mɔ̃ɟa.,bade d̪ɔ mɔ̃ɟ-a.,bade | d̪ɔ | mɔ̃ɟ-a,heddles.of.loom | TOP | good-FIN,Synthetic TOP + adjectival-FIN clause following layout A/B labels.
synthetic_dialogues_glossed.eaf,61,119626,123109,"[SYN.61] সে ছবি পাবে, কিন্তু ছবি পাবে না।","He/she will get the photo, but does not get the photo.",uni d̪ɔ pʰɔʈɔ ɲama mɛnkʰan pʰɔʈɔ bai̯ ɲama.,uni d̪ɔ pʰɔʈɔ ɲam-a mɛnkʰan pʰɔʈɔ ba-i̯ ɲam-a.,uni | d̪ɔ | pʰɔʈɔ | ɲam-a | mɛnkʰan | pʰɔʈɔ | ba-i̯ | ɲam-a,3SG.ANIM | TOP | photo | get-FIN | but | photo | NEG-3SG.ANIM | get-FIN,Synthetic contrast with mɛnkʰan 'but' and NEG marking.
synthetic_dialogues_glossed.eaf,62,123109,126610,"[SYN.62] আমি টাকা পাব, কিন্তু খাবার পাব না।","I will get the money, but do not get the food.",iɲ d̪ɔ ʈaka ɲama mɛnkʰan ɟɔmaʔ bɘɲ ɲama.,iɲ d̪ɔ ʈaka ɲam-a mɛnkʰan ɟɔmaʔ bɘ-ɲ ɲam-a.,iɲ | d̪ɔ | ʈaka | ɲam-a | mɛnkʰan | ɟɔmaʔ | bɘ-ɲ | ɲam-a,1SG | TOP | money | get-FIN | but | food | NEG-1SG | get-FIN,Synthetic contrast with mɛnkʰan 'but' and NEG marking.
synthetic_see_paradigm.eaf,63,126610,128884,[SYN.63] সে পানি পান করবে না।,He/she does not drink the water.,uni d̪ɔ d̪aʔ bai̯ ɲua.,uni d̪ɔ d̪aʔ ba-i̯ ɲu-a.,uni | d̪ɔ | d̪aʔ | ba-i̯ | ɲu-a,3SG.ANIM | TOP | water | NEG-3SG.ANIM | drink-FIN,Synthetic NEG-pronominal marker pattern from the see paradigm.
synthetic_new_glossed_3.eaf,64,128884,131352,[SYN.64] একটি মানুষ হ্রদে আছে।,One person is in the lake.,mit̪ʔʈɛn hɔɽ d̪ɔ ɟɔlaɾɛ menaa.,mit̪ʔ-ʈɛn hɔɽ d̪ɔ ɟɔla-ɾɛ mena-a.,mit̪ʔ-ʈɛn | hɔɽ | d̪ɔ | ɟɔla-ɾɛ | mena-a,one-CLF.HUM | person | TOP | lake-LOC | exist-FIN,
synthetic_dialogues_glossed.eaf,65,131352,134852,"[SYN.65] তারা মোবাইল ফোন বিক্রি করবে, কিন্তু খাবার বিক্রি করবে না।","They will sell the mobile phone, but do not sell the food.",oŋko d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲa mɛnkʰan ɟɔmaʔ bako ɘkʰɾiɲa.,oŋko d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲ-a mɛnkʰan ɟɔmaʔ ba-ko ɘkʰɾiɲ-a.,oŋko | d̪ɔ | mɔbaĭl pʰon | ɘkʰɾiɲ-a | mɛnkʰan | ɟɔmaʔ | ba-ko | ɘkʰɾiɲ-a,3PL.ANIM | TOP | mobile.phone | sell-FIN | but | food | NEG-3PL.ANIM | sell-FIN,
synthetic_school_dialogue_glossed.eaf,66,134852,137782,[SYN.66] গতকাল তারা ঔষধ দেখে বাড়িতে যাবে।,"Yesterday, they see the medicine and then go to the house.",hɔlaɾɛ oŋko ɾan ɲɛlkat̪ɛ ɔɽaʔɾɛ calaʔa.,hɔla-ɾɛ oŋko ɾan ɲɛl-kat̪ɛ ɔɽaʔ-ɾɛ calaʔ-a.,hɔla-ɾɛ | oŋko | ɾan | ɲɛl-kat̪ɛ | ɔɽaʔ-ɾɛ | calaʔ-a,yesterday-LOC | 3PL.ANIM | medicine | see-CVB | house-LOC | go-FIN,
synthetic_bangla_glossed.eaf,67,137782,139991,[SYN.67] আমরা অবশিষ্ট দেখব।,We will see the remainder.,alɛ d̪ɔ bəki bɔkɔe̯a ɲɛla.,alɛ d̪ɔ bəki bɔkɔe̯a ɲɛl-a.,alɛ | d̪ɔ | bəki bɔkɔe̯a | ɲɛl-a,1PL.EXCL | TOP | remainder | see-FIN,Synthetic transitive finite clause with TOP and FIN labels.
synthetic_texts_glossed.eaf,68,139991,141824,[SYN.68] বিস্তীর্ণ ভূমিে একটি দাদা আছে।,There is a grandfather in the wide expanse of land.,bilənɾɛ ad͡ʒa menaa.,bilən-ɾɛ ad͡ʒa mena-a.,bilən-ɾɛ | ad͡ʒa | mena-a,wide.expanse.of-LOC | grandfather | exist-FIN,
synthetic_texts_glossed.eaf,69,141824,143438,[SYN.69] কথাটি ভালো।,The word is good.,kat̪ʰa d̪ɔ mɔ̃ɟa.,kat̪ʰa d̪ɔ mɔ̃ɟ-a.,kat̪ʰa | d̪ɔ | mɔ̃ɟ-a,word | TOP | good-FIN,
synthetic_bangla_glossed.eaf,70,143438,146156,[SYN.70] সে মাছ ও রান্না খাবে।,He/she will eat the fish and the cooked food.,uni d̪ɔ haku aɾ basaŋ ɟɔma.,uni d̪ɔ haku aɾ basaŋ ɟɔm-a.,uni | d̪ɔ | haku | aɾ | basaŋ | ɟɔm-a,3SG.ANIM | TOP | fish | and | cooked.food | eat-FIN,
synthetic_texts_glossed.eaf,71,146156,147857,[SYN.71] জীবনটি গুরুত্বপূর্ণ।,The life is important.,ɟiŋgi d̪ɔ ɟɘɾuɽa.,ɟiŋgi d̪ɔ ɟɘɾuɽ-a.,ɟiŋgi | d̪ɔ | ɟɘɾuɽ-a,life | TOP | important-FIN,
