file,utterance_id,start_ms,end_ms,bangla,english,ipa_original,ipa_normalized,segments,glosses,notes
synthetic_paradigm_glossed.eaf,11,18254,20226,[SYN.11] আমাদের মোবাইল ফোন গুরুত্বপূর্ণ।,Our mobile phone is important.,alɛaʔ mɔbaĭl pʰon d̪ɔ ɟɘɾuɽa.,alɛ-aʔ mɔbaĭl pʰon d̪ɔ ɟɘɾuɽ-a.,alɛ-aʔ | mɔbaĭl pʰon | d̪ɔ | ɟɘɾuɽ-a,1PL.EXCL-GEN | mobile.phone | TOP | important-FIN,
synthetic_imperatives_glossed.eaf,12,20226,22213,[SYN.12] দয়া করে কুয়ায় যাও।,Please go to the well.,d̪a.ja kat̪ɛ kuɲɾɛ calaʔmɛ.,d̪a.ja kat̪ɛ kuɲ-ɾɛ calaʔ-mɛ.,d̪a.ja | kat̪ɛ | kuɲ-ɾɛ | calaʔ-mɛ,please | Manner | well-LOC | go-IMP.2SG.POL,
synthetic_paradigm_glossed.eaf,13,22213,23943,[SYN.13] আমি মাছ বিক্রি করেছিলাম।,I sold the fish.,iɲiɲ haku ɘkʰɾiɲkeda.,iɲ-iɲ haku ɘkʰɾiɲ-ked-a.,iɲ-iɲ | haku | ɘkʰɾiɲ-ked-a,1SG-1SG | fish | sell-PST-FIN,Synthetic PST-FIN transitive pattern using dictionary/core lexicon.
synthetic_new_glossed_3.eaf,14,23943,26396,[SYN.14] একটি শিশু কুয়ায় আছে।,One child is in the well.,mit̪ʔʈɛn gid̪ɾɘ d̪ɔ kuɲɾɛ menaa.,mit̪ʔ-ʈɛn gid̪ɾɘ d̪ɔ kuɲ-ɾɛ mena-a.,mit̪ʔ-ʈɛn | gid̪ɾɘ | d̪ɔ | kuɲ-ɾɛ | mena-a,one-CLF.HUM | child | TOP | well-LOC | exist-FIN,
synthetic_bangla_glossed.eaf,15,26396,29159,[SYN.15] তুমি দুধ ও পানি পান করবে।,You will drink the milk and the water.,am d̪ɔ t̪o̯͡a aɾ d̪aʔ ɲua.,am d̪ɔ t̪o̯͡a aɾ d̪aʔ ɲu-a.,am | d̪ɔ | t̪o̯͡a | aɾ | d̪aʔ | ɲu-a,2SG | TOP | milk | and | water | drink-FIN,Synthetic coordination with aɾ 'and'.
synthetic_see_paradigm.eaf,16,29159,31623,[SYN.16] আমি ঔষধ কিনব না।,I do not buy the medicine.,iɲ d̪ɔ ɾan bɘɲ kiɾiɲa.,iɲ d̪ɔ ɾan bɘ-ɲ kiɾiɲ-a.,iɲ | d̪ɔ | ɾan | bɘ-ɲ | kiɾiɲ-a,1SG | TOP | medicine | NEG-1SG | buy-FIN,Synthetic NEG-pronominal marker pattern from the see paradigm.
synthetic_see_paradigm.eaf,17,31623,34177,[SYN.17] সে ডাক্তার সাহায্য করবে না।,He/she does not help the doctor.,uni d̪ɔ ɖak̚t̪aɾ bai̯ gɔɽɔa.,uni d̪ɔ ɖak̚t̪aɾ ba-i̯ gɔɽɔ-a.,uni | d̪ɔ | ɖak̚t̪aɾ | ba-i̯ | gɔɽɔ-a,3SG.ANIM | TOP | doctor | NEG-3SG.ANIM | help-FIN,
synthetic_paradigm_glossed.eaf,18,34177,36203,[SYN.18] আমাদের ভাষা নতুন।,Our language is new.,alɛaʔ bʰaka d̪ɔ nɔwaa.,alɛ-aʔ bʰaka d̪ɔ nɔwa-a.,alɛ-aʔ | bʰaka | d̪ɔ | nɔwa-a,1PL.EXCL-GEN | language | TOP | new-FIN,Synthetic GEN + TOP clause using pronoun markers from ground truth.
synthetic_bangla_glossed.eaf,19,36203,39118,[SYN.19] আমি খাবার ও ঔষধ কিনব।,I will buy the food and the medicine.,iɲ d̪ɔ ɟɔmaʔ aɾ ɾan kiɾiɲa.,iɲ d̪ɔ ɟɔmaʔ aɾ ɾan kiɾiɲ-a.,iɲ | d̪ɔ | ɟɔmaʔ | aɾ | ɾan | kiɾiɲ-a,1SG | TOP | food | and | medicine | buy-FIN,
synthetic_see_paradigm.eaf,20,39118,41643,[SYN.20] তোমরা ভাষা বলবে না।,You all do not speak the language.,apɛ d̪ɔ pɘɾsi bapɛ ɾɔɽa.,apɛ d̪ɔ pɘɾsi ba-pɛ ɾɔɽ-a.,apɛ | d̪ɔ | pɘɾsi | ba-pɛ | ɾɔɽ-a,2PL | TOP | language | NEG-2PL | speak-FIN,
synthetic_see_paradigm.eaf,21,41643,44048,[SYN.21] সে বিদ্যুৎ দেখবে না।,He/she does not see the lightning.,uni d̪ɔ bid͡ʒli bai̯ ɲɛla.,uni d̪ɔ bid͡ʒli ba-i̯ ɲɛl-a.,uni | d̪ɔ | bid͡ʒli | ba-i̯ | ɲɛl-a,3SG.ANIM | TOP | lightning | NEG-3SG.ANIM | see-FIN,
synthetic_paradigm_glossed.eaf,22,44048,45794,[SYN.22] তারা টাকা পেয়েছিল।,They got the money.,oŋkoko ʈaka ɲamkeda.,oŋko-ko ʈaka ɲam-ked-a.,oŋko-ko | ʈaka | ɲam-ked-a,3PL.ANIM-3PL.ANIM | money | get-PST-FIN,
synthetic_see_paradigm.eaf,23,45794,48156,[SYN.23] তুমি টাকা পাবে না।,You do not get the money.,am d̪ɔ ʈaka bam ɲama.,am d̪ɔ ʈaka ba-m ɲam-a.,am | d̪ɔ | ʈaka | ba-m | ɲam-a,2SG | TOP | money | NEG-2SG | get-FIN,
synthetic_paradigm_glossed.eaf,24,48156,49731,[SYN.24] সে কথা লিখেছিল।,He/she wrote the word.,unii̯ kat̪ʰa ɔlɔʔkeda.,uni-i̯ kat̪ʰa ɔlɔʔ-ked-a.,uni-i̯ | kat̪ʰa | ɔlɔʔ-ked-a,3SG.ANIM-3SG.ANIM | word | write-PST-FIN,
synthetic_bangla_glossed.eaf,25,49731,51654,[SYN.25] তোমরা ঔষধ কিনবে।,You all will buy the medicine.,apɛ d̪ɔ ɾan kiɾiɲa.,apɛ d̪ɔ ɾan kiɾiɲ-a.,apɛ | d̪ɔ | ɾan | kiɾiɲ-a,2PL | TOP | medicine | buy-FIN,
synthetic_texts_glossed.eaf,26,51654,53453,[SYN.26] উঠানে একটি সন্ধ্যাকাল আছে।,There is an eventide in the courtyard of house.,bəteɾɛ əjup̕ pajaɾ menaa.,bəte-ɾɛ əjup̕ pajaɾ mena-a.,bəte-ɾɛ | əjup̕ pajaɾ | mena-a,courtyard.of.house-LOC | eventide | exist-FIN,
synthetic_texts_glossed.eaf,27,53453,55051,[SYN.27] বিড়ালটি ভালো।,The cat is good.,pusi d̪ɔ mɔ̃ɟa.,pusi d̪ɔ mɔ̃ɟ-a.,pusi | d̪ɔ | mɔ̃ɟ-a,cat | TOP | good-FIN,
synthetic_paradigm_glossed.eaf,28,55051,57085,[SYN.28] তাদের পোশাক গুরুত্বপূর্ণ।,Their apparel is important.,oŋkoaʔ ahɾan pahaɾand d̪ɔ ɟɘɾuɽa.,oŋko-aʔ ahɾan pahaɾand d̪ɔ ɟɘɾuɽ-a.,oŋko-aʔ | ahɾan pahaɾand | d̪ɔ | ɟɘɾuɽ-a,3PL-GEN | apparel | TOP | important-FIN,
synthetic_paradigm_glossed.eaf,29,57085,58769,[SYN.29] সে খাবার বিক্রি করেছিল।,He/she sold the food.,unii̯ ɟɔmaʔ ɘkʰɾiɲkeda.,uni-i̯ ɟɔmaʔ ɘkʰɾiɲ-ked-a.,uni-i̯ | ɟɔmaʔ | ɘkʰɾiɲ-ked-a,3SG.ANIM-3SG.ANIM | food | sell-PST-FIN,
synthetic_new_glossed.eaf,30,58769,60745,[SYN.30] সে দুধ পান করেছে।,He/she has drunk the milk.,uni d̪ɔ t̪o̯͡a ɲuakada.,uni d̪ɔ t̪o̯͡a ɲu-akad-a.,uni | d̪ɔ | t̪o̯͡a | ɲu-akad-a,3SG.ANIM | TOP | milk | drink-PRF-FIN,Synthetic PRF-FIN clause modeled on akad-a rows.
synthetic_texts_glossed.eaf,31,60745,62318,[SYN.31] ইংল্যান্ডে একটি পেট ব্যথা আছে।,There is a gripes in the england.,bilətɾɛ bɛɾõʈ duk menaa.,bilət-ɾɛ bɛɾõʈ duk mena-a.,bilət-ɾɛ | bɛɾõʈ duk | mena-a,england-LOC | gripes | exist-FIN,Synthetic LOC + exist-FIN clause matching mena-a patterns.
synthetic_bangla_glossed.eaf,32,62318,64492,[SYN.32] তারা কথা বলবে।,They will speak the word.,oŋko d̪ɔ kat̪ʰa ɾɔɽa.,oŋko d̪ɔ kat̪ʰa ɾɔɽ-a.,oŋko | d̪ɔ | kat̪ʰa | ɾɔɽ-a,3PL.ANIM | TOP | word | speak-FIN,
synthetic_see_paradigm.eaf,33,64492,66762,[SYN.33] আমি ভাষা লিখব না।,I do not write the language.,iɲ d̪ɔ pɘɾsi bɘɲ ɔlɔʔa.,iɲ d̪ɔ pɘɾsi bɘ-ɲ ɔlɔʔ-a.,iɲ | d̪ɔ | pɘɾsi | bɘ-ɲ | ɔlɔʔ-a,1SG | TOP | language | NEG-1SG | write-FIN,
synthetic_bangla_glossed.eaf,34,66762,69507,[SYN.34] তোমরা ঔষধ ও মোবাইল ফোন কিনবে।,You all will buy the medicine and the mobile phone.,apɛ d̪ɔ ɾan aɾ mɔbaĭl pʰon kiɾiɲa.,apɛ d̪ɔ ɾan aɾ mɔbaĭl pʰon kiɾiɲ-a.,apɛ | d̪ɔ | ɾan | aɾ | mɔbaĭl pʰon | kiɾiɲ-a,2PL | TOP | medicine | and | mobile.phone | buy-FIN,
synthetic_see_paradigm.eaf,35,69507,72016,[SYN.35] সে খাবার কিনবে না।,He/she does not buy the food.,uni d̪ɔ ɟɔmaʔ bai̯ kiɾiɲa.,uni d̪ɔ ɟɔmaʔ ba-i̯ kiɾiɲ-a.,uni | d̪ɔ | ɟɔmaʔ | ba-i̯ | kiɾiɲ-a,3SG.ANIM | TOP | food | NEG-3SG.ANIM | buy-FIN,
synthetic_texts_glossed.eaf,36,72016,73704,[SYN.36] গুজবটি গুরুত্বপূর্ণ।,The rumour is important.,bʰakaɾa d̪ɔ ɟɘɾuɽa.,bʰakaɾa d̪ɔ ɟɘɾuɽ-a.,bʰakaɾa | d̪ɔ | ɟɘɾuɽ-a,rumour | TOP | important-FIN,
synthetic_dialogues_glossed.eaf,37,73704,75823,[SYN.37] নদী কোথায় আছে?,Where is the river?,gaɖa d̪ɔ ɔkaɾɛ menaa.,gaɖa d̪ɔ ɔka-ɾɛ mena-a.,gaɖa | d̪ɔ | ɔka-ɾɛ | mena-a,river | TOP | where-LOC | exist-FIN,
synthetic_texts_glossed.eaf,38,75823,77596,[SYN.38] কসাইটি পরিষ্কার।,The butcher is clean.,bʰut͡ʃəɽ d̪ɔ sapʰaa.,bʰut͡ʃəɽ d̪ɔ sapʰa-a.,bʰut͡ʃəɽ | d̪ɔ | sapʰa-a,butcher | TOP | clean-FIN,
synthetic_paradigm_glossed.eaf,39,77596,79561,[SYN.39] আমাদের বিড়াল ভালো।,Our cat is good.,alɛaʔ pusi d̪ɔ mɔ̃ɟa.,alɛ-aʔ pusi d̪ɔ mɔ̃ɟ-a.,alɛ-aʔ | pusi | d̪ɔ | mɔ̃ɟ-a,1PL.EXCL-GEN | cat | TOP | good-FIN,
synthetic_dialogues_glossed.eaf,40,79561,80828,[SYN.40] সে কেমন আছে?,How is he/she?,cɛt̪ʔlɛka meni̯a.,cɛt̪ʔ-lɛka men-i̯-a.,cɛt̪ʔ-lɛka | men-i̯-a,how-like | be.NFIN-3SG.ANIM-FIN,
synthetic_paradigm_glossed.eaf,41,80828,82521,[SYN.41] তারা মাছ কিনেছিল।,They bought the fish.,oŋkoko haku kiɾiɲkeda.,oŋko-ko haku kiɾiɲ-ked-a.,oŋko-ko | haku | kiɾiɲ-ked-a,3PL.ANIM-3PL.ANIM | fish | buy-PST-FIN,
synthetic_texts_glossed.eaf,42,82521,84127,[SYN.42] একমুঠোটি ভালো।,The handful is good.,aɲd͡ʒle d̪ɔ mɔ̃ɟa.,aɲd͡ʒle d̪ɔ mɔ̃ɟ-a.,aɲd͡ʒle | d̪ɔ | mɔ̃ɟ-a,handful | TOP | good-FIN,
synthetic_see_paradigm.eaf,43,84127,86570,[SYN.43] তুমি মাছ বিক্রি করবে না।,You do not sell the fish.,am d̪ɔ haku bam ɘkʰɾiɲa.,am d̪ɔ haku ba-m ɘkʰɾiɲ-a.,am | d̪ɔ | haku | ba-m | ɘkʰɾiɲ-a,2SG | TOP | fish | NEG-2SG | sell-FIN,
synthetic_paradigm_glossed.eaf,44,86570,88529,[SYN.44] তোমার দুধ সুস্বাদু।,Your milk is tasty.,amaʔ t̪o̯͡a d̪ɔ sibila.,am-aʔ t̪o̯͡a d̪ɔ sibil-a.,am-aʔ | t̪o̯͡a | d̪ɔ | sibil-a,2SG-GEN | milk | TOP | tasty-FIN,
synthetic_bangla_glossed.eaf,45,88529,91279,[SYN.45] তোমরা মধু ও রান্না খাবে।,You all will eat the honey and the cooked food.,apɛ d̪ɔ ɲɛlɛɾasa aɾ basaŋ ɟɔma.,apɛ d̪ɔ ɲɛlɛɾasa aɾ basaŋ ɟɔm-a.,apɛ | d̪ɔ | ɲɛlɛɾasa | aɾ | basaŋ | ɟɔm-a,2PL | TOP | honey | and | cooked.food | eat-FIN,
synthetic_paradigm_glossed.eaf,46,91279,93436,[SYN.46] তোমার দোষ গুরুত্বপূর্ণ।,Your fault is important.,amaʔ əpəi̯ d̪ɔ ɟɘɾuɽa.,am-aʔ əpəi̯ d̪ɔ ɟɘɾuɽ-a.,am-aʔ | əpəi̯ | d̪ɔ | ɟɘɾuɽ-a,2SG-GEN | fault | TOP | important-FIN,
synthetic_texts_glossed.eaf,47,93436,95217,[SYN.47] উঠানে একটি ঔষধ আছে।,There is a medicine in the courtyard of house.,bəteɾɛ ɾan menaa.,bəte-ɾɛ ɾan mena-a.,bəte-ɾɛ | ɾan | mena-a,courtyard.of.house-LOC | medicine | exist-FIN,
synthetic_new_glossed_3.eaf,48,95217,97596,[SYN.48] একটি প্রজন্ম গ্রামে আছে।,One generation is in the village.,mit̪ʔʈɛn bibɔɾɔn d̪ɔ at̪oɾɛ menaa.,mit̪ʔ-ʈɛn bibɔɾɔn d̪ɔ at̪o-ɾɛ mena-a.,mit̪ʔ-ʈɛn | bibɔɾɔn | d̪ɔ | at̪o-ɾɛ | mena-a,one-CLF.HUM | generation | TOP | village-LOC | exist-FIN,
synthetic_see_paradigm.eaf,49,97596,98760,[SYN.49] তারা কাজ করছে।,They are working.,oŋkoko kɘmiɛd̪a.,oŋko-ko kɘmi-ɛ-d̪a.,oŋko-ko | kɘmi-ɛ-d̪a,3PL.ANIM-3PL.ANIM | work-PROG-FIN,Synthetic PROG-FIN agreement pattern based on see-paradigm rows.
synthetic_see_paradigm.eaf,50,98760,101176,[SYN.50] তারা খাবার পাবে না।,They do not get the food.,oŋko d̪ɔ ɟɔmaʔ bako ɲama.,oŋko d̪ɔ ɟɔmaʔ ba-ko ɲam-a.,oŋko | d̪ɔ | ɟɔmaʔ | ba-ko | ɲam-a,3PL.ANIM | TOP | food | NEG-3PL.ANIM | get-FIN,
synthetic_bangla_glossed.eaf,51,101176,103240,[SYN.51] আমি মাছ খাব।,I will eat the fish.,iɲ d̪ɔ haku ɟɔma.,iɲ d̪ɔ haku ɟɔm-a.,iɲ | d̪ɔ | haku | ɟɔm-a,1SG | TOP | fish | eat-FIN,
synthetic_new_glossed.eaf,52,103240,105385,[SYN.52] তোমরা মধু খেয়েছ।,You all have eaten the honey.,apɛ d̪ɔ ɲɛlɛɾasa ɟɔmakada.,apɛ d̪ɔ ɲɛlɛɾasa ɟɔm-akad-a.,apɛ | d̪ɔ | ɲɛlɛɾasa | ɟɔm-akad-a,2PL | TOP | honey | eat-PRF-FIN,
synthetic_paradigm_glossed.eaf,53,105385,107085,[SYN.53] তোমরা কথা লিখেছিলে।,You all wrote the word.,apɛpɛ kat̪ʰa ɔlɔʔkeda.,apɛ-pɛ kat̪ʰa ɔlɔʔ-ked-a.,apɛ-pɛ | kat̪ʰa | ɔlɔʔ-ked-a,2PL-2PL | word | write-PST-FIN,
synthetic_bangla_glossed.eaf,54,107085,109013,[SYN.54] তোমরা পানি পান করবে।,You all will drink the water.,apɛ d̪ɔ d̪aʔ ɲua.,apɛ d̪ɔ d̪aʔ ɲu-a.,apɛ | d̪ɔ | d̪aʔ | ɲu-a,2PL | TOP | water | drink-FIN,Synthetic transitive finite clause with TOP and FIN labels.
synthetic_new_glossed_3.eaf,55,109013,111548,[SYN.55] একটি মানুষ গ্রামে আছে।,One person is in the village.,mit̪ʔʈɛn hɔɽ d̪ɔ at̪oɾɛ menaa.,mit̪ʔ-ʈɛn hɔɽ d̪ɔ at̪o-ɾɛ mena-a.,mit̪ʔ-ʈɛn | hɔɽ | d̪ɔ | at̪o-ɾɛ | mena-a,one-CLF.HUM | person | TOP | village-LOC | exist-FIN,Synthetic classifier + LOC/exist clause.
synthetic_bangla_glossed.eaf,56,111548,113419,[SYN.56] তারা যন্ত্রপাতি দেখবে।,They will see the appliance.,oŋko d̪ɔ bandʰec̕ ɲɛla.,oŋko d̪ɔ bandʰec̕ ɲɛl-a.,oŋko | d̪ɔ | bandʰec̕ | ɲɛl-a,3PL.ANIM | TOP | appliance | see-FIN,Synthetic transitive finite clause with TOP and FIN labels.
synthetic_paradigm_glossed.eaf,57,113419,115444,[SYN.57] তার ভাড়া গুরুত্বপূর্ণ।,His/her fare is important.,uniaʔ bʰaɽa d̪ɔ ɟɘɾuɽa.,uni-aʔ bʰaɽa d̪ɔ ɟɘɾuɽ-a.,uni-aʔ | bʰaɽa | d̪ɔ | ɟɘɾuɽ-a,3SG-GEN | fare | TOP | important-FIN,
synthetic_bangla_glossed.eaf,58,115444,117436,[SYN.58] সে ঔষধ পাবে।,He/she will get the medicine.,uni d̪ɔ ɾan ɲama.,uni d̪ɔ ɾan ɲam-a.,uni | d̪ɔ | ɾan | ɲam-a,3SG.ANIM | TOP | medicine | get-FIN,
synthetic_paradigm_glossed.eaf,59,117436,118999,[SYN.59] সে পাঠ পড়েছিল।,He/she studied the lesson.,unii̯ sikʰnɘt̪ paɽha͡o̯keda.,uni-i̯ sikʰnɘt̪ paɽha͡o̯-ked-a.,uni-i̯ | sikʰnɘt̪ | paɽha͡o̯-ked-a,3SG.ANIM-3SG.ANIM | lesson | study-PST-FIN,
synthetic_texts_glossed.eaf,60,118999,120716,[SYN.60] তাঁতের অংশটি ভালো।,The heddles of loom is good.,bade d̪ɔ mɔ̃ɟa.,bade d̪ɔ mɔ̃ɟ-a.,bade | d̪ɔ | mɔ̃ɟ-a,heddles.of.loom | TOP | good-FIN,Synthetic TOP + adjectival-FIN clause following layout A/B labels.
synthetic_dialogues_glossed.eaf,61,120716,124156,"[SYN.61] সে ছবি পাবে, কিন্তু ছবি পাবে না।","He/she will get the photo, but does not get the photo.",uni d̪ɔ pʰɔʈɔ ɲama mɛnkʰan pʰɔʈɔ bai̯ ɲama.,uni d̪ɔ pʰɔʈɔ ɲam-a mɛnkʰan pʰɔʈɔ ba-i̯ ɲam-a.,uni | d̪ɔ | pʰɔʈɔ | ɲam-a | mɛnkʰan | pʰɔʈɔ | ba-i̯ | ɲam-a,3SG.ANIM | TOP | photo | get-FIN | but | photo | NEG-3SG.ANIM | get-FIN,Synthetic contrast with mɛnkʰan 'but' and NEG marking.
synthetic_dialogues_glossed.eaf,62,124156,127759,"[SYN.62] আমি টাকা পাব, কিন্তু খাবার পাব না।","I will get the money, but do not get the food.",iɲ d̪ɔ ʈaka ɲama mɛnkʰan ɟɔmaʔ bɘɲ ɲama.,iɲ d̪ɔ ʈaka ɲam-a mɛnkʰan ɟɔmaʔ bɘ-ɲ ɲam-a.,iɲ | d̪ɔ | ʈaka | ɲam-a | mɛnkʰan | ɟɔmaʔ | bɘ-ɲ | ɲam-a,1SG | TOP | money | get-FIN | but | food | NEG-1SG | get-FIN,Synthetic contrast with mɛnkʰan 'but' and NEG marking.
synthetic_see_paradigm.eaf,63,127759,130091,[SYN.63] সে পানি পান করবে না।,He/she does not drink the water.,uni d̪ɔ d̪aʔ bai̯ ɲua.,uni d̪ɔ d̪aʔ ba-i̯ ɲu-a.,uni | d̪ɔ | d̪aʔ | ba-i̯ | ɲu-a,3SG.ANIM | TOP | water | NEG-3SG.ANIM | drink-FIN,Synthetic NEG-pronominal marker pattern from the see paradigm.
synthetic_new_glossed_3.eaf,64,130091,132439,[SYN.64] একটি মানুষ হ্রদে আছে।,One person is in the lake.,mit̪ʔʈɛn hɔɽ d̪ɔ ɟɔlaɾɛ menaa.,mit̪ʔ-ʈɛn hɔɽ d̪ɔ ɟɔla-ɾɛ mena-a.,mit̪ʔ-ʈɛn | hɔɽ | d̪ɔ | ɟɔla-ɾɛ | mena-a,one-CLF.HUM | person | TOP | lake-LOC | exist-FIN,
synthetic_dialogues_glossed.eaf,65,132439,135789,"[SYN.65] তারা মোবাইল ফোন বিক্রি করবে, কিন্তু খাবার বিক্রি করবে না।","They will sell the mobile phone, but do not sell the food.",oŋko d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲa mɛnkʰan ɟɔmaʔ bako ɘkʰɾiɲa.,oŋko d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲ-a mɛnkʰan ɟɔmaʔ ba-ko ɘkʰɾiɲ-a.,oŋko | d̪ɔ | mɔbaĭl pʰon | ɘkʰɾiɲ-a | mɛnkʰan | ɟɔmaʔ | ba-ko | ɘkʰɾiɲ-a,3PL.ANIM | TOP | mobile.phone | sell-FIN | but | food | NEG-3PL.ANIM | sell-FIN,
synthetic_school_dialogue_glossed.eaf,66,135789,138587,[SYN.66] গতকাল তারা ঔষধ দেখে বাড়িতে যাবে।,"Yesterday, they see the medicine and then go to the house.",hɔlaɾɛ oŋko ɾan ɲɛlkat̪ɛ ɔɽaʔɾɛ calaʔa.,hɔla-ɾɛ oŋko ɾan ɲɛl-kat̪ɛ ɔɽaʔ-ɾɛ calaʔ-a.,hɔla-ɾɛ | oŋko | ɾan | ɲɛl-kat̪ɛ | ɔɽaʔ-ɾɛ | calaʔ-a,yesterday-LOC | 3PL.ANIM | medicine | see-CVB | house-LOC | go-FIN,
synthetic_bangla_glossed.eaf,67,138587,140500,[SYN.67] আমরা অবশিষ্ট দেখব।,We will see the remainder.,alɛ d̪ɔ bəki bɔkɔe̯a ɲɛla.,alɛ d̪ɔ bəki bɔkɔe̯a ɲɛl-a.,alɛ | d̪ɔ | bəki bɔkɔe̯a | ɲɛl-a,1PL.EXCL | TOP | remainder | see-FIN,Synthetic transitive finite clause with TOP and FIN labels.
synthetic_texts_glossed.eaf,68,140500,142150,[SYN.68] বিস্তীর্ণ ভূমিে একটি দাদা আছে।,There is a grandfather in the wide expanse of land.,bilənɾɛ ad͡ʒa menaa.,bilən-ɾɛ ad͡ʒa mena-a.,bilən-ɾɛ | ad͡ʒa | mena-a,wide.expanse.of-LOC | grandfather | exist-FIN,
synthetic_texts_glossed.eaf,69,142150,143885,[SYN.69] কথাটি ভালো।,The word is good.,kat̪ʰa d̪ɔ mɔ̃ɟa.,kat̪ʰa d̪ɔ mɔ̃ɟ-a.,kat̪ʰa | d̪ɔ | mɔ̃ɟ-a,word | TOP | good-FIN,
synthetic_bangla_glossed.eaf,70,143885,146653,[SYN.70] সে মাছ ও রান্না খাবে।,He/she will eat the fish and the cooked food.,uni d̪ɔ haku aɾ basaŋ ɟɔma.,uni d̪ɔ haku aɾ basaŋ ɟɔm-a.,uni | d̪ɔ | haku | aɾ | basaŋ | ɟɔm-a,3SG.ANIM | TOP | fish | and | cooked.food | eat-FIN,
synthetic_texts_glossed.eaf,71,146653,148325,[SYN.71] জীবনটি গুরুত্বপূর্ণ।,The life is important.,ɟiŋgi d̪ɔ ɟɘɾuɽa.,ɟiŋgi d̪ɔ ɟɘɾuɽ-a.,ɟiŋgi | d̪ɔ | ɟɘɾuɽ-a,life | TOP | important-FIN,
