bangla,english,santali
কসাইটি পরিষ্কার।,The butcher is clean.,bʰut͡ʃəɽ d̪ɔ sapʰaa.
আমাদের বিড়াল ভালো।,Our cat is good.,alɛaʔ pusi d̪ɔ mɔ̃ɟa.
সে কেমন আছে?,How is he/she?,cɛt̪ʔlɛka meni̯a.
তারা মাছ কিনেছিল।,They bought the fish.,oŋkoko haku kiɾiɲkeda.
একমুঠোটি ভালো।,The handful is good.,aɲd͡ʒle d̪ɔ mɔ̃ɟa.
তুমি মাছ বিক্রি করবে না।,You do not sell the fish.,am d̪ɔ haku bam ɘkʰɾiɲa.
তোমার দুধ সুস্বাদু।,Your milk is tasty.,amaʔ t̪o̯͡a d̪ɔ sibila.
তোমরা মধু ও রান্না খাবে।,You all will eat the honey and the cooked food.,apɛ d̪ɔ ɲɛlɛɾasa aɾ basaŋ ɟɔma.
তোমার দোষ গুরুত্বপূর্ণ।,Your fault is important.,amaʔ əpəi̯ d̪ɔ ɟɘɾuɽa.
উঠানে একটি ঔষধ আছে।,There is a medicine in the courtyard of house.,bəteɾɛ ɾan menaa.
একটি প্রজন্ম গ্রামে আছে।,One generation is in the village.,mit̪ʔʈɛn bibɔɾɔn d̪ɔ at̪oɾɛ menaa.
তারা কাজ করছে।,They are working.,oŋkoko kɘmiɛd̪a.
তারা খাবার পাবে না।,They do not get the food.,oŋko d̪ɔ ɟɔmaʔ bako ɲama.
আমি মাছ খাব।,I will eat the fish.,iɲ d̪ɔ haku ɟɔma.
তোমরা মধু খেয়েছ।,You all have eaten the honey.,apɛ d̪ɔ ɲɛlɛɾasa ɟɔmakada.
তোমরা কথা লিখেছিলে।,You all wrote the word.,apɛpɛ kat̪ʰa ɔlɔʔkeda.
তোমরা পানি পান করবে।,You all will drink the water.,apɛ d̪ɔ d̪aʔ ɲua.
একটি মানুষ গ্রামে আছে।,One person is in the village.,mit̪ʔʈɛn hɔɽ d̪ɔ at̪oɾɛ menaa.
তারা যন্ত্রপাতি দেখবে।,They will see the appliance.,oŋko d̪ɔ bandʰec̕ ɲɛla.
তার ভাড়া গুরুত্বপূর্ণ।,His/her fare is important.,uniaʔ bʰaɽa d̪ɔ ɟɘɾuɽa.
সে ঔষধ পাবে।,He/she will get the medicine.,uni d̪ɔ ɾan ɲama.
সে পাঠ পড়েছিল।,He/she studied the lesson.,unii̯ sikʰnɘt̪ paɽha͡o̯keda.
তাঁতের অংশটি ভালো।,The heddles of loom is good.,bade d̪ɔ mɔ̃ɟa.
"সে ছবি পাবে, কিন্তু ছবি পাবে না।","He/she will get the photo, but does not get the photo.",uni d̪ɔ pʰɔʈɔ ɲama mɛnkʰan pʰɔʈɔ bai̯ ɲama.
"আমি টাকা পাব, কিন্তু খাবার পাব না।","I will get the money, but do not get the food.",iɲ d̪ɔ ʈaka ɲama mɛnkʰan ɟɔmaʔ bɘɲ ɲama.
সে পানি পান করবে না।,He/she does not drink the water.,uni d̪ɔ d̪aʔ bai̯ ɲua.
একটি মানুষ হ্রদে আছে।,One person is in the lake.,mit̪ʔʈɛn hɔɽ d̪ɔ ɟɔlaɾɛ menaa.
"তারা মোবাইল ফোন বিক্রি করবে, কিন্তু খাবার বিক্রি করবে না।","They will sell the mobile phone, but do not sell the food.",oŋko d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲa mɛnkʰan ɟɔmaʔ bako ɘkʰɾiɲa.
গতকাল তারা ঔষধ দেখে বাড়িতে যাবে।,"Yesterday, they see the medicine and then go to the house.",hɔlaɾɛ oŋko ɾan ɲɛlkat̪ɛ ɔɽaʔɾɛ calaʔa.
আমরা অবশিষ্ট দেখব।,We will see the remainder.,alɛ d̪ɔ bəki bɔkɔe̯a ɲɛla.
বিস্তীর্ণ ভূমিে একটি দাদা আছে।,There is a grandfather in the wide expanse of land.,bilənɾɛ ad͡ʒa menaa.
কথাটি ভালো।,The word is good.,kat̪ʰa d̪ɔ mɔ̃ɟa.
সে মাছ ও রান্না খাবে।,He/she will eat the fish and the cooked food.,uni d̪ɔ haku aɾ basaŋ ɟɔma.
জীবনটি গুরুত্বপূর্ণ।,The life is important.,ɟiŋgi d̪ɔ ɟɘɾuɽa.
আমি মা সাহায্য করব না।,I do not help the mother.,iɲ d̪ɔ gɔgɔ bɘɲ gɔɽɔa.
তারা কথা পড়বে।,They will study the word.,oŋko d̪ɔ kat̪ʰa paɽha͡o̯a.
একটি খাবার শহরে আছে।,One food is in the town.,mit̪ʔ ɟɔmaʔ d̪ɔ sɔhɔɽɾɛ menaa.
তারা নারী দেখবে।,They will see the woman.,oŋko d̪ɔ əi̯məi̯ ɲɛla.
তারা অপেক্ষা করছে।,They are waiting.,oŋkoko t̪ɘŋgiɛd̪a.
সে আসছে।,He/she is coming.,unii̯ hiɟuʔɛd̪a.
একটি ভাগ্নে হ্রদে আছে।,One nephew is in the lake.,mit̪ʔʈɛn bʰəgnə d̪ɔ ɟɔlaɾɛ menaa.
আমাদের গৃহপালিত পশু ভালো।,Our domestic animal is good.,alɛaʔ ato posu d̪ɔ mɔ̃ɟa.
চল্লিশটি গুরুত্বপূর্ণ।,The forty is important.,baɾ isi d̪ɔ ɟɘɾuɽa.
আমরা খাবার কিনব না।,We do not buy the food.,alɛ d̪ɔ ɟɔmaʔ balɛ kiɾiɲa.
সে খাবার খাবে না।,He/she does not eat the food.,uni d̪ɔ ɟɔmaʔ bai̯ ɟɔma.
সকালে আমি পানি পান করে নদীতে কাজ করব।,"In the morning, I drink the water and then work in the river.",sɛt̪aʔɾɛ iɲ d̪aʔ ɲukat̪ɛ gaɖaɾɛ kɘmia.
আমরা কিনছি।,We are buying.,alɛlɛ kiɾiɲɛd̪a.
"আমরা কথা পড়ব, কিন্তু ভাষা পড়ব না।","We will study the word, but do not study the language.",alɛ d̪ɔ kat̪ʰa paɽha͡o̯a mɛnkʰan pɘɾsi balɛ paɽha͡o̯a.
গতকাল তোমরা কথা লিখে কুয়ায় খেলবে।,"Yesterday, you all write the word and then play in the well.",hɔlaɾɛ apɛ kat̪ʰa ɔlɔʔkat̪ɛ kuɲɾɛ gat̪ea.
উদ্বেগটি পরিষ্কার।,The anxiety is clean.,bʰabna d̪ɔ sapʰaa.
তারা খাবার বিক্রি করবে।,They will sell the food.,oŋko d̪ɔ ɟɔmaʔ ɘkʰɾiɲa.
তারা মানুষ সাহায্য করবে।,They will help the person.,oŋko d̪ɔ hɔɽ gɔɽɔa.
সে মাছ খেয়েছে।,He/she has eaten the fish.,uni d̪ɔ haku ɟɔmakada.
"তারা ঘড়ি বিক্রি করবে, কিন্তু মোবাইল ফোন বিক্রি করবে না।","They will sell the watch, but do not sell the mobile phone.",oŋko d̪ɔ gʰuɽi ɘkʰɾiɲa mɛnkʰan mɔbaĭl pʰon bako ɘkʰɾiɲa.
আমাদের ডাক্তার ছোট।,Our doctor is small.,alɛaʔ ɖak̚t̪aɾ d̪ɔ lɘʈua.
তোমরা মাছ বিক্রি করেছিলে।,You all sold the fish.,apɛpɛ haku ɘkʰɾiɲkeda.
একটি টাকা নদীতে আছে।,One money is in the river.,mit̪ʔ ʈaka d̪ɔ gaɖaɾɛ menaa.
আমরা ভাষা লিখব।,We will write the language.,alɛ d̪ɔ pɘɾsi ɔlɔʔa.
সে ডাক্তার সাহায্য করবে।,He/she will help the doctor.,uni d̪ɔ ɖak̚t̪aɾ gɔɽɔa.
শুকরটি আনন্দের।,The pig is happy.,suk̚ɾi d̪ɔ ɾɘskɘa.
সে ছবি পাবে।,He/she will get the photo.,uni d̪ɔ pʰɔʈɔ ɲama.
একটি জেলে শহরে আছে।,One fisherman is in the town.,mit̪ʔʈɛn ɟɘliɘ d̪ɔ sɔhɔɽɾɛ menaa.
সকালে আমি কথা লিখে কুয়ায় আসব।,"In the morning, I write the word and then come to the well.",sɛt̪aʔɾɛ iɲ kat̪ʰa ɔlɔʔkat̪ɛ kuɲɾɛ hiɟuʔa.
আমি যাচ্ছি।,I am going.,iɲiɲ calaʔɛd̪a.
আমার উৎসব নতুন।,My festival is new.,iɲaʔ pɔɾɔb d̪ɔ nɔwaa.
সে পছন্দ ও ছাগলের বিষ্ঠা দেখবে।,He/she will see the choice and the goat's dropping.,uni d̪ɔ əpɾug aɾ bʰelə̃uɳɖi ɲɛla.
দয়া করে স্কুলে অপেক্ষা করো।,Please wait in the school.,d̪a.ja kat̪ɛ iskulɾɛ t̪ɘŋgimɛ.
সেই সময় তুমি ভাষা পড়ে নদীতে যাবে।,"At that time, you study the language and then go to the river.",ɔkt̪ɛɾɛ am pɘɾsi paɽha͡o̯kat̪ɛ gaɖaɾɛ calaʔa.
বাসস্থানে একটি উৎসব আছে।,There is a festival in the residence.,basaɾɛ pɔɾɔb menaa.
আমরা ভাষা বলব।,We will speak the language.,alɛ d̪ɔ pɘɾsi ɾɔɽa.
আমি ঘড়ি বিক্রি করেছি।,I have sold the watch.,iɲ d̪ɔ gʰuɽi ɘkʰɾiɲakada.
সে মাছ কিনবে।,He/she will buy the fish.,uni d̪ɔ haku kiɾiɲa.
আজ তুমি রান্না খেয়ে বাড়িতে কাজ করবে।,"Today, you eat the cooked food and then work in the house.",t̪eheɲɾɛ am basaŋ ɟɔmkat̪ɛ ɔɽaʔɾɛ kɘmia.
বিদ্যুৎটি ভালো।,The lightning is good.,bid͡ʒli d̪ɔ mɔ̃ɟa.
তোমরা কথা লিখবে না।,You all do not write the word.,apɛ d̪ɔ kat̪ʰa bapɛ ɔlɔʔa.
ভণ্ডটি ছোট।,The pretender is small.,bʰiduk d̪ɔ lɘʈua.
তোমরা ভাষা লিখেছিলে।,You all wrote the language.,apɛpɛ pɘɾsi ɔlɔʔkeda.
গুহাে একটি নদী আছে।,There is a river in the cave.,bʰugək̕ɾɛ gaɖa menaa.
তারা বিঘত ও কষ্ট দেখবে।,They will see the span and the distress.,oŋko d̪ɔ beɽ aɾ alad͡ʒʰala ɲɛla.
হ্রদে একটি পরজীবী উদ্ভিদ আছে।,There is a parasitic plant in the lake.,ɟɔlaɾɛ alagd͡ʒəɽi menaa.
তুমি দুধ পান করেছ।,You have drunk the milk.,am d̪ɔ t̪o̯͡a ɲuakada.
তোমরা ঘড়ি বিক্রি করবে।,You all will sell the watch.,apɛ d̪ɔ gʰuɽi ɘkʰɾiɲa.
তাদের অংশীদার ভালো।,Their partner is good.,oŋkoaʔ bʰəgiə̯ɾi d̪ɔ mɔ̃ɟa.
তারা আসছে।,They are coming.,oŋkoko hiɟuʔɛd̪a.
সে কথা লিখবে না।,He/she does not write the word.,uni d̪ɔ kat̪ʰa bai̯ ɔlɔʔa.
আমি কথা লিখব।,I will write the word.,iɲ d̪ɔ kat̪ʰa ɔlɔʔa.
তোমরা ভুল দেখবে না।,You all do not see the blunder.,apɛ d̪ɔ bʰul bapɛ ɲɛla.
"সে কথা লিখবে, কিন্তু ভাষা লিখবে না।","He/she will write the word, but does not write the language.",uni d̪ɔ kat̪ʰa ɔlɔʔa mɛnkʰan pɘɾsi bai̯ ɔlɔʔa.
"আমি ভাষা বলব, কিন্তু কথা বলব না।","I will speak the language, but do not speak the word.",iɲ d̪ɔ pɘɾsi ɾɔɽa mɛnkʰan kat̪ʰa bɘɲ ɾɔɽa.
একটি মাছ বাড়িতে আছে।,One fish is in the house.,mit̪ʔ haku d̪ɔ ɔɽaʔɾɛ menaa.
আমার শিশু আনন্দের।,My child is happy.,iɲaʔ gid̪ɾɘ d̪ɔ ɾɘskɘa.
"আমরা মোবাইল ফোন কিনব, কিন্তু ঘড়ি কিনব না।","We will buy the mobile phone, but do not buy the watch.",alɛ d̪ɔ mɔbaĭl pʰon kiɾiɲa mɛnkʰan gʰuɽi balɛ kiɾiɲa.
"সে ঔষধ পাবে, কিন্তু খাবার পাবে না।","He/she will get the medicine, but does not get the food.",uni d̪ɔ ɾan ɲama mɛnkʰan ɟɔmaʔ bai̯ ɲama.
দয়া করে মধু খাও।,Please eat the honey.,d̪a.ja kat̪ɛ ɲɛlɛɾasa ɟɔmmɛ.
নিকটবর্তী এলাকাে একটি জীবন আছে।,There is a life in the vicinity.,aɖe ʈolaɾɛ ɟiŋgi menaa.
শহরে একটি পরিমাপ আছে।,There is a measure in the town.,sɔhɔɽɾɛ ae̯ menaa.
তুমি টাকা পাবে।,You will get the money.,am d̪ɔ ʈaka ɲama.
ইংল্যান্ডে একটি কুয়া আছে।,There is a well in the england.,bilətɾɛ kuɲ menaa.
সে মাছ বিক্রি করেছে।,He/she has sold the fish.,uni d̪ɔ haku ɘkʰɾiɲakada.
"সে আধপাকা ফলের বিচি দেখবে, কিন্তু কণ্ঠস্বর দেখবে না।","He/she will see the kernel of half-ripe fruits, but does not see the voice.",uni d̪ɔ bʰəti ɲɛla mɛnkʰan aɽaŋ bai̯ ɲɛla.
নদীতে একটি পোশাক আছে।,There is an attire in the river.,gaɖaɾɛ bʰagwa menaa.
সে বাবা সাহায্য করবে না।,He/she does not help the father.,uni d̪ɔ baba bai̯ gɔɽɔa.
আমি মধু খাব।,I will eat the honey.,iɲ d̪ɔ ɲɛlɛɾasa ɟɔma.
আখরোটটি সুস্বাদু।,The walnut is tasty.,akʰɾoʈ d̪ɔ sibila.
নিকটবর্তী এলাকাে একটি পানি আছে।,There is a water in the vicinity.,aɖe ʈolaɾɛ d̪aʔ menaa.
আমি কথা পড়েছি।,I have studied the word.,iɲ d̪ɔ kat̪ʰa paɽha͡o̯akada.
তুমি কথা লিখেছিলে।,You wrote the word.,amɛm kat̪ʰa ɔlɔʔkeda.
তুমি ভাষা লিখবে।,You will write the language.,am d̪ɔ pɘɾsi ɔlɔʔa.
একটি মধু স্কুলে আছে।,One honey is in the school.,mit̪ʔ ɲɛlɛɾasa d̪ɔ iskulɾɛ menaa.
একটি ভাই কুয়ায় আছে।,One brother is in the well.,mit̪ʔʈɛn baɾet d̪ɔ kuɲɾɛ menaa.
সে ভাষা বলবে না।,He/she does not speak the language.,uni d̪ɔ pɘɾsi bai̯ ɾɔɽa.
তুমি নিরামিষাশী ও গরু ডাকার শব্দ দেখবে।,You will see the vegetarian and the cattle call.,am d̪ɔ bʰagat aɾ bihet̕ ɲɛla.
হ্রদে একটি উৎসব আছে।,There is a festival in the lake.,ɟɔlaɾɛ pɔɾɔb menaa.
আমরা বসছি।,We are sitting.,alɛlɛ d̪uɽup̚ʔɛd̪a.
তোমরা ভাষা বলেছ।,You all have spoken the language.,apɛ d̪ɔ pɘɾsi ɾɔɽakada.
বাসস্থানে একটি বিরক্তি আছে।,There is an annoyance in the dwelling place.,basɾɛ əɽis menaa.
আমরা দুধ ও পানি পান করব।,We will drink the milk and the water.,alɛ d̪ɔ t̪o̯͡a aɾ d̪aʔ ɲua.
তুমি এখন কী করবে?,What will you do now?,nit̪ʔ cɛʔɛm ceka ja.
সে কথা পড়বে না।,He/she does not study the word.,uni d̪ɔ kat̪ʰa bai̯ paɽha͡o̯a.
তারা ঔষধ কিনবে না।,They do not buy the medicine.,oŋko d̪ɔ ɾan bako kiɾiɲa.
শহরে একটি কারকীয় ক্রিয়া আছে।,There is a causative inflection in the town.,sɔhɔɽɾɛ a menaa.
আমি কথা লিখেছি।,I have written the word.,iɲ d̪ɔ kat̪ʰa ɔlɔʔakada.
তুমি মাছ কিনেছ।,You have bought the fish.,am d̪ɔ haku kiɾiɲakada.
বাসস্থানে একটি বোকা আছে।,There is a fool in the residence.,basaɾɛ bemblaha menaa.
বাড়িতে একটি ডাক্তার আছে।,There is a doctor in the house.,ɔɽaʔɾɛ ɖak̚t̪aɾ menaa.
আমি ছবি পাব না।,I do not get the photo.,iɲ d̪ɔ pʰɔʈɔ bɘɲ ɲama.
আনারসটি ভালো।,The pineapple is good.,ananas d̪ɔ mɔ̃ɟa.
বাড়িতে একটি পবিত্র সিন্দুক আছে।,There is an ark of the covenant in the house.,ɔɽaʔɾɛ ən sunduk menaa.
দয়া করে পাঠ পড়ো।,Please study the lesson.,d̪a.ja kat̪ɛ sikʰnɘt̪ paɽha͡o̯mɛ.
তারা মধু ও রান্না খাবে।,They will eat the honey and the cooked food.,oŋko d̪ɔ ɲɛlɛɾasa aɾ basaŋ ɟɔma.
সকালে সে আয়না দেখে নদীতে কাজ করবে।,"In the morning, he/she see the mirror and then work in the river.",sɛt̪aʔɾɛ uni əɾsi ɲɛlkat̪ɛ gaɖaɾɛ kɘmia.
গতকাল আমরা মধু খেয়ে শহরে যাব।,"Yesterday, we eat the honey and then go to the town.",hɔlaɾɛ alɛ ɲɛlɛɾasa ɟɔmkat̪ɛ sɔhɔɽɾɛ calaʔa.
তারা কথা বলেছিল।,They spoke the word.,oŋkoko kat̪ʰa ɾɔɽkeda.
"আমি খাবার কিনব, কিন্তু মোবাইল ফোন কিনব না।","I will buy the food, but do not buy the mobile phone.",iɲ d̪ɔ ɟɔmaʔ kiɾiɲa mɛnkʰan mɔbaĭl pʰon bɘɲ kiɾiɲa.
সে পানি পান করেছে।,He/she has drunk the water.,uni d̪ɔ d̪aʔ ɲuakada.
আমরা মাছ ও ঘড়ি কিনব।,We will buy the fish and the watch.,alɛ d̪ɔ haku aɾ gʰuɽi kiɾiɲa.
তোমরা মোবাইল ফোন কিনেছিলে।,You all bought the mobile phone.,apɛpɛ mɔbaĭl pʰon kiɾiɲkeda.
আদিবাসীটি গুরুত্বপূর্ণ।,The aborigines is important.,bəu̯ɾi d̪ɔ ɟɘɾuɽa.
তুমি খাবার ও ঔষধ কিনবে।,You will buy the food and the medicine.,am d̪ɔ ɟɔmaʔ aɾ ɾan kiɾiɲa.
স্কুলে একটি শিশু আছে।,There is a child in the school.,iskulɾɛ gid̪ɾɘ menaa.
"আমি মোবাইল ফোন বিক্রি করব, কিন্তু ঘড়ি বিক্রি করব না।","I will sell the mobile phone, but do not sell the watch.",iɲ d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲa mɛnkʰan gʰuɽi bɘɲ ɘkʰɾiɲa.
শহরে একটি আখ আছে।,There is a sugarcane in the town.,sɔhɔɽɾɛ ək menaa.
আমরা পাঠ পড়ব।,We will study the lesson.,alɛ d̪ɔ sikʰnɘt̪ paɽha͡o̯a.
তুমি ডাক্তার সাহায্য করবে না।,You do not help the doctor.,am d̪ɔ ɖak̚t̪aɾ bam gɔɽɔa.
আমি খাবার কিনেছিলাম।,I bought the food.,iɲiɲ ɟɔmaʔ kiɾiɲkeda.
তোমরা মাছ বিক্রি করবে না।,You all do not sell the fish.,apɛ d̪ɔ haku bapɛ ɘkʰɾiɲa.
একটি বিদেশী শহরে আছে।,One foreigner is in the town.,mit̪ʔʈɛn bidesiə̯ d̪ɔ sɔhɔɽɾɛ menaa.
সকালে আমরা ভাষা পড়ে গ্রামে আসব।,"In the morning, we study the language and then come to the village.",sɛt̪aʔɾɛ alɛ pɘɾsi paɽha͡o̯kat̪ɛ at̪oɾɛ hiɟuʔa.
আমরা দুধ পান করব না।,We do not drink the milk.,alɛ d̪ɔ t̪o̯͡a balɛ ɲua.
আজ তারা মাছ খেয়ে গ্রামে খেলবে।,"Today, they eat the fish and then play in the village.",t̪eheɲɾɛ oŋko haku ɟɔmkat̪ɛ at̪oɾɛ gat̪ea.
আমি কেমন আছে?,How am I?,cɛt̪ʔlɛka meniɲa.
তারা দুধ ও পানি পান করবে।,They will drink the milk and the water.,oŋko d̪ɔ t̪o̯͡a aɾ d̪aʔ ɲua.
তাদের ভাই ছোট।,Their brother is small.,oŋkoaʔ bɔ͡i̯ha d̪ɔ lɘʈua.
বালতিটি নতুন।,The bucket is new.,bəlʈi d̪ɔ nɔwaa.
ইংল্যান্ডে একটি অংশীদার আছে।,There is a partner in the england.,bilətɾɛ bʰəgiə̯ɾi menaa.
দয়া করে বাড়িতে বসো।,Please sit in the house.,d̪a.ja kat̪ɛ ɔɽaʔɾɛ d̪uɽup̚ʔmɛ.
তোমরা দুধ ও পানি পান করবে।,You all will drink the milk and the water.,apɛ d̪ɔ t̪o̯͡a aɾ d̪aʔ ɲua.
আড়ালে একটি বালিয়া সারস পাখি আছে।,There is a sand martin in the covert.,ao̯tanɾɛ bʰəluə̯ menaa.
তুমি ঔষধ কিনেছ।,You have bought the medicine.,am d̪ɔ ɾan kiɾiɲakada.
পাড়াে একটি বাধা আছে।,There is a hitch in the neighbourhood.,aɖe paseɾɛ bəndʰi menaa.
দয়া করে খাবার খাও।,Please eat the food.,d̪a.ja kat̪ɛ ɟɔmaʔ ɟɔmmɛ.
তুমি কিনছ।,You is buying.,amɛm kiɾiɲɛd̪a.
তোমাদের নদী নতুন।,Your river is new.,apɛaʔ gaɖa d̪ɔ nɔwaa.
অবিশ্বাসীটি গুরুত্বপূর্ণ।,The heathen is important.,bedin d̪ɔ ɟɘɾuɽa.
তোমরা বলছ।,You all are speaking.,apɛpɛ ɾɔɽɛd̪a.
পা কোথায় আছে?,Where is the foot?,kaʈa d̪ɔ ɔkaɾɛ menaa.
তাদের শুকর ভালো।,Their pig is good.,oŋkoaʔ suk̚ɾi d̪ɔ mɔ̃ɟa.
দয়া করে ভাষা লিখো।,Please write the language.,d̪a.ja kat̪ɛ pɘɾsi ɔlɔʔmɛ.
দয়া করে হ্রদে যাও।,Please go to the lake.,d̪a.ja kat̪ɛ ɟɔlaɾɛ calaʔmɛ.
গতকাল তুমি টকশাক দেখে নদীতে খেলবে।,"Yesterday, you see the sorel and then play in the river.",hɔlaɾɛ am aɾak̕ kudɾum ɲɛlkat̪ɛ gaɖaɾɛ gat̪ea.
সেই সময় আমরা পাঠ পড়ে বাড়িতে যাব।,"At that time, we study the lesson and then go to the house.",ɔkt̪ɛɾɛ alɛ sikʰnɘt̪ paɽha͡o̯kat̪ɛ ɔɽaʔɾɛ calaʔa.
লাগামটি পরিষ্কার।,The bridle is clean.,bag d̪ɔ sapʰaa.
বাসস্থানে একটি শিকার আছে।,There is a prey in the dwelling place.,basɾɛ aheɾ menaa.
তারা বাবা সাহায্য করবে।,They will help the father.,oŋko d̪ɔ baba gɔɽɔa.
সে খাবার বিক্রি করেছে।,He/she has sold the food.,uni d̪ɔ ɟɔmaʔ ɘkʰɾiɲakada.
একটি বিদেশী নদীতে আছে।,One foreigner is in the river.,mit̪ʔʈɛn bidesiə̯ d̪ɔ gaɖaɾɛ menaa.
তারা বাবা সাহায্য করবে না।,They do not help the father.,oŋko d̪ɔ baba bako gɔɽɔa.
জোর খাটানো শ্রমটি ভালো।,The forced labour is good.,begaɾ d̪ɔ mɔ̃ɟa.
গ্রামে একটি বিদেশী আছে।,There is a foreigner in the village.,at̪oɾɛ bidesiə̯ menaa.
তারা ভাষা বলেছে।,They have spoken the language.,oŋko d̪ɔ pɘɾsi ɾɔɽakada.
আমরা ভাষা পড়েছি।,We have studied the language.,alɛ d̪ɔ pɘɾsi paɽha͡o̯akada.
তুমি বয়লার দেখবে।,You will see the boiler.,am d̪ɔ bʰəʈʰi ɲɛla.
আজ তুমি রান্না খেয়ে গ্রামে কাজ করবে।,"Today, you eat the cooked food and then work in the village.",t̪eheɲɾɛ am basaŋ ɟɔmkat̪ɛ at̪oɾɛ kɘmia.
তারা মা সাহায্য করবে না।,They do not help the mother.,oŋko d̪ɔ gɔgɔ bako gɔɽɔa.
তুমি দাম দেখবে না।,You do not see the price.,am d̪ɔ bʰao̯ bam ɲɛla.
গতকাল আমি পানি পান করে শহরে যাব।,"Yesterday, I drink the water and then go to the town.",hɔlaɾɛ iɲ d̪aʔ ɲukat̪ɛ sɔhɔɽɾɛ calaʔa.
ভাইটি আনন্দের।,The brother is happy.,bɔ͡i̯ha d̪ɔ ɾɘskɘa.
