bangla,english,santali
"মা: আগে তোমাকে রান্না শিখতে বলেছিলাম, তখন তুমি শোনোনি।","Mother: Earlier I told you to learn cooking, you didn't listen to me at that time.","lahaɾɛ isin basaŋ cicit̪̚ʔiɲ met̪at̪̚ʔmɛ t̪ahẽkana, mɛnɛʔ bam aɲɟɔmled̪a."
মা: বুঝতে পেরেছি।,Mother: I understand.,buɟʰhɘ͡o̯ kid̪ɘɲ.
"মেয়ে: আমি ভাত রান্না করতে পারি, আলু ভরতা বানাতে পারি এবং ডিম ভাজি করতে পারি।","Daughter: I can cook rice, make mashed potatoes and can fry eggs.","iɲd̪ɔ d̪aka, ɘlu bʰɘɾt̪ɘ aɾ belehɔɲ bʰɘɟi d̪aɽeo̯͡a.a."
মেয়ে: এখন আমি শাক রান্না এবং সবজি ভাজি করা শিখতে চাই।,Daughter: Now I want to learn how to cook and fry vegetables.,nit̪̚ʔ d̪ɔ iɲ aɽaʔut̪u aɾ sobɟi bʰɘɟi cet̪̚ʔɟɔŋiɲ mɛnɟɔŋkana.
"মা: ভালো, এরইমধ্যে তুমি অনেক কিছু শিখেছ।","Mother: Good, you have learned a lot already.","bogege, inɘ bʰit̪ɾiɾege amd̪ɔ a͡i̯mam cet̪̚ʔked̪a."
"মেয়ে: হ্যাঁ মা, শিখতে চাই।","Daughter: Yes mom, I want to learn.","hɛ̃ː gɔ, cecet̪̚ʔiɲ mɛnɟɔŋkana."
মা: রাগ করার কিছু নেই।,Mother: There is nothing to be angry about.,ɾaŋgaʔ ɾenaʔ d̪ɔ cɛt̪̚ʔhɔ baŋkana.
মেয়ে: আর কী কী মনে রাখা দরকার?,Daughter: What else needs to be remembered?,aɾ cɛt̪̚ʔ cɛt̪̚ʔko d̪isɛ d̪ɔhɔ͡i̯ ɟɘɾuɽtiɲa?
মা: খাবারে বেশি তেল ব্যবহার করলে শরীর খারাপ হয়ে যায়।,"Mother: If you use too much oil in food, the body becomes sick.",ɟɔmaʔɾɛ ɖʰeɾ sunum bɛ͡o̯haɾ lekʰan hɔɽmɔ bɘɽiɟɔ.a.
মা: মাছ বেশি না ভেজে হালকা করে ভাজতে হবে।,"Mother: Fish should be lightly fried, not over fried.","hako d̪ɔ ɘɖi ãt d̪ɔ baŋ, ɟaːge bʰaɟako hojo.a."
মেয়ে: আমি তোমার কাছ থেকে সবকিছু রান্না করা শিখবো।,Daughter: I will learn to cook everything from you.,iɲd̪ɔ am ʈʰɛnkʰɔn ɟɔt̪ɔ̯͡aʔ isin basaŋiɲ ceːd̪a.
মা: আচ্ছা ঠিক আছে।,Mother: Okay for sure.,ac̚cʰa ʈʰikge.ja.
"মা: স্কুল যেদিন বন্ধ থাকবে, সেদিনই তুমি আমার কাছ থেকে রান্না শিখবে।",Mother: You will learn cooking from me on the day school is closed.,"iskul ɔka d̪in bɔnd̪ɔ t̪ahɛna, ɛnhilɘʔge iɲʈʰɛnkʰɔn isin basaŋɛm ceːd̪a."
"মেয়ে: মা, আমি রান্না শিখতে চাই।","Daughter: Mom, I want to learn cooking.","ɛgɔ, iɲd̪ɔ isin basaŋ t̪e.jaɾ cet̪̚ʔɟɔŋiɲ mened̪a."
মেয়ে: স্কুল ছুটির দিনে কি আমাকে রান্না শেখাবে?,Daughter: Will you teach me to cook during the school holidays?,iskul cʰuʈi maha isin basaŋ t̪e.jaɾɛm cet̪̚ʔɘɲɘ.
মা: এখন কেন রান্না শিখতে চাও?,Mother: Why do you want to learn cooking now?,nit̪ɔʔ ced̪aʔ isin basaŋ t̪e.jaɾ cet̪̚ʔɟɔŋɛm mɛned̪a?
মেয়ে: তুমি যখন হাসপাতালে ছিলে তখন আমাদের অনেক সমস্যা হয়েছে।,Daughter: We had a lot of problems when you were in the hospital.,am ɟɔkʰɔn hãspat̪alɾɛm t̪ahɛ̃kana un ɔk̚t̪ɛ alɛ ɘɖi sɔmɔssaɾɛlɛ paɽa͡o̯lena.
মেয়ে: রান্না পারি না তাই খাবার খেতে আমাদের কষ্ট হয়েছে।,Daughter: I can't cook so we had difficulty eating.,isin basaŋ t̪e.jaɾ bɘɲd̪aɽelɛnt̪ɛ ɟɔm ɲu ɾe ɘɖi kɔsʈɔɾɛlɛ paɽa͡o̯lena.
মা: কী কী রান্না শিখতে চাও বলো?,Mother: What do you want to learn to cook?,cɛt̪̚ʔ cɛt̪̚ʔ isin basaŋ t̪e.jaɾ cet̪̚ʔɟɔŋɛm mened̪a ma lɘ.jɘɲmɛ.
মা: কিন্তু তুমি কি মাছ ও মাংস রান্না শিখতে চাও না?,Mother: But don't you want to learn how to cook fish and meat?,amd̪ɔ hako aɾ ɟel isin basaŋ t̪e.jaɾ cet̪̚ʔ bam mened̪a.
মেয়ে: কিন্তু এতকিছু একসাথে বললে তুমি রাগ করবে ভেবেছিলাম।,Daughter: But I thought you would get angry if I said so much together.,mɛnɛd̪ɘɲ mit̪̚ʔsã͡o̯t̪ɛ unɘʔ isin basaŋ t̪e.jaɾ cet̪̚ʔɟɔŋiɲ mɛnɛt̪̚ʔt̪ɛ ɾaŋga͡o̯ăʔam sɛ cɛt̪̚ʔ.
মেয়ে: তাই মাছ ও মাংস রান্না শেখার কথা বলিনি।,Daughter: So I didn't talk about learning how to cook fish and meat.,ɔnat̪ɛ ɟel aɾ hako ut̪u t̪e.jaɾ cet̪̚ʔɟɔŋɾe.jaʔ kat̪ʰa d̪ɔ bɘɲ met̪am kan t̪ahɛna.
"মা: কারণ, আমার রান্না করতে যেমন ভালো লাগে, রান্না শেখাতেও ভালো লাগে।","Mother: Because, as much as I love to cook, I also love to teach cooking.","ɛnt̪ɛʔ isin basaŋ t̪e.jaɾ cɛt̪̚ʔleka ɾɘskɘɲ buɟʰhɘ͡o̯a, ɛʈaʔhɔɽ cet̪̚ʔakohɔ̃ oŋkage ɾɘskɘɲ ɘikɘ͡o̯a."
মেয়ে: রান্নার সময় কী কী বিষয় খেয়াল রাখা দরকার মা?,"Daughter: What things need to be taken care of while cooking, mother?","ɛgɔ, ad̪ɔ isin basaŋ ɔkt̪ɛ cɛt̪̚ʔ cɛt̪̚ʔko d̪isɘ d̪ɔhɔ ɟɘɾuɽa?"
মা: সবার আগে খেয়াল করতে হবে রান্নাঘরে দরকারি সকল জিনিসপত্র আছে কিনা।,"Mother: First of all, check that the kitchen has all the necessary items.",ɟɔt̪ɔkʰɔn lahaɾɛ d̪isɘ͡i̯ ɟɘɾuɽt̪ama d̪aka͡i̯ ɔɽaʔɾɛ ɟɘɾuɽ ɟinisko menaʔa sɛ baŋ.
মা: শাক-সবজি কাটার আগে পানিতে ভালো করে ধুয়ে নিবে।,Mother: Wash the vegetables well in water before cutting them.,aɽaʔsakam sɛ ut̪ut̪e.jaʔ gɛt̪̚ʔ lahaɾɛ mɔɟt̪ɛ ɘɾupʔ sapa͡i̯ hojo.a.
মা: যে-কোনো খাবার রান্নার সময় কম তেল ব্যবহার করবে।,Mother: Use less oil while cooking any food.,ɟahanaʔge t̪ʰɔɽa sunumt̪ɛm ut̪u.ja.
মা: রান্না করার আগে মাংসে মশলা মাখিয়ে কিছুক্ষণ রেখে দিতে হবে।,"Mother: Before cooking, put spices on the meat and keep it to marinate for a while.",ut̪u͡i̯ t̪ʰɔɽa ɔk̚t̪ɛ lahaɾɛ ɟelɾɛ mɔsla makʰa͡o̯ d̪ɔhɔ͡i̯ ho.jo.a.
মেয়ে: আজকে অনেক কিছু শিখলাম মা।,Daughter: I have learned a lot today mom.,t̪eheɲd̪ɔ a͡i̯maɲ cet̪̚ʔked̪a gɔː.
মালতি: তোমাকে একটু আগে খুঁজে গিয়েছিলাম কিন্তু পাইনি।,Maloti: I looked for you a while back but couldn't find you.,mit̪̚ʔgʰɘɽi lahaɾɛɲ sɛnd̪ɾakɛt̪̚ʔme.ja aɾ bɘɲ ɲamlɛt̪̚ʔme.ja.
মালতি: কোথায় গিয়েছিলে তুমি?,Maloti: Where did you go?,okat̪ɛm sɛnlɛna?
"ডলি: আমার লাল মোরগটি হারিয়ে গিয়েছিল, সেটাকে খুঁজতে গিয়েছিলাম।","Dolly: My red rooster was lost, so I went looking for it.","alɛɾɛn aɾaʔ sɘnɖi͡i̯ at̪̚ʔlɛna, uni send̪ɾaɲ cala͡o̯lena."
মালতি: খুঁজে পেয়েছ?,Maloti: Have you find it?,send̪ɾa ɲamked̪e.jam?
"ডলি: হ্যাঁ, পেয়েছি।","Dolly: Yes, got it.","hɛ̃ː, ɲamkid̪i.jɘɲ."
"ডলি: তুমি দাঁড়িয়ে আছো কেন, বসো।","Dolly: Why are you standing, sit down.","ced̪aʔɛm t̪eŋgo͡akana, d̪uɽup̚ʔmɛ."
মালতি: এখন বসবো না (দিদি)।,Maloti: I will not sit now [sister].,nit̪̚ʔd̪ɔ bɘɲ d̪uɽup̚ʔa d̪i.
মালতি: বাড়িতে মেহমান/ অতিথি এসেছে।,Maloti: Guest has come to the house.,ɔɽaʔɾɛ pɛɽako hɛʲc̚ʔakana.
মালতি: তাই তোমার কাছে এসেছি।,Maloti: So I have come to you.,ɔnat̪ɛ amʈʰɛniɲ hɛʲc̚ʔakana.
"মালতি: ঘরে চাল-ডাল-ডিম সবই আছে, কিন্তু তেল নেই।","Maloti: There is rice, pulses, eggs and everything in the house, but no oil.","ɔɽaʔɾɛ ca͡o̯le, d̪ɘl aɾ bele mena.a, mɛnɛʔ sunumd̪ɔ bɘnu.anaŋ."
মালতি: তোমার কাছে কি একটু তেল পাওয়া যাবে?,Maloti: Can you give me some oil?,cɛt̪̚ʔ amʈʰɛn t̪ʰɔɽa sunum ɲamkɔʔa?
"ডলি: হ্যাঁ, আছে।","Dolly: Yes, available.","hɛ̃, mɛnaʔge.ja."
"মালতি: না, বোতল আনিনি।","Maloti: No, I have not brought the bottle.","baŋ, bɔt̪ɔld̪ɔ bɘɲ ɘguo̯͡akad̪a."
"ডলি: ঠিক আছে, তাকে পাঠিয়ে দাও।","Dolly: All right, send her away.","ʈʰikge.ja, kolka͡i̯mɛ."
"মালতি: (দিদি), বাড়িতে আছো?","Maloti: [Sister], Are you at home?","ɛːd̪i, ɔɽaʔɾɛ menama?"
"ডলি: হ্যাঁ, আছি।","Dolly: Yes, I am.","hɛ̃, minɘɲgecɔ."
ডলি: কী হয়েছে?,Dolly: What happened?,cɛt̪̚ʔ ceka͡o̯ăkana?
মালতি: কোথায় গিয়েছিল মোরগটি?,Maloti: Where did the rooster go?,ɔkaseʲc̚ɛ d̪ɘɽled̪a unid̪ɔ?
ডলি: পাশের বাড়ির খড়ের গাদায় লুকিয়ে ছিল।,Dolly: It was hiding in the haystack next door.,alɛ ɔɽaʔ aɽe busup̚ʔpalaɾɛ͡i̯ sɔgɛ.jakantahɛkana.
মালতি: কিন্তু বাজারে পাঠানোর জন্য কাউকে খুঁজে পাচ্ছি না।,Maloti: But can't find anyone to send to the market.,baɟaɾ kolko lɘgit̪̚ʔ ɔko͡i̯hɔ̃ bɘɲ ɲamɛt̪̚ʔko͡a̯.
"ডলি: বলো, তোমার কী লাগবে?","Dolly: Tell me, what do you need?",lɘ.jɘɲmɛ cɛt̪̚ʔko laga͡o̯ma?
ডলি: তুমি তেল নেওয়ার জন্য বোতল নিয়ে এসেছ?,Dolly: Have you brought the bottle to take the oil?,sunum id̪ilɘgit̚ʔ bɔt̪ɔlɛm ɘguo̯͡akad̪a?
মালতি: আমি আমার মেয়েকে তেলের বোতল নিয়ে পাঠিয়ে দিচ্ছি।,Maloti: I am sending my daughter with a bottle to contain oil.,iɲɾɛn kuɽigid̪̚ɾɘ sunum bɔt̪ɔlat̪ɛɲ kolka͡i̯kana.
ডলি: তোমার কাছে বাড়তি লবণ থাকলে আমার জন্য এক বাটি লবণ পাঠিয়ে দিও।,"Dolly: If you have extra salt, send me a bowl of salt.",amʈʰɛn ɖʰeɾɲɔʔ buluŋ menaʔkʰan mit̪̚ʔbɘʈi kolt̪oɾao͡ɘ̯ɲmɛ.
রিতু: আমার খুব পানির পিপাসা/ তৃষ্ণা পেয়েছে।,Ritu: I am very thirsty.,iɲd̪ɔ ɘɖi ãʈ t̪et̪aŋid̪iɲkana.
"প্রিতু: হ্যাঁ, দিচ্ছি।","Preetu: Yes, sure.","hɛ̃, imamkɘnɘɲ."
প্রিতু: তুমি এখন কোথা থেকে এলে?,Pritu: Where did you come from now?,nit̪̚ʔ amd̪ɔ ɔkakʰɔnɛm hɛʲc̚ʔɛna?
"রিতু: আমার বাড়িতে পানি নেই, তাই পানি নিতে এসেছি।",Ritu: I don't have water at home so I have come to fetch water.,"ɔɽaʔɾɛ d̪aʔ bɘnuʔa, ɔnat̪ɛ d̪aʔ id̪iɲ hɛʲc̚ʔakana."
রিতু: আমার মনে হয় — সে এখন দোকানে আছে।,Ritu: I think he is in the shop now.,hud̪isɔʔkɘnɘɲ d̪okanɾɛ pasɛʲc̚ʔ mɛna.ja.
রিতু: কিন্তু বাড়ি ফিরে দেখলাম সে পানি আনেনি।,Ritu: But I came home and saw that he did not bring water.,mɛnkʰan ɔɽaʔɾɛ ɾu͡ɘɽ kat̪ɛʔiɲ ɲɛlked̪a uni d̪ɔ d̪aʔ ba͡i̯ ɘgu͡akad̪a.
"প্রিতু: হ্যাঁ, আমাদের নলকূপেও/ কল/ কুয়াতেও আগের মতো পানি ওঠে না।","Preetu: Yes, water does not come up in our tube wells/ taps/ wells as before.","hɛ̃, ale.jaʔ nɔlkupkʰɔn hɔ̃ nit̪̚ʔ d̪ɔ d̪aʔ baŋ ɾakabɔʔkana."
প্রিতু: গরমের দিন আসার সাথে সাথে পানির এই সমস্যা শুরু হয়।,Preetu: This scarcity of water starts with the arrival of hot summer days.,niɾon d̪in hiɟuʔɾɛ ni.jɘ sɔmɔssa nɛlɔʔkana.
রিতু: পানির অভাব অন্যকিছু দিয়ে পূরণ করা যায় না।,Ritu: Scarcity of water cannot be filled with anything else.,d̪aʔ ɾenaʔ ɔbʰab d̪ɔ ɛʈaʔ ɟahanaʔt̪ɛ baŋ miʈɘ.a.
"রিতু: খাওয়া থেকে শুরু করে রান্না, গোসল, ধোয়া-মোছা সব কাজেই পানি লাগে।","Ritu: From eating to cooking, bathing, washing everything requires water.","isin basan kʰɔn ɛhɔp̚ʔ kat̪ɛʔ t̪ʰɘɾibɘʈi gasa͡o̯, ɖɘbɾɘʔ, aɾ ɟɔt̪ɔ kɘmiɾege d̪aʔ laga.a."
প্রিতু: আমরা পানির সমস্যা সমাধানের জন্য সবাইকে নিয়ে মিটিং করবো।,Preetu: We will have a meeting with everyone to solve the water crisis.,abo d̪ɔ d̪aʔ ɾenaʔ ɛʈkɛʈɔɽẽ caba͡i̯ lɘgit̪̚ʔ ɟɔt̪ɔkot̪ɛbon gapal maɾaʔa.
রিতু: আমাকে কি এক গ্লাস পানি দেওয়া যাবে?,Ritu: Can I have a glass of water?,mit̪̚ʔ g͡lɘs d̪aʔɛm imɘɲa?
রিতু: আমি ক্ষেত/ মাঠ থেকে এলাম।,Ritu: I have come from the fields.,iɲd̪ɔ bɘ͡i̯hɘɽ kʰɔniɲ hɛʲc̚ʔɛna.
প্রিতু: তোমার স্বামী/ জামাই কোথায়?,Preetu: Where is your husband?,amɾɛn ɔɽaʔhɔɽ dɔ͡i̯ oka͡i̯na?
রিতু: সকালে আমি তাকে পানি আনতে বলেছিলাম।,Ritu: In the morning I asked him to fetch water.,set̪aʔɾɛ iɲd̪ɔ uni d̪aʔ aguɲ met̪ad̪i t̪ahɛ̃kana.
রিতু: আমরা প্রতিদিন যে নলকূপ/ কল/ কুয়া থেকে পানি আনি — সেটা নষ্ট হয়ে গেছে।,Ritu: The tube well/ tap/ well that we fetch water from every day is ruined.,alɛd̪ɔ d̪inɘmge oka kɔl kʰɔn d̪aʔlɛ ɘgu͡i̯ ɔna d̪ɔ bɘɽiʲc̚ʔakana.
রিতু: আমাদের বাড়ির আশেপাশে আর কোনো নলকূপ/ কল/ কুয়া নেই।,Ritu: There is no other tube well/ tap/ well around our house.,alɛ ɔɽaʔ aɖɛpasɛ aɾ kɔl bɘnu.a.
প্রিতু: পানির সমস্যা যেন না হয় এর জন্য স্থায়ী/ দীর্ঘমেয়াদী/ ভালো সমাধান দরকার।,Preetu: Permanent/ long term/ good solution is needed to avoid water problems.,d̪aʔ ɾe.jaʔ ɛʈkɛʈɔ̃ɽɛʔ alɔ hojoʔ lɘgit̪̚ʔt̪ɛ mɔ̃ɟ bɛbɔst̪a hat̪͡o̯ ɟɘɾuɽa.
প্রিতু: গ্রামের সবাই একসাথে বসে এই বিষয়ে আলোচনা করা দরকার।,Preetu: Everyone in the village needs to sit together and discuss this issue.,at̪oɾɛn ɟɔt̪ɔko mit̪̚ʔsã͡o̯t̪ɛ duɽup̚ʔ kat̪ɛ no̯͡a bisɔjt̪ɛ gapalmaɾa͡o̯ ɟɘɾuɽa.
রিতু: নলকূপ/ কূপ/ কুয়া ছাড়াও পানির অন্য ব্যবস্থাও থাকা দরকার।,"Ritu: Apart from tube wells/ wells, there should be other water systems.",kɔl sɛ kuɲ baŋkʰan d̪aʔ lɘgit̪̚ʔ ɛʈaʔ bɛbɔsta̪ t̪ahɛn ɟɘɾuɽa.
"রিতু: যেমন, বৃষ্টির পানি ধরে রাখা।","Ritu: Like, rain water reservation.","ɟelɛka, sɛɾma d̪aʔ aɾɟa͡o̯ d̪ɔhɔkaʔ."
প্রিতু: এটা তো চিন্তার বিষয়!,Preetu: This is a matter of concern!,no̯͡a d̪ɔ ɘɖi bʰɘbit̪̚ ɾe.jaʔ katʰa kana.
"বাবা: তখন তোমার জ্বর আর পেটব্যথা হয়েছিল, তাই যেতে পারোনি।","Father: At that moment you had a fever and stomach ache, that is why you couldn't go.",unɾɛ amaʔ d̪ɔ ɾu̯͡ɘ aɾ laʲc̚ʔ haso t̪ahɛ̃kan t̪ɛ bam cala͡o̯ d̪aɽe.jad̪a.
বাবা: এবার তোমাকে নিয়ে যাবো এবং খেলনা কিনে দেবো।,Father: This time I will take you and buy you toys.,ni̯͡ɘbaɾd̪ɔɲ id̪imɛge.ja aɾ ɛnɛʲc̚ʔ ɟinisiɲ kiɾiɲama.
মেয়ে: আমার সাথে ছোটভাইকেও নিতে হবে।,Daughter: You have to take younger brother with me.,iɲsã͡o̯t̪ɛ huɖiɲ bɔ͡i̯hahɔ̃ id̪i͡ɛ̯ ho.jo.a.
মেয়ে: তাকে আমি মজার মজার খাবার কিনে দেবো।,Daughter: I will buy him delicious food items.,iɲd̪ɔ uni mɔ̃ɟ mɔ̃ɟ ɟɔmaʔiɲ kiɾiɲa.ja.
"বাবা: তোমার ভাই এখনও অনেক ছোট, সে কান্নাকাটি করতে পারে।","Father: Your brother is still very young, he might cry.","am bɔ͡i̯had̪ɔ nit̪hɔ͡i̯ kɘʈiʲc̚ʔge.ja, ɾaʔ d̪aɽɛo̯͡aʔa͡i̯."
বাবা: আরেকটু বড় হলে তাকে মেলায় নিয়ে যাবো।,Father: I will take him to the fair when he is a little grown up.,t̪ʰoɽa͡i̯ lɘʈuɲɔʔlɛnkʰan mɛlaɲ id̪i͡i̯ja.
বাবা: আমরা তাকে না জানিয়ে/ না বলে মেলায় যাবো।,Father: We will go to the fair without acknowledging him.,abo d̪ɔ bɛgɔɾ lɘ͡i̯t̪ege mɛlabon cala.a.
মেয়ে: সে আমাকে দেখতে না পেলেই কাঁদবে।,Daughter: He will cry if he doesn't see me.,uni d̪ɔ iɲ ba͡i̯ ɲɛlliɲkʰaʲc̚ʔɛ ɾaːga.
বাবা: ফেরার সময় তার জন্য খাবার ও খেলনা নিয়ে আসবো।,Father: We will bring food and toys for him when we get back.,ɾu͡ɘɽ ɔkt̪ɛ uni lɘgit̪̚ʔ ɟɔmaʔ aɾ ɛnɛʲc̚ʔ ɟiniskoɲ ɘgu t̪ɔɾaɔ̯͡a.ja.
বাবা: সেগুলো পেলে সে খুশি হবে।,Father: He will be happy when he gets them.,onako͡i̯ ɲam lekʰanɛ kusiʔa
"মেয়ে: ঠিক আছে বাবা, তাই করবো।","Daughter: Alright Father, I will do that.","ʈʰikge.ja baba, oŋka.jabo."
"মেয়ে: বাবা, গতবছর/ আগেরবার তুমি আমাকে মেলায় নিয়ে যাওনি।","Daughter: Father, you didn't take me to the fair last year/ previous time.","ɛː ba, dinkalɔm am d̪ɔ iɲ mɛla ɲɛl bam id̪i t̪aɾalid̪iɲa."
মেয়ে: এবার আমাকে নিতেই হবে।,Daughter: This time you must take me.,ni͡ɘbaɾd̪ɔ id̪iɲgi laga͡o̯ma
মেয়ে: আমাকে তুমি মাটির পুতুল আর ঘোড়া কিনে দিবে।,Daughter: You shall buy me a clay doll and horse.,amd̪ɔ hasa ɾenaʔ put̪ul aɾ sad̪ɔmɛm kiɾiɲiɲɘ.
১ম বন্ধু: আমি একজনের কান্না শুনতে পাচ্ছি।,1st Friend: I can hear someone crying.,ɔkɔ͡i̯cɔŋ mit̪̚ʔ hɔɽaʔ ɾaʔiɲ aɲɟɔmɛd̪a.
১ম বন্ধু: মনে হয় খারাপ কিছু ঘটেছে।,1st Friend: It seems something bad happened.,hɔ͡i̯t̪o bɘɽiʲc̚ʔ ɟahanaʔ ho͡i̯.akana.
১ম বন্ধু: চলো সামনে এগিয়ে দেখি।,1st Friend: Let's look ahead.,d̪ɛla lahasɛʲc̚ʔ sɛn kat̪ɛʔlaŋ ɲɛːla.
"২য় বন্ধু: হ্যাঁ, আমিও এরকম শব্দ শুনতে পাচ্ছি।","2nd Friend: Yes, I am hearing the same sound as well.","hɛ̃ː, iɲhɔ̃ oŋkan saɖeɲ aɲɟɔmɛd̪a."
২য় বন্ধু: চলো দেখি কী হয়েছে।,2nd Friend: Let's see what happened.,d̪ɛla sɛː cɛt̪̚ʔ ho͡i̯kana.
আহত ব্যক্তি: দয়া করে আমাকে সাহায্য করুন।,Injured person: Please help me.,d̪a.jakat̪ɛʔ gɔɽɔo̯͡ɘɲbɛn.
আহত ব্যক্তি: একটা ট্রাক আমাকে চাপা দিয়ে চলে গেছে।,Injured person: A truck has run over me.,mit̪̚ʔʈɛn loɽi d̪ɔ iɲɛ t̪ɛn oʈokad̪iɲa.
২য় বন্ধু: চলো আমরা তাকে নিয়ে হাসপাতালে যাই।,2nd Friend: Let's take him to the hospital.,d̪ɛla alaŋ d̪ɔ uni haspat̪allaŋ id̪i͡i̯.ja.
১ম বন্ধু: হাসপাতালে গেলে বিভিন্ন রকমের ওষুধ কিনতে হবে।,"1st Friend: After going to the hospital, we will have to buy various medicines.",haspat̪alɾe cala͡o̯lɛnkʰan a͡i̯ma lekan ɾan kiɾiɲ ho.jo.a.
২য় বন্ধু: তাহলে (আমরা) এখন কী করবো?,2nd friend: So what do we do now?,ɛnɖɛkʰan nit̪̚ʔ d̪ɔ cɛt̪̚ʔlaŋ ceka.ja?
১ম বন্ধু: এক্ষুণি এঁর পরিবারের লোকজনকে খবর দিতে হবে।,1st Friend: At this moment his family needs to be informed.,nit̪̚ʔgi oŋko̯͡aʔ gʰaɾɔɟ ɾɛ kʰɔbɔɾ kol ho.jo.a.
১ম বন্ধু: যা করার তারা এসে করবে।,1st Friend: They will come and do whatever needs to be done.,ɔka kɘmiɾɛnaʔ oŋko hɛʲc̚ʔ kat̪ɛʔko kɘmi.ja.
১ম বন্ধু: আপনার পা থেকে অনেক রক্ত বের হচ্ছে।,1st friend: Your leg is bleeding a lot.,amaʔ ɟaŋgakʰɔn a͡ima ma.jam ɟɔɾɔʔkana.
১ম বন্ধু: দ্রুত চিকিৎসা দরকার।,1st Friend: You need urgent treatment.,ɘɖi usɘɾa ɾaːnɛ ɟɘɾuɽa.
২য় বন্ধু: তারপর পুলিশকে জানাতে হবে।,2nd friend: Then you have to inform the police.,inɘ t̪a.jɔm pulis baɖa͡i̯ ocoko hojo.a.
২য় বন্ধু: তারা ট্রাকটিকে খুঁজে বের করবে।,2nd Friend: They will find the truck.,oŋkoge ona loɾi gɘɖiko send̪ɾa oɖoka.
"১ম বন্ধু: সেগুলো কিনতে যে পরিমাণ টাকা দরকার, তা আমার কাছে নেই।",1st Friend: I don't have enough money to buy them.,ɔnako ɾan kiɾiɲ lɘgit̪̚ʔ t̪inɘʔ ʈaka ɟɘɾuɽa unɘʔ d̪ɔ iɲʈʰɛʲc̚ʔ bɘnu.a.
২। মায়ের আদর ও যত্নে শিশুরা বেড়ে উঠে।,2. Children grow well under mother's nurturing and care.,gɔgɔo͡aʔ d̪ulɘɽ ɟɔt̪ɔn tege gid̪ɾɘd̪ɔko haɾa buɾuʔkana.
৩। আমি আমার মায়ের কাছ থেকে কথা বলা শিখেছি।,3. I learned speaking/ language from my mother.,iɲd̪ɔ iɲ gɔgɔʈhɛnkʰɔn kat̪ʰa ɾɔɽiɲ cet̪̚ʔked̪a.
"৫। শিশুকালে আমার একবার অসুখ হয়েছিল, তখন আমার মা অনেক কান্নাকাটি করেছিলেন।","5. I got sick once in my childhood, and my mother cried a lot.",kɘʈiʲc̚ʔɾɛ iɲd̪ɔ ɾu͡ɘlɛna aɾ iɲ gɔgɔd̪ɔ ɘɖi aʈɛ hɔmɔɾ halaŋ led̪a.
