generated_id,template_id,generated_santali,generated_english,generated_bangla,best_eaf_file,best_eaf_utterance_id,best_eaf_santali,best_eaf_english,best_eaf_bangla,combined_score,english_word_score,english_overlap_score,bangla_overlap_score,santali_overlap_score,confidence
SYN-00064,ADJ_NOUN,ona dɔ ạnhũṭ ketab kan-a,That is a independent book.,"ওটা স্বাধীন, স্বনির্ভর বই।",santali_new_glossed.eaf,13,am d̪ɔ no̯a put̪ʰi-m paɽha-o̯-ka-d̪a am d̪ɔ no̯a put̪ʰi-m paɽha-o̯-ka-d̪a,Have you read the book?,,0.7483,0.7483,0.5000,0.0000,0.0000,high
SYN-00068,IMPERATIVE,gudrạu me,Please to happen.,ঘটা।,santali_pasted_text.eaf,57,cɛt̪ʔ cekaoakana cɛt̪ʔ ceka-o-a-kana,What happened?,,0.8060,0.8060,0.7071,0.0000,0.0000,high
SYN-00073,YESNO_VERB,iɲ dɔ beṇḍao kan-a?,Do I kill?,আমি কি হত্যা করা?,santali_matthew_glossed(1).eaf,23,ɑlom kʰunɑ ɑr jɑhɑede-e kʰun uni d̪o bicɑrre d̪ɑyike hoyok'ɑ ɑlom kʰunɑ ɑr jɑhɑe-d̪e-e kʰun uni d̪o bicɑr-re d̪ɑyike hoyok'-ɑ,"Do not kill, and whoever kills will be liable to judgment.",,0.7548,0.7548,0.5000,0.0000,0.0000,high
SYN-00078,LOC_NEG_EXIST,nikạs-re gajaṛ banuʔ-a,There is no turmoil in/at opening.,খোলা জায়গা-তে হইচই নেই।,santali_matthew_glossed(1).eaf,10,sermɑ d̪o ʤʰic'enɑ sermɑ d̪o ʤʰic'-enɑ,The heavens were opened.,,0.5595,0.5595,0.3333,0.0000,0.0000,high
SYN-00079,OBJECT_VERB,uni dɔ mạci-i dạr-a,he/she does flee with stool.,সে টুল পালানো।,santali_glossed_2.eaf,21,ʈɘnɖi-t̪ɛt̪̚ʔ d̪ɔ cɛt̪̚ʔ lɛhɛɾ-ge-ja sɛ kɛʈɛʲc̚ʔ-ge-ja ʈɘnɖi-t̪ɛt̪-ʔ d̪ɔ cɛt̪-ʔ lɛhɛɾ-ge-ja sɛ kɛʈɛʲc-ʔ-ge-ja,Is the stool thin or thick?,,0.5906,0.5906,0.4082,0.0000,0.0000,high
SYN-00085,DEMO_NEG_ADJ,ona dɔ ba-ŋ ar kan-a,That is not other.,"ওটা অন্য, অপর নয়।",santali_glossed_3.eaf,76,ɛʈaʔ ɛʈaʔ,Other/Another,,0.6786,0.6786,0.7071,0.0000,0.0000,high
SYN-00105,IMPERATIVE,janao me,Please to tell.,বলা।,santali_imperatives_glossed.eaf,4,ɔnaʈaʔ ɟɘɽ lɘ͡i-mɛ ɔna-ʈaʔ ɟɘɽ lɘ͡i-mɛ,Tell that incident.,,0.6718,0.5702,0.7071,0.0000,0.0000,high
SYN-00109,SUBJ_ADJ,abo dɔ ar kan-a-bon,we are other.,"আমরা অন্য, অপর।",santali_glossed_3.eaf,76,ɛʈaʔ ɛʈaʔ,Other/Another,,0.6786,0.6786,0.7071,0.0000,0.0000,high
SYN-00110,LOC_EXIST,ipil-re kạmi minaʔ,There is act in/at star.,তারকা-তে কাজ আছে।,santali_new_glossed.eaf,102,no̯a d̪ɔ ɘɖi-t̪ɛt̪ bɘɽic͡ʔ kɘmi kana no̯a d̪ɔ ɘɖi-t̪ɛt̪ bɘɽic͡ʔ kɘmi kana,It is a heinous act.,,0.7071,0.7071,0.5000,0.0000,0.0000,high
SYN-00115,LOC_EXIST,ḍobhak̕-re cirioṅ minaʔ,There is chirp of birds in/at puddle.,কাদার গর্ত-তে পাখির কিচিরমিচির আছে।,santali_glossed_2.eaf,32,cɛ̃ɽɛ̃-ko-aʔ cɛɾɔbɛɾɔ aɲɟɔm-t̪ɛ alɛ-jaʔ mɔn d̪ɔ ɾɘs-kɛ-t̪ɛ pɛɾɛɟ-ɔʔ-a cɛ̃ɽɛ̃-ko-aʔ cɛɾɔbɛɾɔ aɲɟɔm-t̪ɛ alɛ-jaʔ mɔn d̪ɔ ɾɘs-kɛ-t̪ɛ pɛɾɛɟ-ɔʔ-a,Hearing the birds' chirping makes you feel better.,,0.5987,0.5987,0.4714,0.0000,0.0000,high
SYN-00139,DEMO_ADJ,nɔa dɔ rakraka kan-a,This is sticking out.,এটা বেরিয়ে থাকা।,santali_glossed_new_2.eaf,33,mãt̪ʔ ɾe.jaʔ ʈʰeŋga mãt̪ʔ ɾe.j-aʔ ʈʰeŋga,Stick of bamboo.,,0.5793,0.5793,0.5000,0.0000,0.0000,high
SYN-00155,PLACE_VERB,uni dɔ khola oṛak̕-re biṇḍuc̕ saṭok̕ kan-a,he/she does pout in/at guest chamber.,সে অতিথিশালা-তে ঠোঁট ফোলানো।,santali_pasted_text.eaf,48,ɔɽaʔɾɛ pɛɽako hɛjcʔakana ɔɽaʔ-ɾɛ pɛɽa-ko hɛjcʔ-a-kana,Guests have come to the house.,,0.7722,0.7722,0.3333,0.0000,0.0000,high
SYN-00160,SUBJ_VERB_NEG_FUTURE,iɲ dɔ bɔ-iɲ cas-a,I will not cultivate.,আমি চাষ করা করবে না।,santali_with_ipa.eaf,98,huɾule rohoia ale-d̪o huɾule rohoia ale-d̪o huɾule rohoiɑ ɑled̪o,We cultivate rice.,,0.8141,0.8141,0.7071,0.0000,0.0000,high
SYN-00161,DEMO_ADJ,nɔa dɔ chãṭ kan-a,This is urgent.,এটা জরুরি।,santali_pasted_text.eaf,114,ɘɖi usɘɾa ɾaːnɛ ɟɘɾuɽa ɘɖi usɘɾa ɾaːnɛ ɟɘɾuɽ-a,Urgent treatment is needed.,,0.6535,0.6535,0.5774,0.0000,0.0000,high
SYN-00162,LOC_NEG_EXIST,phãk-re bạdi banuʔ-a,There is no accuser in/at rift.,ফাটল-তে অভিযোগকারী নেই।,santali_glossed_dialogues.eaf,20,"baŋ, lahaɾɛ d̪ɔ alɔm kiɾiɲa baŋ laha-ɾɛ d̪ɔ alɔ-m kiɾiɲ-a","No, no need to buy first.",,0.7549,0.7549,0.2887,0.0000,0.0000,high
SYN-00177,LOC_NEG_EXIST,ḍhip-re thobla banuʔ-a,There is no cluster in/at island.,দ্বীপ-তে থোকা নেই।,santali_glossed_dialogues.eaf,20,"baŋ, lahaɾɛ d̪ɔ alɔm kiɾiɲa baŋ laha-ɾɛ d̪ɔ alɔ-m kiɾiɲ-a","No, no need to buy first.",,0.7549,0.7549,0.2887,0.0000,0.0000,high
SYN-00181,SUBJ_ADJ,iɲ dɔ mạhit kan-a,I am handsome.,আমি সুন্দর।,santali_paradigm_glossed.eaf,72,iɲiɲ ɾɔɾɔɽ kana iɲ-iɲ ɾɔ-ɾɔɽ kan-a,I am saying.,,0.7627,0.7627,0.5000,0.0000,0.4743,high
SYN-00182,PLACE_VERB,am dɔ araraok̕-re bhidi kan-a,you do reconnoitre in/at mellowing/Ripening of fruit.,"তুমি ফল পাকা, পক্বতা-তে অনুসন্ধান চালানো।",santali_with_ipa.eaf,134,niɟo ɟdɔ ba-ŋ herem niɟo ɟ-dɔ ba-ŋ herem niɟo ɟd̪ɔ bɑŋ herem,This fruit is not sweet.,,0.6579,0.6579,0.3536,0.0000,0.0000,high
SYN-00185,LOC_NEG_EXIST,khãedak̕ khredak̕-re lapak̕ banuʔ-a,There is no flop in/at succession of pits & ravines.,গর্ত ও খাদের সারি-তে ধপ করে পড়া নেই।,santali_glossed_dialogues.eaf,20,"baŋ, lahaɾɛ d̪ɔ alɔm kiɾiɲa baŋ laha-ɾɛ d̪ɔ alɔ-m kiɾiɲ-a","No, no need to buy first.",,0.7549,0.7549,0.2236,0.0000,0.0000,high
SYN-00194,DEMO_NOM,nɔa dɔ udrạṅ mala kan-a,This is praying-beads.,এটা জপমালা।,santali_glossed_new_3.eaf,76,iɲlɘgit̪ʔ bint̪ii̯mɛ iɲ-lɘgit̪ʔ bint̪i-i̯-mɛ,Pray for me.,,0.8415,0.8415,0.5000,0.0000,0.0000,high
SYN-00195,DEMO_NEG_NOM,nɔa dɔ bõ̠s dɔ ba-ŋ kan-a,This is not family.,এটা পরিবার নয়।,santali_new_glossed.eaf,33,am-aʔ gʰaɾɔ̃ɟ-ɾɛ okɔ-i͡-ko mena-ʔ-ko-a am-aʔ gʰaɾɔ̃ɟ-ɾɛ okɔ-i͡-ko mena-ʔ-ko-a,Who is in your family?,,0.6442,0.6442,0.5774,0.0000,0.0000,high
SYN-00198,IMPERATIVE,lasok̕ me,Please to take mouthfuls.,গ্রাস করা।,santali_glossed_new_2.eaf,48,nɔnɖɛ kʰɔn hat̪aomɛ nɔnɖɛ kʰɔn hat̪a-o-mɛ,Take it from here.,,0.6964,0.6964,0.5000,0.0000,0.0000,high
SYN-00199,YESNO_ADJ,nɔa dɔ galgul kan-a?,Is this speaking?,এটা কি বলা?,bangla_sentences_glossed.eaf,13,iɲd̪ɔ baŋlat̪ɛ kat̪ʰaɲ ɾɔːɽa aɾ iŋɾeɟit̪ɛhɔ̃ katʰaɲ ɾɔɽ d̪aɽeo̯͡aʔa iɲ-d̪ɔ baŋla-t̪ɛ kat̪ʰa-iɲ ɾɔːɽ-a aɾ iŋɾeɟi-t̪ɛ-hɔ̃ katʰa-iɲ ɾɔɽ d̪aɽe-o̯͡a-ʔ-a,I speak Bengali and can also speak English.,,0.6961,0.6961,0.4472,0.0000,0.0000,high
SYN-00200,DEMO_NEG_NOM,ona dɔ ghera dɔ ba-ŋ kan-a,That is not tambourine (a kind of).,ওটা ঢপলি / একধরনের তবলা নয়।,santali_glossed_new_2.eaf,140,cɛt̪ʔlɛka cɛt̪ʔ-lɛka,How/What kind.,,0.6989,0.6989,0.4082,0.0000,0.0000,high
SYN-00207,SUBJ_VERB_NEG_PRESENT,uni dɔ ba-e ḍuyuṅ kan-a,he/she does not follow.,সে অনুসরণ করা না।,matthew_santali_glossed_ipa.eaf,35,d̪elɑ pɑɲd͡ʒɑɲme kʰɑŋɡe beret̪kɑt̪eye pɑɲd͡ʒɑkeed̪ɑ d̪elɑ pɑɲd͡ʒɑn-me kʰɑŋɡe beret̪-kɑt̪e-ye pɑɲd͡ʒɑ-ke-d̪ɑ,Follow me and immediately he got up and followed him.,,0.7022,0.7022,0.4082,0.0000,0.0000,high
SYN-00209,PROHIBITIVE,alɔ-m beṭhãṛ-a,Do not sit.,বসা না।,santali_pasted_text.eaf,47,nit̪ʔd̪ɔ bɘɲ d̪uɽupʔa d̪i nit̪ʔ-d̪ɔ bɘɲ d̪uɽupʔ-a d̪i,"I will not sit now, sister.",,0.6412,0.6412,0.5774,0.0000,0.0000,high
SYN-00223,PLACE_VERB,uni dɔ nại-re bandho̱n kan-a,"he/she does tie, to in/at damuda river.",সে দামোদর নদী-তে বেঁধে ফেলা।,santali_with_ipa.eaf,132,aɭe at̪u gadaʔ ariræ aɭe at̪u gadaʔ ariræ ɑɭe ɑt̪u ɡɑd̪ɑʔ ɑriɾæ,My village is near the river.,,0.5718,0.5718,0.3333,0.0000,0.0000,high
SYN-00226,SUBJ_VERB_NEG_PRESENT,uni dɔ ba-e ạcur kan-a,he/she does not return.,সে ফেরা না।,santali_with_ipa.eaf,100,t̪in ɟukʰuem ɾuoɽ t̪in ɟukʰu-em ɾuoɽ t̪in ɟukʰuem ɾuoɽ,When will you return?,,0.8313,0.8313,0.7071,0.0000,0.0000,high
SYN-00227,DEMO_NOM,ona dɔ guḍi kan-a,That is kite (bird).,ওটা চিল।,santali_glossed_2.eaf,33,ɔŋko mut̪̚ʔ-ɾɛ kɘʈiʲc̚ʔ ut̪ɘɾiʔ cɛ̃ɽɛ̃-jaʔ ɲut̪um d̪ɔ pʰecaʔ ɔŋko mut̪-ʔ-ɾɛ kɘʈiʲc-ʔ ut̪ɘɾiʔ cɛ̃ɽɛ̃-jaʔ ɲut̪um d̪ɔ pʰecaʔ,The Warbler is the tiniest bird among all the birds.,,0.6234,0.6234,0.3162,0.0000,0.0000,high
SYN-00234,LOC_EXIST,dak̕-re be̱ne̱t̕ minaʔ,There is stopper in/at rain.,বৃষ্টি-তে ছিপি আছে।,santali_paradigm_glossed.eaf,32,ɘɖi kaɟak̚ d̪aʔ hɘɟuʔkan t̪ahɛna ɘɖi kaɟak d̪aʔ hɘɟu-ʔ-kan t̪ahɛ-na,It was raining a lot.,,0.7608,0.7608,0.5000,0.0000,0.0000,high
SYN-00237,OBJECT_VERB_NEG,iɲ dɔ cuńci-to bɔ-iɲ cuṇḍul bhuṭul-a,I do not roam with pap.,আমি স্তনবৃন্ত ঘুরে বেড়ানো না।,santali_with_ipa.eaf,120,iɲ-d̪o d̪aɾan iŋ tʃalaʔ kan-a iɲ-d̪o d̪aɾan iŋ tʃalaʔ kan-a iɲd̪o d̪ɑɾɑn iŋ t͡ʃɑlɑʔ kɑnɑ,I go to roam.,,0.8762,0.8762,0.5000,0.0000,0.0000,high
SYN-00238,IMPERATIVE,bhad me,Please love.,ভালোবাসা।,santali_glossed_new_3.eaf,42,iɲd̪ɔ iɲaʔ pɘɾsiɲ d̪ulɘɽaʔa iɲ-d̪ɔ iɲ-aʔ pɘɾsi-ɲ d̪ulɘɽ-aʔ-a,I love my language.,,0.7399,0.7399,0.7071,0.0000,0.0000,high
SYN-00241,OBJECT_VERB_NEG,abo dɔ mungạ-to ba-bon baḍae-a,"we do not recognize, to with ben nut tree.",আমরা বেন নাট গাছ চিনতে পারা না।,santali_new_glossed_1.eaf,27,iɲd̪ɔ am bɘɲ oɾomɛt̪ʔmẽ̯͡a iɲ-d̪ɔ am bɘɲ oɾom-ɛ-t̪ʔ-mẽ-a,I don't recognize you.,,0.7173,0.7173,0.3536,0.0000,0.0000,high
SYN-00242,SUBJ_ADJ,iɲ dɔ gạ̃gũ kan-a,I am nasal.,আমি নাকি স্বরের।,santali_paradigm_glossed.eaf,72,iɲiɲ ɾɔɾɔɽ kana iɲ-iɲ ɾɔ-ɾɔɽ kan-a,I am saying.,,0.7627,0.7627,0.5000,0.0000,0.4743,high
SYN-00253,PLACE_VERB,abo dɔ le̱dle̱de̱-re halaṅ kan-a,we do to amass in/at percolation / carrying away by water.,আমরা জলের স্রোতে ভেসে যাওয়া-তে জড়ো করা / সঞ্চয় করা।,santali_imperatives_glossed.eaf,55,ɘɖi sɘŋgiɲ ɘɖi sɘŋgiɲ,Far Away,,0.5887,0.5887,0.3162,0.0000,0.0000,high
SYN-00256,ADV_VERB,iɲ dɔ hola bele kan-a,I do fester yesterday.,আমি গতকাল পচে যাওয়া।,santali_glossed_new_2.eaf,82,hɔla uni bai̯ hɛʲcʔlɛna hɔla uni ba-i̯ hɛʲcʔ-lɛ-na,He didn't come yesterday.,,0.6234,0.6234,0.4082,0.0000,0.0000,high
SYN-00262,PLACE_VERB,iɲ dɔ ḍhip-re aṭhaona paṭhaona kan-a,I do send messages in/at island.,আমি দ্বীপ-তে বার্তা আদানপ্রদান।,santali_pasted_text.eaf,54,"ʈʰikgeja, kolkaimɛ ʈʰik-ge-ja, kol-kai-mɛ","All right, send her.",,0.6736,0.6736,0.3333,0.0000,0.0000,high
SYN-00267,DEMO_ADJ,nɔa dɔ ẽṛga kan-a,This is counter.,এটা বিপরীত।,santali_dialogues_glossed.eaf,28,amd̪ɔ ponɛ d̪ɔsʈasɛʲc̚ʔ ka͡u̯nʈaɾɾɛm t̪ahɛ̃na am-d̪ɔ ponɛ d̪ɔsʈa ka͡u̯nʈaɾ-ɾɛ-m t̪ahɛ̃n-a,You will be at the counter by 09:45 PM.,,0.7256,0.7256,0.7071,0.0000,0.0000,high
SYN-00268,PROHIBITIVE,alɔ-m aṅge-a,"Do not take, to.","নেওয়া, গ্রহণ করা না।",santali_glossed_new_2.eaf,48,nɔnɖɛ kʰɔn hat̪aomɛ nɔnɖɛ kʰɔn hat̪a-o-mɛ,Take it from here.,,0.6964,0.6964,0.7071,0.0000,0.0000,high
SYN-00271,DEMO_NOM,nɔa dɔ dak̕ dak̕ramak̕ kan-a,This is thatching grass.,এটা ছাউনির ঘাস।,santali_new_glossed (1).eaf,38,biɾ ɾe.jaʔ sɘ͡o̯ɽit̪ɛ ɔɽaʔɾe.jaʔ sat̪eko d̪aːba biɾ ɾe-jaʔ sɘ͡o̯ɽi-t̪ɛ ɔɽaʔ-ɾe-jaʔ sat̪e-ko d̪aː-b-a,Houses are covered with the forest thatch.,,0.5880,0.5880,0.3536,0.0000,0.0000,high
SYN-00278,SUBJ_VERB_PAST,am dɔ kuṭạm-len-a,you did to fell (as an ox).,তুমি কাটা (পশু) করেছিল।,santali_glossed_new_2.eaf,45,d̪aɾekʰɔnɛ ɲuɾhɘ.jena d̪aɾe-kʰɔn-ɛ ɲuɾ-hɘ.j-ena,Fell from the tree.,,0.7913,0.7913,0.5000,0.0000,0.0000,high
SYN-00291,SUBJ_NEG_ADJ,uni dɔ ba-e rakraka kan-a,he/she is not sticking out.,সে বেরিয়ে থাকা নয়।,santali_glossed_new_2.eaf,33,mãt̪ʔ ɾe.jaʔ ʈʰeŋga mãt̪ʔ ɾe.j-aʔ ʈʰeŋga,Stick of bamboo.,,0.5793,0.5793,0.5000,0.0000,0.0000,high
SYN-00309,ADJ_NOUN,ona dɔ ạnhũṭ tahe̱r kan-a,That is a opinionative a kind of cucumber.,"ওটা একগুঁয়ে, মতামতে অটল এক ধরনের শসা।",santali_glossed_new_2.eaf,140,cɛt̪ʔlɛka cɛt̪ʔ-lɛka,How/What kind.,,0.6989,0.6989,0.3333,0.0000,0.0000,high
SYN-00315,OBJECT_VERB_NEG,iɲ dɔ ti-to bɔ-iɲ bicạr-a,I do not decide with the hand.,আমি হাত সিদ্ধান্ত নেওয়া না।,santali_bangla_glossed.eaf,46,t̪iːɾɛ ʈaka pa͡i̯sa mena.atʰɔɾ t̪iː-ɾɛ ʈaka pa͡i̯sa mena-a-tʰɔɾ,Do you have money at hand right now?,,0.5539,0.5539,0.3536,0.0000,0.0000,high
SYN-00319,YESNO_ADJ,nɔa dɔ ẽṛga kan-a?,Is this counter?,এটা কি বিপরীত?,santali_dialogues_glossed.eaf,28,amd̪ɔ ponɛ d̪ɔsʈasɛʲc̚ʔ ka͡u̯nʈaɾɾɛm t̪ahɛ̃na am-d̪ɔ ponɛ d̪ɔsʈa ka͡u̯nʈaɾ-ɾɛ-m t̪ahɛ̃n-a,You will be at the counter by 09:45 PM.,,0.7256,0.7256,0.7071,0.0000,0.0000,high
SYN-00320,SUBJ_VERB_NEG_FUTURE,uni dɔ ba-e heṛa ghesa-a,he/she will not to be on good terms.,সে সুসম্পর্ক থাকা করবে না।,santali_bangla_glossed.eaf,40,bʰagegecɔ bʰage-ge-cɔ,Good then.,,0.7024,0.7024,0.5000,0.0000,0.0000,high
SYN-00321,PLACE_VERB,am dɔ bo̱ro̱p-re bal kan-a,you do puncture with hot iron in/at frost.,তুমি শিশির / তুষার-তে গরম লোহা দিয়ে ফুটো করা।,santali_paradigm_glossed.eaf,12,t̪eheɲ d̪ɔ ɘɖi lɔlɔ t̪eheɲ d̪ɔ ɘɖi lɔlɔ,Today it is very hot.,,0.7163,0.7163,0.2887,0.0000,0.0000,high
SYN-00322,SUBJ_ADJ,iɲ dɔ moṭa kan-a,I am gruff.,আমি কর্কশ।,santali_paradigm_glossed.eaf,72,iɲiɲ ɾɔɾɔɽ kana iɲ-iɲ ɾɔ-ɾɔɽ kan-a,I am saying.,,0.7627,0.7627,0.5000,0.0000,0.4743,high
SYN-00323,SUBJ_NEG_ADJ,iɲ dɔ bɔ-iɲ cehel kan-a,I am not brim full.,আমি কানায় কানায় ভরা নয়।,santali_paradigm_glossed.eaf,72,iɲiɲ ɾɔɾɔɽ kana iɲ-iɲ ɾɔ-ɾɔɽ kan-a,I am saying.,,0.7627,0.7627,0.4082,0.0000,0.4330,high
SYN-00333,OBJECT_VERB_NEG,am dɔ bhiḍi-to ba-m kayar-a,you do not to bob the head with sheep.,তুমি ভেড়া মাথা দোলানো না।,santali_glossed_new_3.eaf,46,babad̪ɔ mit̪ʔʈɛn gʰaɾɔ̃ɟɾɛn mukʰi̯ɘ hɔɽ baba-d̪ɔ mit̪ʔ-ʈɛn gʰaɾɔ̃ɟ-ɾɛn mukʰi̯ɘ hɔɽ,Father is the head person/man of a family.,,0.5543,0.5543,0.2582,0.0000,0.0000,high
SYN-00337,OBJECT_VERB,am dɔ baha mala-i makmak-a,you do to romp with garland of flowers.,তুমি ফুলের মালা লাফালাফি করা।,santali_new_glossed.eaf,80,no̯a baha ɾe-jaʔ sɔ d̪ɔ bɘnu-a no̯a baha ɾe-jaʔ sɔ d̪ɔ bɘnu-a,This flower has no smell.,,0.6466,0.6466,0.3333,0.0000,0.2673,high
SYN-00343,SUBJ_ADJ,iɲ dɔ celcekec̕ kan-a,I am shallow.,আমি অগভীর।,santali_paradigm_glossed.eaf,72,iɲiɲ ɾɔɾɔɽ kana iɲ-iɲ ɾɔ-ɾɔɽ kan-a,I am saying.,,0.7627,0.7627,0.5000,0.0000,0.4743,high
SYN-00344,SUBJ_NEG_ADJ,iɲ dɔ bɔ-iɲ hurạ kan-a,I am not injured.,আমি আহত / ক্ষতিগ্রস্ত নয়।,santali_paradigm_glossed.eaf,72,iɲiɲ ɾɔɾɔɽ kana iɲ-iɲ ɾɔ-ɾɔɽ kan-a,I am saying.,,0.7627,0.7627,0.5000,0.0000,0.4330,high
SYN-00349,LOC_EXIST,gaḍha sot-re guric̕ minaʔ,There is cow-dung in/at hollows & ravines.,খাঁড়া ও গর্ত-তে গোবর আছে।,santali_glossed_3.eaf,113,ɔk̚t̪ɛ ɔk̚t̪ɛ saɾ lɛkat̪ɛ guɾiʲc̚ʔ aɾ t̪ɔɾɔʲc̚ʔliɲ laga͡ɔ̯ɛt̪̚ʔt̪ahɛ̃kana ɔk̚t̪ɛ ɔk̚t̪ɛ saɾ lɛkat̪ɛ guɾiʲc̚ʔ aɾ t̪ɔɾɔʲc̚ʔ-liɲ laga͡ɔ̯-ɛt̪̚ʔ t̪ahɛ̃-kana,Sometimes we used cow dung and ash as fertilizers.,,0.6046,0.6046,0.4082,0.0000,0.0000,high
