generated_id,template_id,generated_santali,generated_english,generated_bangla,best_eaf_file,best_eaf_utterance_id,best_eaf_santali,best_eaf_english,best_eaf_bangla,combined_score,english_word_score,english_overlap_score,bangla_overlap_score,santali_overlap_score,confidence
SYN-00022,IMPERATIVE,aṅgo̱p̕ me,"Please yawn, to.",হাই তোলা।,santali_glossed_1.eaf,20,"mobaĭlt̪ɛ seɾeɲ aɲɟɔmɔʔa, pʰɔʈɔ ɾakabɔʔa, senema aɾ naʈɔk̚ ɲɛlɔ.a. mobaĭl-t̪ɛ seɾeɲ aɲɟɔm-ɔʔ-a, pʰɔʈɔ ɾakab-ɔʔ-a, senema aɾ naʈɔk̚ ɲɛl-ɔ-a. mobaĭl-t̪ɛ | seɾeɲ | aɲɟɔm-ɔʔ-a | pʰɔʈɔ | ɾakab-ɔʔ-a | senema | aɾ | naʈɔk̚ | ɲɛl-ɔ-a","Mobile can be used to listen to music, take pictures and watch movies.","[S3.3] মোবাইলে গান শোনা যায়, ছবি তোলা যায়, সিনেমা ও নাটক দেখা যায়।",0.1837,0.0000,0.0000,0.2041,0.0000,low
SYN-00024,IMPERATIVE,niro̱po̱n me,Please to ascertain.,নির্ণয় করা।,santali_glossed_1.eaf,27,inʈaɾneʈ̚t̪ɛm ɔlɔʔ paɽha͡o̯ d̪aɽe.jaʔa. inʈaɾneʈ̚-t̪ɛ-m ɔlɔʔ paɽha͡o̯ d̪aɽe-aʔ-a. inʈaɾneʈ̚-t̪ɛ-m | ɔlɔʔ | paɽha͡o̯ | d̪aɽe-aʔ-a,We can even study on the internet/ online.,[S3.10] ইন্টারনেটে/ অনলাইনে পড়াশোনা করা যায়।,0.2405,0.0000,0.0000,0.2673,0.0000,low
SYN-00025,PROHIBITIVE,alɔ-m mahkao-a,Do not to emit a perfume.,সুগন্ধ ছড়ানো না।,santali_with_ipa.eaf,59,laŋga-a-m laŋga-a-m lɑŋɡɑɑm,You'll get tired.,,0.2500,0.0000,0.0000,0.0000,0.5000,low
SYN-00026,DEMO_NEG_ADJ,nɔa dɔ ba-ŋ ḍhiso ḍhoro kan-a,This is not unwashed.,এটা অধোয়া নয়।,santali_with_ipa.eaf,136,niɟa iŋʔ kɔlɔm ba-ŋ kan-a niɟa iŋʔ kɔlɔm ba-ŋ kan-a niɟɑ iŋʔ kɔlɔm bɑŋ kɑnɑ,This is not my pen.,,0.2236,0.0000,0.0000,0.0000,0.4472,low
SYN-00027,PLACE_VERB,am dɔ pasṛa-re pańca kan-a,you do to borrow in/at smithy.,তুমি কামারশালা-তে ধার করা।,santali_with_ipa.eaf,54,ɾesʔk kan-a ɾesʔk kan-a ɾesʔk kɑnɑ,He's happy.,,0.1890,0.0000,0.0000,0.0000,0.3780,low
SYN-00028,PROHIBITIVE,alɔ-m hajrao-a,Do not to confront.,মুখোমুখি হওয়া / সম্মুখীন হওয়া না।,santali_with_ipa.eaf,59,laŋga-a-m laŋga-a-m lɑŋɡɑɑm,You'll get tired.,,0.2500,0.0000,0.0000,0.0000,0.5000,low
SYN-00030,SUBJ_ADJ,uni dɔ be̱ho̱k kan-a-e,he/she is partial.,সে পক্ষপাতদুষ্ট।,santali_with_ipa.eaf,78,uni-d̪o iɲ goɡo kan-a-e uni-d̪o iɲ goɡo kan-a-e unid̪o iɲ ɡoɡo kɑnɑe,She is my mother.,,0.2582,0.0000,0.0000,0.0000,0.5164,low
SYN-00033,NUM_NOUN_EXIST,ge̱l irạl beldar minaʔ,"There are/is eighteen navvy, labourer.",আঠারো শ্রমিক আছে।,santali_glossed_1.eaf,103,ʈʰikge.ja. ʈʰik-ge-a. ʈʰik-ge-a,Arka: Okay.,[S8.26] অর্ক: ঠিক আছে।,0.2324,0.0000,0.0000,0.2582,0.0000,low
SYN-00034,SUBJ_VERB_PRESENT,iɲ dɔ bobe kan-a,I do stutter.,আমি তোতলানো।,santali_with_ipa.eaf,86,iɲ bond̪ʰu kan-a-e iɲ bond̪ʰu kan-a-e iɲ bond̪ʰu kɑnɑe,This is my friend.,,0.2739,0.0000,0.0000,0.0000,0.5477,low
SYN-00036,NUM_NOUN_EXIST,ge̱lpea kurtạ minaʔ,There are/is thirteen coat.,তেরো কোট আছে।,santali_glossed_1.eaf,103,ʈʰikge.ja. ʈʰik-ge-a. ʈʰik-ge-a,Arka: Okay.,[S8.26] অর্ক: ঠিক আছে।,0.2324,0.0000,0.0000,0.2582,0.0000,low
SYN-00037,SUBJ_VERB_PRESENT,am dɔ nunu kan-a-m,you do to suckle.,তুমি দুধ খাওয়ানো।,santali_new_glossed_1.eaf,20,amd̪ɔ cɛt̪ʔ nɔnɖɛniʲcʔ kanam am-d̪ɔ cɛt̪ʔ nɔnɖɛn-iʲcʔ kan-a-m,Are you the person from here?,,0.2462,0.0000,0.0000,0.0000,0.4924,low
SYN-00038,ADV_VERB,iɲ dɔ leklekate barac̕ buruc̕ kan-a,I do sparkle worthily.,আমি যোগ্যতাসহকারে ঝলমল করা।,santali_with_ipa.eaf,86,iɲ bond̪ʰu kan-a-e iɲ bond̪ʰu kan-a-e iɲ bond̪ʰu kɑnɑe,This is my friend.,,0.2315,0.0000,0.0000,0.0000,0.4629,low
SYN-00039,SUBJ_VERB_PAST,am dɔ carhao-len-a,you did vex.,তুমি ক্ষুব্ধ করা করেছিল।,santali_glossed_new_2.eaf,125,am am,You.,,0.2236,0.0000,0.0000,0.0000,0.4472,low
SYN-00042,YESNO_VERB,uni dɔ ucạṛ kan-a?,Does he/she to be infectious?,সে কি সংক্রামক হওয়া?,santali_with_ipa.eaf,54,ɾesʔk kan-a ɾesʔk kan-a ɾesʔk kɑnɑ,He's happy.,,0.2236,0.0000,0.0000,0.0000,0.4472,low
SYN-00044,SUBJ_VERB_PRESENT,abo dɔ tahẽ̱kana kan-a-bon,we do was.,আমরা ছিল।,santali_glossed_1.eaf,1,ɔt̪̚ʔɾɛ mit̪̚ʔ ʈʰɔp ɲɛlɛɾasa ɲuːɾakan t̪ahɛ̃kana. ɔt̪ʔ-ɾɛ mit̪ʔ ʈʰɔp ɲɛlɛɾasa ɲuɾ-akan t̪ahɛ̃-kan-a. ɔt̪ʔ-ɾɛ | mit̪ʔ | ʈʰɔp | ɲɛlɛɾasa | ɲuɾ-akan | t̪ahɛ̃-kan-a,A drop of honey was on the ground.,[S1.1] মাটিতে একফোঁটা মধু পড়ে ছিল।,0.2405,0.0000,0.0000,0.2673,0.0000,low
SYN-00045,SUBJ_VERB_PAST,uni dɔ pasnao-len-a,he/she did to strew.,সে ছড়িয়ে দেওয়া করেছিল।,santali_with_ipa.eaf,38,uni oɽae sen-len-a uni oɽae sen-len-a uni oɽɑe senlenɑ,He went home.,,0.2535,0.0000,0.0000,0.0000,0.5071,low
SYN-00046,DEMO_NEG_NOM,nɔa dɔ ṭupri dɔ ba-ŋ kan-a,This is not cap.,এটা টুপি নয়।,santali_with_ipa.eaf,136,niɟa iŋʔ kɔlɔm ba-ŋ kan-a niɟa iŋʔ kɔlɔm ba-ŋ kan-a niɟɑ iŋʔ kɔlɔm bɑŋ kɑnɑ,This is not my pen.,,0.2390,0.0000,0.0000,0.0000,0.4781,low
SYN-00047,POSS_EXIST,am-aʔ mit't'e mạṭku minaʔ,you have one squab.,তুমি একটি কবুতরের ছানা আছে।,santali_with_ipa.eaf,66,iɲ-aʔ mit't'e boi minaʔ iɲ-aʔ mit't'e boi minaʔ iɲɑʔ mitʔte boi minɑʔ,I have a book.,,0.2988,0.0000,0.0000,0.0000,0.5976,low
SYN-00050,SUBJ_VERB_NEG_PRESENT,uni dɔ ba-e ghãi kan-a,he/she does not to snarl.,সে গর্জন করা না।,santali_with_ipa.eaf,39,uni oɽae ba-e sen-kan-a-e uni oɽae ba-e sen-kan-a-e uni oɽɑe bɑe senkɑnɑe,He didn't go home.,,0.2988,0.0000,0.0000,0.0000,0.5976,low
SYN-00051,ADV_VERB,abo dɔ siḍrạk̕ baḍrak̕ phera phiri kan-a,we do alternate abusively.,আমরা অপমানজনকভাবে পালাক্রমে।,santali_glossed_1.eaf,65,alɛ ɟɔt̪ɔhɔɽ mɔ̃ɟge menaʔle.ja. alɛ ɟɔt̪ɔ-hɔɽ mɔ̃ɟ-ge mena-le-a. alɛ | ɟɔt̪ɔ-hɔɽ | mɔ̃ɟ-ge | mena-le-a,Nephew: We are all fine.,[S7.5] ভাতিজা: আমরা সবাই ভালো আছি।,0.1964,0.0000,0.0000,0.2182,0.0000,low
SYN-00053,SUBJ_VERB_FUTURE,iɲ dɔ bạuli-a,I will pretend.,আমি ভান করা করবে।,santali_glossed_new_2.eaf,123,iɲ iɲ,Myself/Me.,,0.2500,0.0000,0.0000,0.0000,0.5000,low
SYN-00054,SUBJ_VERB_PRESENT,am dɔ ḍhar ḍhur kan-a-m,you do conciliate.,তুমি সন্তুষ্ট করা।,santali_new_glossed_1.eaf,20,amd̪ɔ cɛt̪ʔ nɔnɖɛniʲcʔ kanam am-d̪ɔ cɛt̪ʔ nɔnɖɛn-iʲcʔ kan-a-m,Are you the person from here?,,0.2279,0.0000,0.0000,0.0000,0.4558,low
SYN-00058,SUBJ_VERB_PAST,am dɔ bijạu-len-a,you did be assimilated.,তুমি আত্মস্থ হওয়া করেছিল।,santali_glossed_new_2.eaf,125,am am,You.,,0.2236,0.0000,0.0000,0.0000,0.4472,low
SYN-00060,DEMO_NOM,nɔa dɔ sãk kan-a,This is division of threads in mattress.,এটা বিছানার সুতার ভাগ।,santali_with_ipa.eaf,54,ɾesʔk kan-a ɾesʔk kan-a ɾesʔk kɑnɑ,He's happy.,,0.2236,0.0000,0.0000,0.0000,0.4472,low
SYN-00061,YESNO_VERB,iɲ dɔ so̱dọr kan-a?,Do I to demonstrate?,আমি কি প্রদর্শন করা?,santali_with_ipa.eaf,86,iɲ bond̪ʰu kan-a-e iɲ bond̪ʰu kan-a-e iɲ bond̪ʰu kɑnɑe,This is my friend.,,0.2739,0.0000,0.0000,0.0000,0.5477,low
SYN-00062,SUBJ_NEG_ADJ,abo dɔ ba-bon he̱nde̱ macha kan-a,we are not blackish.,আমরা কালচে নয়।,santali_with_ipa.eaf,55,ba-e ɾesʔk kan-a ba-e ɾesʔk kan-a bɑe ɾesʔk kɑnɑ,He isn't happy.,,0.2004,0.0000,0.0000,0.0000,0.4009,low
SYN-00063,SUBJ_VERB_NEG_FUTURE,iɲ dɔ bɔ-iɲ dabao-a,I will not curb.,আমি দমন করা করবে না।,santali_with_ipa.eaf,110,iɲ-d̪o bɔ-iɲ ɟɔm-a iɲ-d̪o bɔ-iɲ ɟɔm-a iɲd̪o bɔiɲ ɟɔmɑ,"No, I will not eat.",,0.2372,0.0000,0.0000,0.0000,0.4743,low
SYN-00067,POSS_NOM,nɔa dɔ abo-aʔ kursạ baha kul kan-a,This is we's leopard.,এটা আমরা-এর চিতা বাঘ।,santali_glossed_1.eaf,16,mit̪̚ʔ ɔk̚t̪ɛ t̪ɘɾup̚ʔ nɔa͡i̯ buɟʰhɘ͡o̯ked̪a aɾ suk̚ɾi.jɛ mɛt̪ade.ja. mit̪ʔ ɔk̚t̪ɛ t̪ɘɾup̚ʔ no̯͡a-i̯ buɟʰhɘ͡o̯-ked-a aɾ suk̚ɾi-e mɛt̪-ad-e-a. mit̪ʔ | ɔk̚t̪ɛ | t̪ɘɾup̚ʔ | no̯͡a-i̯ | buɟʰhɘ͡o̯-ked-a | aɾ | suk̚ɾi-e | mɛt̪-ad-e-a,At some point the tiger understood this and told the pig.,[S2.7] একসময় বাঘ এটা বুঝতে পারলো এবং শুকরকে বললো।,0.2546,0.0000,0.0000,0.2828,0.0000,low
SYN-00070,SUBJ_VERB_PRESENT,uni dɔ chiṇḍạu kan-a-e,he/she does arbitrate.,সে সালিশি করা।,santali_with_ipa.eaf,39,uni oɽae ba-e sen-kan-a-e uni oɽae ba-e sen-kan-a-e uni oɽɑe bɑe senkɑnɑe,He didn't go home.,,0.2582,0.0000,0.0000,0.0000,0.5164,low
SYN-00072,SUBJ_VERB_FUTURE,iɲ dɔ ạtu-a,I will glide.,আমি পিছলে চলা করবে।,santali_glossed_new_2.eaf,123,iɲ iɲ,Myself/Me.,,0.2500,0.0000,0.0000,0.0000,0.5000,low
SYN-00074,SUBJ_VERB_FUTURE,uni dɔ hanao-a,he/she will to thwart.,সে বাধা দেওয়া / ব্যর্থ করা করবে।,santali_glossed_new_2.eaf,126,uni uni,He/She.,,0.2500,0.0000,0.0000,0.0000,0.5000,low
SYN-00075,SUBJ_VERB_NEG_PRESENT,am dɔ ba-m ḍhanman kan-a,you do not totter.,তুমি টলমল করা না।,santali_see_paradigm.eaf,71,am bam ɲɛla am ba-m ɲɛl-a,You will not see.,,0.2857,0.0000,0.0000,0.0000,0.5714,low
SYN-00076,SUBJ_VERB_PAST,uni dɔ phuṭ-len-a,he/she did to be unpaired.,সে জোড়া খুলে যাওয়া করেছিল।,santali_with_ipa.eaf,38,uni oɽae sen-len-a uni oɽae sen-len-a uni oɽɑe senlenɑ,He went home.,,0.2535,0.0000,0.0000,0.0000,0.5071,low
SYN-00077,SUBJ_ADJ,uni dɔ cãe cẽṭ kan-a-e,he/she is miserly.,সে কৃপণ।,santali_with_ipa.eaf,78,uni-d̪o iɲ goɡo kan-a-e uni-d̪o iɲ goɡo kan-a-e unid̪o iɲ ɡoɡo kɑnɑe,She is my mother.,,0.2390,0.0000,0.0000,0.0000,0.4781,low
SYN-00080,SUBJ_VERB_NEG_FUTURE,abo dɔ ba-bon baclao-a,"we will not escape, to.",আমরা পালানো করবে না।,santali_new_glossed_1.eaf,63,d̪aʔ bɛgɔɾt̪ɛ abo d̯ɔ babon ɟiu̯͡ed̪ɔʔa d̪aʔ bɛgɔɾ-t̪ɛ abo d̯ɔ ba-bon ɟiu̯͡e-d̪ɔʔ-a,We cannot live without water.,,0.2265,0.0000,0.0000,0.0000,0.4529,low
SYN-00081,YESNO_ADJ,ona dɔ omor kan-a?,Is that perennial?,ওটা কি চিরস্থায়ী?,santali_with_ipa.eaf,54,ɾesʔk kan-a ɾesʔk kan-a ɾesʔk kɑnɑ,He's happy.,,0.2236,0.0000,0.0000,0.0000,0.4472,low
SYN-00088,SUBJ_VERB_NEG_FUTURE,abo dɔ ba-bon geraṅ huruṅ-a,we will not to moan / to wail.,আমরা কাতরানো / আর্তনাদ করা করবে না।,santali_new_glossed_1.eaf,63,d̪aʔ bɛgɔɾt̪ɛ abo d̯ɔ babon ɟiu̯͡ed̪ɔʔa d̪aʔ bɛgɔɾ-t̪ɛ abo d̯ɔ ba-bon ɟiu̯͡e-d̪ɔʔ-a,We cannot live without water.,,0.2097,0.0000,0.0000,0.0000,0.4193,low
SYN-00090,DEMO_ADJ,nɔa dɔ gahagạḍ kan-a,This is teeming.,এটা ভরপুর।,santali_glossed_1.eaf,80,"hɛ̃ː, no̯͡a d̪ɔ mit̪̚ʔʈɛn bʰage hudis. hɛ̃, no̯͡a d̪ɔ mit̪ʔ-ʈɛn bʰage hudis. hɛ̃ | no̯͡a | d̪ɔ | mit̪ʔ-ʈɛn | bʰage | hudis","Pradeep: Yes, it's a great/good idea.","[S8.3] প্রদীপ: হ্যাঁ, এটা একটা দারুণ চিন্তা।",0.2250,0.0000,0.0000,0.2500,0.0000,low
SYN-00092,SUBJ_VERB_PAST,uni dɔ jhạṛuk̕-len-a,he/she did to bound.,সে লাফিয়ে চলা করেছিল।,santali_with_ipa.eaf,38,uni oɽae sen-len-a uni oɽae sen-len-a uni oɽɑe senlenɑ,He went home.,,0.2535,0.0000,0.0000,0.0000,0.5071,low
SYN-00095,IMPERATIVE,aka me,Please suspend.,"ঝুলিয়ে রাখা, স্থগিত করা।",santali_glossed_1.eaf,27,inʈaɾneʈ̚t̪ɛm ɔlɔʔ paɽha͡o̯ d̪aɽe.jaʔa. inʈaɾneʈ̚-t̪ɛ-m ɔlɔʔ paɽha͡o̯ d̪aɽe-aʔ-a. inʈaɾneʈ̚-t̪ɛ-m | ɔlɔʔ | paɽha͡o̯ | d̪aɽe-aʔ-a,We can even study on the internet/ online.,[S3.10] ইন্টারনেটে/ অনলাইনে পড়াশোনা করা যায়।,0.1701,0.0000,0.0000,0.1890,0.0000,low
SYN-00099,OBJECT_VERB,am dɔ cạukidar-i bạḍ-a,"you do multiply, to with watchman.",তুমি প্রহরী বৃদ্ধি করা।,santali_glossed_new_2.eaf,125,am am,You.,,0.2041,0.0000,0.0000,0.0000,0.4082,low
SYN-00101,DEMO_NOM,nɔa dɔ hulmạl kan-a,This is mutiny.,এটা বিদ্রোহ।,santali_glossed_1.eaf,80,"hɛ̃ː, no̯͡a d̪ɔ mit̪̚ʔʈɛn bʰage hudis. hɛ̃, no̯͡a d̪ɔ mit̪ʔ-ʈɛn bʰage hudis. hɛ̃ | no̯͡a | d̪ɔ | mit̪ʔ-ʈɛn | bʰage | hudis","Pradeep: Yes, it's a great/good idea.","[S8.3] প্রদীপ: হ্যাঁ, এটা একটা দারুণ চিন্তা।",0.2250,0.0000,0.0000,0.2500,0.0000,low
SYN-00103,SUBJ_VERB_PAST,am dɔ ạdhi-len-a,you did reduce.,তুমি হ্রাস করা করেছিল।,santali_glossed_new_2.eaf,125,am am,You.,,0.2236,0.0000,0.0000,0.0000,0.4472,low
SYN-00104,DEMO_NEG_NOM,ona dɔ bạḍhi dɔ ba-ŋ kan-a,"That is not pile, a.",ওটা স্তূপ নয়।,santali_with_ipa.eaf,136,niɟa iŋʔ kɔlɔm ba-ŋ kan-a niɟa iŋʔ kɔlɔm ba-ŋ kan-a niɟɑ iŋʔ kɔlɔm bɑŋ kɑnɑ,This is not my pen.,,0.2390,0.0000,0.0000,0.0000,0.4781,low
SYN-00107,OBJECT_VERB_NEG,abo dɔ anman-to ba-bon jadgo-a,we do not to paw with appraisement.,আমরা মূল্যায়ন থাবা মারা না।,santali_new_glossed_1.eaf,63,d̪aʔ bɛgɔɾt̪ɛ abo d̯ɔ babon ɟiu̯͡ed̪ɔʔa d̪aʔ bɛgɔɾ-t̪ɛ abo d̯ɔ ba-bon ɟiu̯͡e-d̪ɔʔ-a,We cannot live without water.,,0.1961,0.0000,0.0000,0.0000,0.3922,low
SYN-00108,DEMO_ADJ,ona dɔ jhạlur kan-a,That is baggy.,ওটা ঝুলন্ত / ঢিলা।,santali_with_ipa.eaf,54,ɾesʔk kan-a ɾesʔk kan-a ɾesʔk kɑnɑ,He's happy.,,0.2236,0.0000,0.0000,0.0000,0.4472,low
SYN-00111,DEMO_ADJ,nɔa dɔ be̱abron kan-a,This is disgraced.,"এটা লজ্জিত, অপদস্থ।",santali_with_ipa.eaf,54,ɾesʔk kan-a ɾesʔk kan-a ɾesʔk kɑnɑ,He's happy.,,0.2236,0.0000,0.0000,0.0000,0.4472,low
SYN-00117,NUM_NOUN_EXIST,ge̱l mõ̠ṛẽ̱ bạnduk minaʔ,There are/is fifteen gun.,পনেরো বন্দুক আছে।,santali_glossed_1.eaf,103,ʈʰikge.ja. ʈʰik-ge-a. ʈʰik-ge-a,Arka: Okay.,[S8.26] অর্ক: ঠিক আছে।,0.2324,0.0000,0.0000,0.2582,0.0000,low
SYN-00118,LOC_EXIST,bhap-re koṭha minaʔ,There is ceiling in/at vapour.,বাষ্প-তে ছাদ আছে।,santali_glossed_1.eaf,103,ʈʰikge.ja. ʈʰik-ge-a. ʈʰik-ge-a,Arka: Okay.,[S8.26] অর্ক: ঠিক আছে।,0.2012,0.0000,0.0000,0.2236,0.0000,low
SYN-00120,SUBJ_NEG_ADJ,am dɔ ba-m iric̕ cikic̕ kan-a,you are not fond of junketing / revelry.,তুমি ভোজপ্রিয় / উৎসবপ্রিয় নয়।,santali_paradigm_glossed.eaf,51,am bam ɾɔɽa am ba-m ɾɔɽ-a,You do not say so.,,0.2673,0.0000,0.0000,0.0000,0.5345,low
SYN-00121,POSS_NOM,nɔa dɔ uni-aʔ susi kan-a,This is he/she's pretext.,এটা সে-এর অজুহাত।,santali_glossed_new.eaf,15,uni.j-aʔ hɔɽmɔ-ɾɛ cɛt̪̚ʔ ɾu̯͡ɘ mɛn-a-a uni.j-aʔ hɔɽmɔ-ɾɛ cɛt̪̚ʔ ɾu̯͡ɘ mɛn-a-a,Doctor: Does he have a fever?,,0.1890,0.0000,0.0000,0.0000,0.3780,low
SYN-00123,SUBJ_ADJ,abo dɔ cikan kan-a-bon,we are shiny.,আমরা চকচকে।,santali_glossed_1.eaf,65,alɛ ɟɔt̪ɔhɔɽ mɔ̃ɟge menaʔle.ja. alɛ ɟɔt̪ɔ-hɔɽ mɔ̃ɟ-ge mena-le-a. alɛ | ɟɔt̪ɔ-hɔɽ | mɔ̃ɟ-ge | mena-le-a,Nephew: We are all fine.,[S7.5] ভাতিজা: আমরা সবাই ভালো আছি।,0.2405,0.0000,0.0000,0.2673,0.0000,low
SYN-00124,YESNO_VERB,abo dɔ bhạri kan-a?,Do we load?,আমরা কি বোঝাই করা?,santali_with_ipa.eaf,54,ɾesʔk kan-a ɾesʔk kan-a ɾesʔk kɑnɑ,He's happy.,,0.2236,0.0000,0.0000,0.0000,0.4472,low
SYN-00125,SUBJ_VERB_NEG_PRESENT,am dɔ ba-m o̱jo̱k̕ kan-a,you do not to anoint.,তুমি তেল মালিশ করা না।,santali_see_paradigm.eaf,71,am bam ɲɛla am ba-m ɲɛl-a,You will not see.,,0.2857,0.0000,0.0000,0.0000,0.5714,low
SYN-00126,PLACE_VERB,iɲ dɔ caṇḍbo̱l ipil-re bhaskao kan-a,I do collapse in/at comet.,আমি ধূমকেতু-তে ধসে পড়া।,santali_with_ipa.eaf,86,iɲ bond̪ʰu kan-a-e iɲ bond̪ʰu kan-a-e iɲ bond̪ʰu kɑnɑe,This is my friend.,,0.2165,0.0000,0.0000,0.0000,0.4330,low
SYN-00127,PLACE_VERB,am dɔ ran oṛak̕-re bejha kan-a,you do blame in/at dispensary.,তুমি চিকিৎসালয়-তে দোষারোপ করা।,santali_with_ipa.eaf,54,ɾesʔk kan-a ɾesʔk kan-a ɾesʔk kɑnɑ,He's happy.,,0.1768,0.0000,0.0000,0.0000,0.3536,low
SYN-00129,PLACE_VERB,iɲ dɔ ṭạṅgi-re ataṅ daram kan-a,I do welcome in/at dovecot.,আমি কবুতরখানা-তে স্বাগত জানানো।,santali_with_ipa.eaf,86,iɲ bond̪ʰu kan-a-e iɲ bond̪ʰu kan-a-e iɲ bond̪ʰu kɑnɑe,This is my friend.,,0.2165,0.0000,0.0000,0.0000,0.4330,low
SYN-00130,SUBJ_ADJ,am dɔ gola kan-a-m,you are brown.,তুমি বাদামি।,santali_glossed_1.eaf,63,am cɛt̪̚ʔlɛka mɛnama? am cɛt̪ʔ-lɛka mena-m-a? am | cɛt̪ʔ-lɛka | mena-m-a,Uncle: How are you?,[S7.3] কাকা: তুমি কেমন আছো?,0.2598,0.0000,0.0000,0.2887,0.4330,low
SYN-00131,SUBJ_VERB_PRESENT,abo dɔ mocṛa mucṛi kan-a-bon,we do to contort.,আমরা বিকৃত করা।,santali_glossed_1.eaf,27,inʈaɾneʈ̚t̪ɛm ɔlɔʔ paɽha͡o̯ d̪aɽe.jaʔa. inʈaɾneʈ̚-t̪ɛ-m ɔlɔʔ paɽha͡o̯ d̪aɽe-aʔ-a. inʈaɾneʈ̚-t̪ɛ-m | ɔlɔʔ | paɽha͡o̯ | d̪aɽe-aʔ-a,We can even study on the internet/ online.,[S3.10] ইন্টারনেটে/ অনলাইনে পড়াশোনা করা যায়।,0.1964,0.0000,0.0000,0.2182,0.0000,low
SYN-00132,LOC_EXIST,buru nala-re jae minaʔ,There is victory in/at valley.,উপত্যকা-তে জয় আছে।,santali_glossed_1.eaf,103,ʈʰikge.ja. ʈʰik-ge-a. ʈʰik-ge-a,Arka: Okay.,[S8.26] অর্ক: ঠিক আছে।,0.2012,0.0000,0.0000,0.2236,0.0000,low
