dataset,sentence_id,issues,santali_sentence,english_gloss,source_eaf_file,source_eaf_utterance_id,confidence
generated_santali_5k_all_data.jsonl,LLM-000018,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;two_token_output,mambṛa mạmbṛi,,generated_santali_large.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000019,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,Thi  i  a unvarni hed radiance before  unri pik̕ṭhạić .,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000020,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,There i dak̕ daka ual conver ation in/at mi t .,,generated_vs_eaf_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000021,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,we do to repo ana .,,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000022,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,kaṭaha,,generated_santali_large.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000023,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,he/ he doe  not to forbear with corp bhaṛa .,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000024,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,kạnạri,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000025,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,bhabna,,generated_santali_large.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000026,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,gạruṛ,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000027,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,he/ he doe  not diffu ato .,,generated_vs_eaf_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000028,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,"we do not refu le̱ne̱be̱t̕ ,  to with violence .",,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000029,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,jhilo,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000030,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,That i  we' ạkhir tancy .,,generated_vs_eaf_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000031,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,N . kạjiạ,,output_layoutA (1).csv,122,medium
generated_santali_5k_all_data.jsonl,LLM-000032,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,"you do decline , kạhni rạṛ en .",,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000033,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,I do to prepare thread for dyeing with no tamakhur .,,generated_high_confidence_against_eaf.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000034,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,Plea gunạk̕ cowl .,,generated_vs_eaf_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000035,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,you do not to excu bhar .,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000036,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,bale,,generated_santali_large.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000037,blank_english_gloss;blank_bangla_gloss;blank_sentence_type;two_token_output,ghera ɛɾɛɲ-a,nan,santali_glossed_2.eaf,41,medium
generated_santali_5k_all_data.jsonl,LLM-000038,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,calan,,generated_santali_large.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000039,blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,Ado Johan Kaijor-a-ket-e Ma koraeṭhi,nan,matthew_santali_glossed.eaf,38,medium
generated_santali_5k_all_data.jsonl,LLM-000040,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,we will di per ạrsiń bạrsiń .,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000041,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,"Do we victimi ḍaṇḍa ,  to ?",,generated_vs_eaf_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000042,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,we have one morti aṅgur .,,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000043,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type,baṛe .  j-aʔ mɔn d̪ɔ ɾɘ -kɛ-t̪ɛ pɛɾɛɟ-ɔʔ-a,,generated_santali_large.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000044,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,he/ he will not to tantali jhạlte̱t̕ .,,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000045,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,That i  radiance before  unri jańjal .,,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000046,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,I do di po suhi .,,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000047,blank_bangla_gloss;blank_sentence_type;one_token_output,dhurpạu,"Arka: Come on, let's get to work.",santali_glossed_1.eaf,104,medium
generated_santali_5k_all_data.jsonl,LLM-000048,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,bakhradạri,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000049,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,kidiń,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000050,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,he/ he doe  not cha tạrjuạ cakop̕ .,,generated_vs_eaf_semantic_matches.csv,,high
generated_santali_5k_all_data.jsonl,LLM-000051,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,durbin,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000052,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,Thi  i  I'  noo iḍi .,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000053,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,Do not to purcha jo̱n .,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000054,blank_bangla_gloss;blank_sentence_type,mit̪ʔ-d̪ʰa͡o̯ | ɲɛlɛɾa a | ɲu-kat̪ɛ | ɘɖi |  aben,After consuming once he was very amused and kept eating.,santali_glossed_1.eaf,4,medium
generated_santali_5k_all_data.jsonl,LLM-000055,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,mạṭku,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000056,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,There i  no cu tom in/at  ite of a hou aṅgra .,,generated_vs_eaf_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000057,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,There are/i  forty ani harcat̕ horcot̕ eed .,,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000058,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,There i  no pander in/at  even  coklak̕  of Tauru .,,generated_vs_eaf_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000059,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,I  that perver onosar ?,,generated_vs_eaf_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000060,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,That i nibasi .,,generated_vs_eaf_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000061,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,ńindạ,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000062,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,bhãoṭia,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000063,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,we have one job' ḍigri  (a type of gra ) .,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000064,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,maṅgal,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000065,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,ḍhạṇḍkạ,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000066,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,There i  no bucket in/at courtyard of hou he̱re̱l .,,generated_high_confidence_sentence_eaf.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000067,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,There i  blood in/at courtyard of hou ten .,,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000068,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,you do to double up in/at  gudṛi .,,generated_vs_eaf_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000069,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,bõ̠hõ̠k,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000070,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,There are/i  thou and mucu  di charged from no nirik .,,generated_high_confidence_against_eaf.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000071,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,There i  no  hot (for gun) in/at  mall hou suṇḍ .,,generated_vs_eaf_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000072,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;two_token_output,parkom bana,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000073,blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,hạṭin̕,nan,santali_glossed_new_2.eaf,115,medium
generated_santali_5k_all_data.jsonl,LLM-000074,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,That i  I' bhiṇḍ pon ibility .,,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000075,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,we do not to excu utkut̕ .,,generated_high_confidence_against_eaf.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000076,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,Thi  i  a fickle morti jatra .,,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000077,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;two_token_output,ạṭi ạu,,generated_santali_large.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000078,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;two_token_output,koṛam haso,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000079,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,There i  no hell in/at  ite of a hou cạki .,,generated_high_confidence_sentence_eaf.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000080,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,he/ he doe  not diffu beldar .,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000081,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,"I do not di po bạlkạṭi  with pro titute ,  a .",,generated_vs_eaf_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000082,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,kokhṇḍo,,generated_santali_large.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000083,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,nahe̱l gaḍa ar-re kanwa goco banuʔ-a,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000084,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,you do to reach in/at radiance before  unri hub .,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000085,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,bakhara ab ab minaʔ,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000086,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,we do promi bhiḍi up̕ .,,generated_vs_eaf_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000087,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,bhạluạ,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000088,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,I did to  toa h .,,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000089,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;two_token_output,ạhlạ ra,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000090,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,ro̱go̱r ɔ-ɾɛ d̪ɔhɔ-kam,,output_layoutA (1).csv,52,medium
generated_santali_5k_all_data.jsonl,LLM-000091,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,I will not pulveri apjo̱s .,,generated_vs_eaf_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000092,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,There are/i  five glimp po̱yo̱ṛ .,,generated_high_confidence_against_eaf.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000093,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,Plea e collap ghại .,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000094,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,we do to infer with tortoi sui il .,,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000095,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,mạhur,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000096,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,There i  requirement  for a ceremony in/at  ite of a hou lại calak̕ .,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000097,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,we do not moi ạtit .,,generated_vs_eaf_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000098,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,"Plea saba uborn ,  incite with bribe .",,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000099,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,jola,,generated_santali_large.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000100,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,That i  we' bạṭi tancy .,,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000101,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,kar,,generated_santali_large.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000102,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,I do not prai bhạ̃t .,,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000103,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;two_token_output,dhiri gada,,generated_santali_large.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000104,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,Thi  i  mi tre  of the hou marak̕ .,,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000105,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,ḍhemni a-re hadão banuʔ-a,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000106,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,he/ he doe  be dizzy in/at courtyard of hou dan .,,generated_high_confidence_sentence_eaf.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000107,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,bo̱ko̱s,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000108,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,There i  comfort in/at cop bagan .,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000109,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type,ɔna i  . toa chale,,generated_santali_large.csv,,medium
