sentence_id,santali_sentence,english_gloss,bangla_gloss,template_id,sentence_type,source_pattern,subject_slot,noun_slot,verb_slot,adjective_slot,adverb_slot,place_slot,number_slot,synthetic,quality_note,source_files
SYN-00018,ona dɔ mora khola oṛak̕ kan-a,That is a dead guest chamber.,ওটা মৃত অতিথিশালা।,ADJ_NOUN,adjective plus noun predicate,Report 5.1.17 adjective plus noun predicate,,khola oṛak̕ [n.; Place; guest chamber; অতিথিশালা],,mora [adj.; State; dead; মৃত],,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00019,abo dɔ ba-bon khablao kan-a,we do not to clutch.,আমরা আঁকড়ে ধরা না।,SUBJ_VERB_NEG_PRESENT,negative present verbal predicate,Report 5.1.11 present verbal negation,abo,,khablao [v.; Action; to clutch; আঁকড়ে ধরা],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00020,ona dɔ uni-aʔ coṇḍa cuṇḍi kan-a,That is he/she's quarrel.,ওটা সে-এর ঝগড়া।,POSS_NOM,possessive nominal predicate,Report 5.1.17 possessive nominal predicate,uni,coṇḍa cuṇḍi [n.; Social; Quarrel; ঝগড়া],,,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00021,am-aʔ mit't'e luṇḍ minaʔ,you have one web of cloth.,তুমি একটি কাপড়ের জাল আছে।,POSS_EXIST,possessive/existential,Report 5.1.17 possessive existential,am,luṇḍ [n.; Material; web of cloth; কাপড়ের জাল],,,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00022,aṅgo̱p̕ me,"Please yawn, to.",হাই তোলা।,IMPERATIVE,imperative,Report 5.1.8 imperative,,,"aṅgo̱p̕ [v.; Body; Yawn, to; হাই তোলা]",,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00023,am dɔ ba-m che̱r-a,you will not melt.,তুমি গলানো করবে না।,SUBJ_VERB_NEG_FUTURE,negative future verbal predicate,Report 5.1.6 future verbal negation,am,,che̱r [v.; Action; Melt; গলানো],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00024,niro̱po̱n me,Please to ascertain.,নির্ণয় করা।,IMPERATIVE,imperative,Report 5.1.8 imperative,,,niro̱po̱n [v.; Action; to ascertain; নির্ণয় করা],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00025,alɔ-m mahkao-a,Do not to emit a perfume.,সুগন্ধ ছড়ানো না।,PROHIBITIVE,negative imperative/prohibitive,Report 5.1.8 prohibitive,,,mahkao [v.; Action; to emit a perfume; সুগন্ধ ছড়ানো],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00026,nɔa dɔ ba-ŋ ḍhiso ḍhoro kan-a,This is not unwashed.,এটা অধোয়া নয়।,DEMO_NEG_ADJ,negative adjectival predicate,Report 5.1.14 adjectival negation,,,,ḍhiso ḍhoro [adj.; State; Unwashed; অধোয়া],,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00027,am dɔ pasṛa-re pańca kan-a,you do to borrow in/at smithy.,তুমি কামারশালা-তে ধার করা।,PLACE_VERB,locative verbal predicate,Report 5.1.13 locative verbal predicate,am,,pańca [v.; Action; to borrow; ধার করা],,,pasṛa [n.; Place; smithy; কামারশালা],,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00028,alɔ-m hajrao-a,Do not to confront.,মুখোমুখি হওয়া / সম্মুখীন হওয়া না।,PROHIBITIVE,negative imperative/prohibitive,Report 5.1.8 prohibitive,,,hajrao [v.; Action; to confront; মুখোমুখি হওয়া / সম্মুখীন হওয়া],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00029,gaḍha sot-re kạhtuk banuʔ-a,There is no traditional lore in/at ravines & hollows.,খাঁড়া ও গর্ত-তে ঐতিহ্যবাহী জ্ঞান নেই।,LOC_NEG_EXIST,negative locative existential,Report 5.1.10 negative existential,,kạhtuk [n.; Culture; traditional lore; ঐতিহ্যবাহী জ্ঞান],,,,gaḍha sot [n.; Nature; Ravines & hollows; খাঁড়া ও গর্ত],,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00030,uni dɔ be̱ho̱k kan-a-e,he/she is partial.,সে পক্ষপাতদুষ্ট।,SUBJ_ADJ,subject adjectival predicate,Report 5.1.14 subject adjectival predicate,uni,,,be̱ho̱k [adj.; Quality; Partial; পক্ষপাতদুষ্ট],,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00031,alɔ-m lagao-a,Do not to apply.,প্রয়োগ করা না।,PROHIBITIVE,negative imperative/prohibitive,Report 5.1.8 prohibitive,,,lagao [v.; Action; to apply; প্রয়োগ করা],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00032,iɲ dɔ bɔ-iɲ bhaskar kan-a,I am not unshapely.,আমি বেঢপ নয়।,SUBJ_NEG_ADJ,subject negative adjectival predicate,Report 5.1.14 negative adjectival predicate,iɲ,,,bhaskar [adj.; Appearance; Unshapely; বেঢপ],,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00033,ge̱l irạl beldar minaʔ,"There are/is eighteen navvy, labourer.",আঠারো শ্রমিক আছে।,NUM_NOUN_EXIST,numbered existential,Report 5.1.17 number plus noun existential,,"beldar [n.; Occupation; Navvy, labourer; শ্রমিক]",,,,,ge̱l irạl [num.; Number; eighteen; আঠারো],true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00034,iɲ dɔ bobe kan-a,I do stutter.,আমি তোতলানো।,SUBJ_VERB_PRESENT,present verbal predicate,Report 5.1.11 present verbal predicate,iɲ,,bobe [v.; Speech; Stutter; তোতলানো],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00035,abo dɔ ṭho̱no̱k-i dhurpạu-a,we do be at culminating point with magnificence.,আমরা জাঁকজমক চরমে পৌঁছানো।,OBJECT_VERB,object verbal predicate,Report 5.1.11 object plus verb predicate,abo,ṭho̱no̱k [n.; Abstract; magnificence; জাঁকজমক],dhurpạu [v.; State; Be at culminating point; চরমে পৌঁছানো],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00036,ge̱lpea kurtạ minaʔ,There are/is thirteen coat.,তেরো কোট আছে।,NUM_NOUN_EXIST,numbered existential,Report 5.1.17 number plus noun existential,,kurtạ [n.; Clothing; coat; কোট],,,,,ge̱lpea [num.; Number; thirteen; তেরো],true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00037,am dɔ nunu kan-a-m,you do to suckle.,তুমি দুধ খাওয়ানো।,SUBJ_VERB_PRESENT,present verbal predicate,Report 5.1.11 present verbal predicate,am,,nunu [v.; Action; to suckle; দুধ খাওয়ানো],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00038,iɲ dɔ leklekate barac̕ buruc̕ kan-a,I do sparkle worthily.,আমি যোগ্যতাসহকারে ঝলমল করা।,ADV_VERB,adverbial verbal predicate,Report 5.1.13 adverbial verbal predicate,iɲ,,barac̕ buruc̕ [v.; Light; Sparkle; ঝলমল করা],,leklekate [adv.; Manner; worthily; যোগ্যতাসহকারে],,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00039,am dɔ carhao-len-a,you did vex.,তুমি ক্ষুব্ধ করা করেছিল।,SUBJ_VERB_PAST,past verbal predicate,Report 5.1.12 past verbal predicate,am,,carhao [v.; Emotion; Vex; ক্ষুব্ধ করা],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00040,ge̱l mõ̠ṛẽ̱ mama bhạgnạ minaʔ,There are/is fifteen not in the same state of forwardness.,পনেরো আত্মীয়তার অবস্থা ভিন্ন আছে।,NUM_NOUN_EXIST,numbered existential,Report 5.1.17 number plus noun existential,,mama bhạgnạ [n.; Relation; not in the same state of forwardness; আত্মীয়তার অবস্থা ভিন্ন],,,,,ge̱l mõ̠ṛẽ̱ [num.; Number; fifteen; পনেরো],true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00041,abo dɔ dak̕-i baj-a,"we do cross, to go across with water.","আমরা জল পার হওয়া, ক্রস করা।",OBJECT_VERB,object verbal predicate,Report 5.1.11 object plus verb predicate,abo,dak̕ [n.; Nature; Water; জল],"baj [v.; Movement; Cross, to go across; পার হওয়া, ক্রস করা]",,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00042,uni dɔ ucạṛ kan-a?,Does he/she to be infectious?,সে কি সংক্রামক হওয়া?,YESNO_VERB,interrogative verbal predicate,Report 5.1.7 interrogative verbal predicate,uni,,ucạṛ [v.; Health; to be infectious; সংক্রামক হওয়া],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00043,abo-aʔ mit't'e khatar minaʔ,we have one damage.,আমরা একটি ক্ষতি আছে।,POSS_EXIST,possessive/existential,Report 5.1.17 possessive existential,abo,khatar [n.; Abstract; damage; ক্ষতি],,,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00044,abo dɔ tahẽ̱kana kan-a-bon,we do was.,আমরা ছিল।,SUBJ_VERB_PRESENT,present verbal predicate,Report 5.1.11 present verbal predicate,abo,,tahẽ̱kana [v.; Grammar; was; ছিল],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00045,uni dɔ pasnao-len-a,he/she did to strew.,সে ছড়িয়ে দেওয়া করেছিল।,SUBJ_VERB_PAST,past verbal predicate,Report 5.1.12 past verbal predicate,uni,,pasnao [v.; Action; to strew; ছড়িয়ে দেওয়া],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00046,nɔa dɔ ṭupri dɔ ba-ŋ kan-a,This is not cap.,এটা টুপি নয়।,DEMO_NEG_NOM,negative nominal predicate,Report 5.1.15 nominal predicate negation,,ṭupri [n.; Clothing; cap; টুপি],,,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00047,am-aʔ mit't'e mạṭku minaʔ,you have one squab.,তুমি একটি কবুতরের ছানা আছে।,POSS_EXIST,possessive/existential,Report 5.1.17 possessive existential,am,mạṭku [n.; Animal; squab; কবুতরের ছানা],,,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00048,abo dɔ ba-bon to̱go̱c̕ ḍaṭa-a,we will not to gnash the teeth.,আমরা দাঁত কড়মড় করা করবে না।,SUBJ_VERB_NEG_FUTURE,negative future verbal predicate,Report 5.1.6 future verbal negation,abo,,to̱go̱c̕ ḍaṭa [v.; Action; to gnash the teeth; দাঁত কড়মড় করা],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00049,nɔa dɔ nāogāo kan-a,This is address.,এটা ঠিকানা।,DEMO_NOM,nominal predicate,Report 5.1.1/5.1.17 demonstrative nominal predicate,,nāogāo [n.; Abstract; address; ঠিকানা],,,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00050,uni dɔ ba-e ghãi kan-a,he/she does not to snarl.,সে গর্জন করা না।,SUBJ_VERB_NEG_PRESENT,negative present verbal predicate,Report 5.1.11 present verbal negation,uni,,ghãi [v.; Sound / Action; to snarl; গর্জন করা],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00051,abo dɔ siḍrạk̕ baḍrak̕ phera phiri kan-a,we do alternate abusively.,আমরা অপমানজনকভাবে পালাক্রমে।,ADV_VERB,adverbial verbal predicate,Report 5.1.13 adverbial verbal predicate,abo,,phera phiri [adj./v.; Action; alternate; পালাক্রমে],,siḍrạk̕ baḍrak̕ [adv.; Manner; abusively; অপমানজনকভাবে],,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00052,iɲ dɔ olocolo kan-a,I am fitful.,আমি অনিয়মিত।,SUBJ_ADJ,subject adjectival predicate,Report 5.1.14 subject adjectival predicate,iɲ,,,olocolo [adj.; Quality; fitful; অনিয়মিত],,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00053,iɲ dɔ bạuli-a,I will pretend.,আমি ভান করা করবে।,SUBJ_VERB_FUTURE,future verbal predicate,Report 5.1.3/5.1.6 future verbal predicate,iɲ,,bạuli [v.; Action; Pretend; ভান করা],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00054,am dɔ ḍhar ḍhur kan-a-m,you do conciliate.,তুমি সন্তুষ্ট করা।,SUBJ_VERB_PRESENT,present verbal predicate,Report 5.1.11 present verbal predicate,am,,ḍhar ḍhur [v.; Social; Conciliate; সন্তুষ্ট করা],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00055,uni dɔ aotan-re laskao kan-a,he/she does to be caught (in a trap) in/at retreat.,সে পশ্চাদপসরণ স্থান-তে ফাঁদে ধরা পড়া।,PLACE_VERB,locative verbal predicate,Report 5.1.13 locative verbal predicate,uni,,laskao [v.; State; to be caught (in a trap); ফাঁদে ধরা পড়া],,,aotan [n.; Place; Retreat; পশ্চাদপসরণ স্থান],,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00056,iɲ dɔ pico̱po̱co̱ coḍak̕ kan-a,I do peel off below par.,আমি নিম্নমানের খসে পড়া।,ADV_VERB,adverbial verbal predicate,Report 5.1.13 adverbial verbal predicate,iɲ,,coḍak̕ [v.; Action; Peel off; খসে পড়া],,pico̱po̱co̱ [adv.; Quality; below par; নিম্নমানের],,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00057,nɔa dɔ salas raj baha kan-a,This is a unwonted sweet oleander.,এটা অস্বাভাবিক করবী গাছ।,ADJ_NOUN,adjective plus noun predicate,Report 5.1.17 adjective plus noun predicate,,raj baha [n.; Plant; sweet oleander; করবী গাছ],,salas [adj.; Quality; unwonted; অস্বাভাবিক],,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00058,am dɔ bijạu-len-a,you did be assimilated.,তুমি আত্মস্থ হওয়া করেছিল।,SUBJ_VERB_PAST,past verbal predicate,Report 5.1.12 past verbal predicate,am,,bijạu [v.; State; Be assimilated; আত্মস্থ হওয়া],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00059,ona dɔ ato posu dɔ ba-ŋ kan-a,That is not domestic animal.,ওটা গৃহপালিত পশু নয়।,DEMO_NEG_NOM,negative nominal predicate,Report 5.1.15 nominal predicate negation,,ato posu [n.; Animal; Domestic animal; গৃহপালিত পশু],,,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00060,nɔa dɔ sãk kan-a,This is division of threads in mattress.,এটা বিছানার সুতার ভাগ।,DEMO_NOM,nominal predicate,Report 5.1.1/5.1.17 demonstrative nominal predicate,,sãk [n.; Object; division of threads in mattress; বিছানার সুতার ভাগ],,,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00061,iɲ dɔ so̱dọr kan-a?,Do I to demonstrate?,আমি কি প্রদর্শন করা?,YESNO_VERB,interrogative verbal predicate,Report 5.1.7 interrogative verbal predicate,iɲ,,so̱dọr [v.; Action; to demonstrate; প্রদর্শন করা],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00062,abo dɔ ba-bon he̱nde̱ macha kan-a,we are not blackish.,আমরা কালচে নয়।,SUBJ_NEG_ADJ,subject negative adjectival predicate,Report 5.1.14 negative adjectival predicate,abo,,,he̱nde̱ macha [adj.; Color; blackish; কালচে],,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00063,iɲ dɔ bɔ-iɲ dabao-a,I will not curb.,আমি দমন করা করবে না।,SUBJ_VERB_NEG_FUTURE,negative future verbal predicate,Report 5.1.6 future verbal negation,iɲ,,dabao [v.; Action; Curb; দমন করা],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00064,ona dɔ ạnhũṭ ketab kan-a,That is a independent book.,"ওটা স্বাধীন, স্বনির্ভর বই।",ADJ_NOUN,adjective plus noun predicate,Report 5.1.17 adjective plus noun predicate,,ketab [n.; Object; book; বই],,"ạnhũṭ [adj.; Personality; Independent; স্বাধীন, স্বনির্ভর]",,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
