file,kind,size_bytes,rows,physical_lines,columns,strict_json_errors,unique_santali_sentence,duplicate_santali_sentence,blank_english_gloss,blank_bangla_gloss,blank_sentence_type,one_token_santali,english_like_santali,valid_source_file_utterance,source_pattern_verified,compile_ok
inital data/santali_glossed_1.eaf,eaf,475993,,,,,,,,,,,,,,
inital data/santali_glossed_2.eaf,eaf,54931,,,,,,,,,,,,,,
inital data/santali_glossed_3.eaf,eaf,154142,,,,,,,,,,,,,,
inital data/santali_glossed_dialogues.eaf,eaf,86510,,,,,,,,,,,,,,
inital data/santali_glossed_new.eaf,eaf,116699,,,,,,,,,,,,,,
inital data/santali_glossed_new_2.eaf,eaf,157812,,,,,,,,,,,,,,
inital data/santali_glossed_new_3(1).eaf,eaf,127799,,,,,,,,,,,,,,
inital data/santali_glossed_new_3.eaf,eaf,127799,,,,,,,,,,,,,,
inital data/santali_imperatives_glossed.eaf,eaf,102725,,,,,,,,,,,,,,
inital data/santali_mark1_glossed.eaf,eaf,44138,,,,,,,,,,,,,,
inital data/santali_matthew27_mark1_glossed (1).eaf,eaf,43799,,,,,,,,,,,,,,
inital data/santali_matthew_glossed (1).eaf,eaf,43286,,,,,,,,,,,,,,
inital data/santali_matthew_glossed(1).eaf,eaf,34595,,,,,,,,,,,,,,
inital data/santali_matthew_glossed.eaf,eaf,34595,,,,,,,,,,,,,,
inital data/santali_new_glossed (1).eaf,eaf,61608,,,,,,,,,,,,,,
inital data/santali_new_glossed.eaf,eaf,121059,,,,,,,,,,,,,,
inital data/santali_new_glossed_1.eaf,eaf,101653,,,,,,,,,,,,,,
inital data/santali_paradigm_glossed.eaf,eaf,215642,,,,,,,,,,,,,,
inital data/santali_pasted_text.eaf,eaf,148695,,,,,,,,,,,,,,
inital data/santali_school_dialogue_glossed.eaf,eaf,45095,,,,,,,,,,,,,,
inital data/santali_see_paradigm.eaf,eaf,85745,,,,,,,,,,,,,,
inital data/santali_texts_glossed.eaf,eaf,92315,,,,,,,,,,,,,,
inital data/santali_with_ipa.eaf,eaf,169893,,,,,,,,,,,,,,
inital data/Thesis on LLM (1).pdf,pdf,398326,,,,,,,,,,,,,,
initial_data_eaf_annotations_long.csv,csv,1462228,12524,,11,,,,,,,,,,,
initial_data_eaf_utterances.csv,csv,1320185,2709,,19,,,,,,,,,,,
llm_grounded_santali_generation_prompt.md,md,10439,,,,,,,,,,,,,,
MTZ_Santali_Dictionary.xlsx,xlsx,593908,,,,,,,,,,,,,,
output_layoutA (1).csv,csv,538531,2605,,8,,,,,,,,,,,
output_layoutA.csv,csv,144966,892,,8,,,,,,,,,,,
output_layoutB (1).csv,csv,57760,104,,11,,,,,,,,,,,
output_layoutB.csv,csv,58176,104,,11,,,,,,,,,,,
santali_synthetic_40k_sentences.csv,csv,18103687,40000,,17,,40000,0,0,0,0,0,37113,,,
semantic_test_generated_against_eaf.py,python,13607,,,,,,,,,,,,,,True
semantic_test_generated_against_sentence_eaf.py,python,3513,,,,,,,,,,,,,,True
