sentence_id,santali_sentence,english_gloss,bangla_gloss,sentence_type,confidence,source_eaf_file,source_eaf_utterance_id,source_eaf_pattern,dictionary_slots_json,synthetic,needs_native_review
LLM-000035,you do not to excu bhar .,,,,medium,santali_synthetic_40k_sentences.csv,,you do not to excuse.,"[{""slot"": ""noun"", ""headword"": ""bhar""}]",True,True
LLM-000036,bale,,,,medium,generated_santali_large.csv,,toṛ,"[{""slot"": ""noun"", ""headword"": ""bale""}]",True,True
LLM-000037,ghera ɛɾɛɲ-a,nan,,,medium,santali_glossed_2.eaf,41,nɔŋkan cɛ̃ɽɛ̃ ɘɖi mɔ̃ɟ cɛɾɔbɛɾɔ-ko sɛɾɛɲ-a,"[{""slot"": ""n."", ""headword"": ""ghera""}]",True,True
LLM-000038,calan,,,,medium,generated_santali_large.csv,,pe̱ṭe̱r totot̕ak̕,"[{""slot"": ""noun"", ""headword"": ""calan""}]",True,True
LLM-000039,Ado Johan Kaijor-a-ket-e Ma koraeṭhi,nan,,,medium,matthew_santali_glossed.eaf,38,Ado Johan Kaijor-a-ket-e Masi-ak' kami-ko re-an anjom-ket khan ac-ren cela-ko kolket'-ko-te-ye kuli-ke-de-a,"[{""slot"": ""n."", ""headword"": ""koraeṭhi""}]",True,True
LLM-000040,we will di per ạrsiń bạrsiń .,,,,medium,santali_synthetic_40k_sentences.csv,,we will disperse.,"[{""slot"": ""noun"", ""headword"": ""ạrsiń bạrsiń""}]",True,True
LLM-000041,"Do we victimi ḍaṇḍa ,  to ?",,,,medium,generated_vs_eaf_semantic_matches.csv,,"Do we victimise, to?","[{""slot"": ""noun"", ""headword"": ""ḍaṇḍa""}]",True,True
LLM-000042,we have one morti aṅgur .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,we have one mortise.,"[{""slot"": ""noun"", ""headword"": ""aṅgur""}]",True,True
LLM-000043,baṛe .  j-aʔ mɔn d̪ɔ ɾɘ -kɛ-t̪ɛ pɛɾɛɟ-ɔʔ-a,,,,medium,generated_santali_large.csv,,lo̱co̱ṅ . j-aʔ mɔn d̪ɔ ɾɘ -kɛ-t̪ɛ pɛɾɛɟ-ɔʔ-a,"[{""slot"": ""noun"", ""headword"": ""baṛe""}]",True,True
LLM-000044,he/ he will not to tantali jhạlte̱t̕ .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,he/she will not to tantalise.,"[{""slot"": ""noun"", ""headword"": ""jhạlte̱t̕""}]",True,True
LLM-000045,That i  radiance before  unri jańjal .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,That is radiance before sunrise.,"[{""slot"": ""noun"", ""headword"": ""jańjal""}]",True,True
LLM-000046,I do di po suhi .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,I do dispossess.,"[{""slot"": ""noun"", ""headword"": ""suhi""}]",True,True
LLM-000047,dhurpạu,"Arka: Come on, let's get to work.",,,medium,santali_glossed_1.eaf,104,d̪ɛla | kɘmi-bun | ɛhɔp̚ʔ-kat̪ʔ-le-ge,"[{""slot"": ""v."", ""headword"": ""dhurpạu""}]",True,True
LLM-000048,bakhradạri,,,,medium,generated_santali_5k.csv,,hipiṛ,"[{""slot"": ""noun"", ""headword"": ""bakhradạri""}]",True,True
LLM-000049,kidiń,,,,medium,generated_santali_5k.csv,,jạkir,"[{""slot"": ""noun"", ""headword"": ""kidiń""}]",True,True
LLM-000050,he/ he doe  not cha tạrjuạ cakop̕ .,,,,high,generated_vs_eaf_semantic_matches.csv,,he/she does not chastise.,"[{""slot"": ""noun"", ""headword"": ""tạrjuạ""}, {""slot"": ""noun"", ""headword"": ""cakop̕""}]",True,True
LLM-000051,durbin,,,,medium,generated_santali_5k.csv,,mayam,"[{""slot"": ""noun"", ""headword"": ""durbin""}]",True,True
LLM-000052,Thi  i  I'  noo iḍi .,,,,medium,santali_synthetic_40k_sentences.csv,,This is I's noose.,"[{""slot"": ""noun"", ""headword"": ""iḍi""}]",True,True
LLM-000053,Do not to purcha jo̱n .,,,,medium,santali_synthetic_40k_sentences.csv,,Do not to purchase.,"[{""slot"": ""noun"", ""headword"": ""jo̱n""}]",True,True
LLM-000054,mit̪ʔ-d̪ʰa͡o̯ | ɲɛlɛɾa a | ɲu-kat̪ɛ | ɘɖi |  aben,After consuming once he was very amused and kept eating.,,,medium,santali_glossed_1.eaf,4,mit̪ʔ-d̪ʰa͡o̯ | ɲɛlɛɾasa | ɲu-kat̪ɛ | ɘɖi | sibil | ked-e-a | aɾ | uni | d̪ɔ | ɲu-ɲut̪-i̯ | ge-i̯ | t̪ãhɛ-i̯-na,"[{""slot"": ""pron."", ""headword"": ""aben""}]",True,True
LLM-000055,mạṭku,,,,medium,generated_santali_5k.csv,,raebar goco,"[{""slot"": ""noun"", ""headword"": ""mạṭku""}]",True,True
LLM-000056,There i  no cu tom in/at  ite of a hou aṅgra .,,,,medium,generated_vs_eaf_semantic_matches.csv,,There is no custom in/at site of a house.,"[{""slot"": ""noun"", ""headword"": ""aṅgra""}]",True,True
LLM-000057,There are/i  forty ani harcat̕ horcot̕ eed .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,There are/is forty anise seed.,"[{""slot"": ""noun"", ""headword"": ""harcat̕ horcot̕""}]",True,True
LLM-000058,There i  no pander in/at  even  coklak̕  of Tauru .,,,,medium,generated_vs_eaf_semantic_matches.csv,,There is no pander in/at seven stars of Taurus.,"[{""slot"": ""noun"", ""headword"": ""coklak̕""}]",True,True
LLM-000059,I  that perver onosar ?,,,,medium,generated_vs_eaf_semantic_matches.csv,,Is that perverse?,"[{""slot"": ""noun"", ""headword"": ""onosar""}]",True,True
LLM-000060,That i nibasi .,,,,medium,generated_vs_eaf_semantic_matches.csv,,That is less.,"[{""slot"": ""noun"", ""headword"": ""nibasi""}]",True,True
LLM-000061,ńindạ,,,,medium,generated_santali_5k.csv,,khạli,"[{""slot"": ""noun"", ""headword"": ""ńindạ""}]",True,True
LLM-000062,bhãoṭia,,,,medium,generated_santali_5k.csv,,cuk,"[{""slot"": ""noun"", ""headword"": ""bhãoṭia""}]",True,True
LLM-000063,we have one job' ḍigri  (a type of gra ) .,,,,medium,santali_synthetic_40k_sentences.csv,,we have one job's tears (a type of grass).,"[{""slot"": ""noun"", ""headword"": ""ḍigri""}]",True,True
LLM-000064,maṅgal,,,,medium,generated_santali_5k.csv,,pocla gam,"[{""slot"": ""noun"", ""headword"": ""maṅgal""}]",True,True
LLM-000065,ḍhạṇḍkạ,,,,medium,generated_santali_5k.csv,,bhoṭ,"[{""slot"": ""noun"", ""headword"": ""ḍhạṇḍkạ""}]",True,True
LLM-000066,There i  no bucket in/at courtyard of hou he̱re̱l .,,,,medium,generated_high_confidence_sentence_eaf.csv,,There is no bucket in/at courtyard of house.,"[{""slot"": ""noun"", ""headword"": ""he̱re̱l""}]",True,True
LLM-000067,There i  blood in/at courtyard of hou ten .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,There is blood in/at courtyard of house.,"[{""slot"": ""noun"", ""headword"": ""ten""}]",True,True
LLM-000068,you do to double up in/at  gudṛi .,,,,medium,generated_vs_eaf_semantic_matches.csv,,you do to double up in/at star.,"[{""slot"": ""noun"", ""headword"": ""gudṛi""}]",True,True
LLM-000069,bõ̠hõ̠k,,,,medium,generated_santali_5k.csv,,heto,"[{""slot"": ""noun"", ""headword"": ""bõ̠hõ̠k""}]",True,True
LLM-000070,There are/i  thou and mucu  di charged from no nirik .,,,,medium,generated_high_confidence_against_eaf.csv,,There are/is thousand mucus discharged from nose.,"[{""slot"": ""noun"", ""headword"": ""nirik""}]",True,True
LLM-000071,There i  no  hot (for gun) in/at  mall hou suṇḍ .,,,,medium,generated_vs_eaf_semantic_matches.csv,,There is no shot (for gun) in/at small house.,"[{""slot"": ""noun"", ""headword"": ""suṇḍ""}]",True,True
LLM-000072,parkom bana,,,,medium,generated_santali_5k.csv,,bebo̱har,"[{""slot"": ""noun"", ""headword"": ""parkom bana""}]",True,True
LLM-000073,hạṭin̕,nan,,,medium,santali_glossed_new_2.eaf,115,bɘɽiʲcʔ hɔɽ-ko alɛ ba-lɛ manɔt̪-ko-a,"[{""slot"": ""n."", ""headword"": ""hạṭin̕""}]",True,True
LLM-000074,That i  I' bhiṇḍ pon ibility .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,That is I's responsibility.,"[{""slot"": ""noun"", ""headword"": ""bhiṇḍ""}]",True,True
LLM-000075,we do not to excu utkut̕ .,,,,medium,generated_high_confidence_against_eaf.csv,,we do not to excuse.,"[{""slot"": ""noun"", ""headword"": ""utkut̕""}]",True,True
LLM-000076,Thi  i  a fickle morti jatra .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,This is a fickle mortise.,"[{""slot"": ""noun"", ""headword"": ""jatra""}]",True,True
LLM-000077,ạṭi ạu,,,,medium,generated_santali_large.csv,,bạisạu,"[{""slot"": ""noun"", ""headword"": ""ạṭi""}]",True,True
LLM-000078,koṛam haso,,,,medium,generated_santali_5k.csv,,phiṭkiri,"[{""slot"": ""noun"", ""headword"": ""koṛam haso""}]",True,True
LLM-000079,There i  no hell in/at  ite of a hou cạki .,,,,medium,generated_high_confidence_sentence_eaf.csv,,There is no hell in/at site of a house.,"[{""slot"": ""noun"", ""headword"": ""cạki""}]",True,True
LLM-000080,he/ he doe  not diffu beldar .,,,,medium,santali_synthetic_40k_sentences.csv,,he/she does not diffuse.,"[{""slot"": ""noun"", ""headword"": ""beldar""}]",True,True
LLM-000081,"I do not di po bạlkạṭi  with pro titute ,  a .",,,,medium,generated_vs_eaf_semantic_matches.csv,,"I do not dispossess with prostitute, a.","[{""slot"": ""noun"", ""headword"": ""bạlkạṭi""}]",True,True
LLM-000082,kokhṇḍo,,,,medium,generated_santali_large.csv,,gṇḍga,"[{""slot"": ""noun"", ""headword"": ""kokhṇḍo""}]",True,True
LLM-000083,nahe̱l gaḍa ar-re kanwa goco banuʔ-a,,,,medium,santali_synthetic_40k_sentences.csv,,jagesar-re kanwa goco banuʔ-a,"[{""slot"": ""noun"", ""headword"": ""nahe̱l gaḍa""}]",True,True
LLM-000084,you do to reach in/at radiance before  unri hub .,,,,medium,santali_synthetic_40k_sentences.csv,,you do to reach in/at radiance before sunrise.,"[{""slot"": ""noun"", ""headword"": ""hub""}]",True,True
LLM-000085,bakhara ab ab minaʔ,,,,medium,santali_synthetic_40k_sentences.csv,,hajar sabsab minaʔ,"[{""slot"": ""noun"", ""headword"": ""bakhara""}]",True,True
LLM-000086,we do promi bhiḍi up̕ .,,,,medium,generated_vs_eaf_semantic_matches.csv,,we do promise.,"[{""slot"": ""noun"", ""headword"": ""bhiḍi up̕""}]",True,True
LLM-000087,bhạluạ,,,,medium,generated_santali_5k.csv,,le̱ne̱be̱t̕,"[{""slot"": ""noun"", ""headword"": ""bhạluạ""}]",True,True
LLM-000088,I did to  toa h .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,I did to slash.,"[{""slot"": ""noun"", ""headword"": ""toa""}]",True,True
LLM-000089,ạhlạ ra,,,,medium,generated_santali_5k.csv,,kasra,"[{""slot"": ""noun"", ""headword"": ""ạhlạ""}]",True,True
LLM-000090,ro̱go̱r ɔ-ɾɛ d̪ɔhɔ-kam,,,,medium,output_layoutA (1).csv,52,baksɔ-ɾɛ d̪ɔhɔ-kam,"[{""slot"": ""noun"", ""headword"": ""ro̱go̱r""}]",True,True
LLM-000091,I will not pulveri apjo̱s .,,,,medium,generated_vs_eaf_semantic_matches.csv,,I will not pulverise.,"[{""slot"": ""noun"", ""headword"": ""apjo̱s""}]",True,True
LLM-000092,There are/i  five glimp po̱yo̱ṛ .,,,,medium,generated_high_confidence_against_eaf.csv,,There are/is five glimpse.,"[{""slot"": ""noun"", ""headword"": ""po̱yo̱ṛ""}]",True,True
LLM-000093,Plea e collap ghại .,,,,medium,santali_synthetic_40k_sentences.csv,,Please collapse.,"[{""slot"": ""noun"", ""headword"": ""ghại""}]",True,True
LLM-000094,we do to infer with tortoi sui il .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,we do to infer with tortoise.,"[{""slot"": ""noun"", ""headword"": ""sui il""}]",True,True
LLM-000095,mạhur,,,,medium,generated_santali_5k.csv,,e̱kdhara,"[{""slot"": ""noun"", ""headword"": ""mạhur""}]",True,True
LLM-000096,There i  requirement  for a ceremony in/at  ite of a hou lại calak̕ .,,,,medium,santali_synthetic_40k_sentences.csv,,There is requirements for a ceremony in/at site of a house.,"[{""slot"": ""noun"", ""headword"": ""lại calak̕""}]",True,True
LLM-000097,we do not moi ạtit .,,,,medium,generated_vs_eaf_semantic_matches.csv,,we do not moisten.,"[{""slot"": ""noun"", ""headword"": ""ạtit""}]",True,True
LLM-000098,"Plea saba uborn ,  incite with bribe .",,,,medium,santali_synthetic_40k_sentences.csv,,"Please suborn, incite with bribe.","[{""slot"": ""noun"", ""headword"": ""saba""}]",True,True
LLM-000099,jola,,,,medium,generated_santali_large.csv,,baklak̕,"[{""slot"": ""noun"", ""headword"": ""jola""}]",True,True
LLM-000100,That i  we' bạṭi tancy .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,That is we's constancy.,"[{""slot"": ""noun"", ""headword"": ""bạṭi""}]",True,True
LLM-000101,kar,,,,medium,generated_santali_large.csv,,chạuni,"[{""slot"": ""noun"", ""headword"": ""kar""}]",True,True
LLM-000102,I do not prai bhạ̃t .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,I do not praise.,"[{""slot"": ""noun"", ""headword"": ""bhạ̃t""}]",True,True
LLM-000103,dhiri gada,,,,medium,generated_santali_large.csv,,aotan,"[{""slot"": ""noun"", ""headword"": ""dhiri gada""}]",True,True
LLM-000104,Thi  i  mi tre  of the hou marak̕ .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,This is mistress of the house.,"[{""slot"": ""noun"", ""headword"": ""marak̕""}]",True,True
LLM-000105,ḍhemni a-re hadão banuʔ-a,,,,medium,santali_synthetic_40k_sentences.csv,,basa-re hadão banuʔ-a,"[{""slot"": ""noun"", ""headword"": ""ḍhemni""}]",True,True
LLM-000106,he/ he doe  be dizzy in/at courtyard of hou dan .,,,,medium,generated_high_confidence_sentence_eaf.csv,,he/she does be dizzy in/at courtyard of house.,"[{""slot"": ""noun"", ""headword"": ""dan""}]",True,True
LLM-000107,bo̱ko̱s,,,,medium,generated_santali_5k.csv,,bạlkạṭi,"[{""slot"": ""noun"", ""headword"": ""bo̱ko̱s""}]",True,True
LLM-000108,There i  comfort in/at cop bagan .,,,,medium,santali_synthetic_40k_sentences.csv,,There is comfort in/at copse.,"[{""slot"": ""noun"", ""headword"": ""bagan""}]",True,True
LLM-000109,ɔna i  . toa chale,,,,medium,generated_santali_large.csv,,ɔna i . net,"[{""slot"": ""noun"", ""headword"": ""toa chale""}]",True,True
LLM-000110,"Plea dạbi ound ,  to ring .",,,,medium,santali_synthetic_40k_sentences.csv,,"Please sound, to ring.","[{""slot"": ""noun"", ""headword"": ""dạbi""}]",True,True
LLM-000111,cuṛi,,,,medium,generated_santali_5k.csv,,e̱ṇḍ,"[{""slot"": ""noun"", ""headword"": ""cuṛi""}]",True,True
LLM-000112,"That i  not cro -grained ,  perver gạr .",,,,medium,santali_synthetic_40k_sentences.csv,,"That is not cross-grained, perverse.","[{""slot"": ""noun"", ""headword"": ""gạr""}]",True,True
LLM-000113,ado̱l,,,,medium,generated_santali_5k.csv,,dho̱mo̱k,"[{""slot"": ""noun"", ""headword"": ""ado̱l""}]",True,True
LLM-000114,we did di po bill .,,,,medium,santali_synthetic_40k_sentences.csv,,we did dispossess.,"[{""slot"": ""noun"", ""headword"": ""bill""}]",True,True
LLM-000115,bolahaṭ,,,,medium,generated_santali_5k.csv,,galaṅ,"[{""slot"": ""noun"", ""headword"": ""bolahaṭ""}]",True,True
LLM-000116,hạlim,,,,medium,generated_santali_large.csv,,binạ banam,"[{""slot"": ""noun"", ""headword"": ""hạlim""}]",True,True
LLM-000117,There i  water channel in/at courtyard of hou bao .,,,,medium,generated_high_confidence_against_eaf.csv,,There is water channel in/at courtyard of house.,"[{""slot"": ""noun"", ""headword"": ""bao""}]",True,True
LLM-000118,"you are not running (water) ,  noo sim .",,,,medium,santali_synthetic_40k_sentences.csv,,"you are not running (water), noose.","[{""slot"": ""noun"", ""headword"": ""sim""}]",True,True
LLM-000119,Thi  i  a perfidiou   even  aṭap̕ uṭup̕  of Tauru .,,,,medium,generated_high_confidence_against_eaf.csv,,This is a perfidious seven stars of Taurus.,"[{""slot"": ""noun"", ""headword"": ""aṭap̕ uṭup̕""}]",True,True
LLM-000120,Plea e excu sagạr cak .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,Please excuse.,"[{""slot"": ""noun"", ""headword"": ""sagạr cak""}]",True,True
LLM-000121,I will not immer sic̕ soc̕ .,,,,medium,santali_synthetic_40k_sentences.csv,,I will not immerse.,"[{""slot"": ""noun"", ""headword"": ""sic̕ soc̕""}]",True,True
LLM-000122,There i  mallow in/at  even  khabar  of Tauru .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,There is mallow in/at seven stars of Taurus.,"[{""slot"": ""noun"", ""headword"": ""khabar""}]",True,True
LLM-000123,phạṇḍi,,,,medium,generated_santali_5k.csv,,raj baha,"[{""slot"": ""noun"", ""headword"": ""phạṇḍi""}]",True,True
LLM-000124,haṛas marte,,,,medium,generated_santali_5k.csv,,hat chuṭ,"[{""slot"": ""noun"", ""headword"": ""haṛas marte""}]",True,True
LLM-000125,you do not to expo gharna .,,,,medium,generated_vs_eaf_semantic_matches.csv,,you do not to expose.,"[{""slot"": ""noun"", ""headword"": ""gharna""}]",True,True
LLM-000126,"we will not di bhelạ̃uṇḍi teem ,  to .",,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,"we will not disesteem, to.","[{""slot"": ""noun"", ""headword"": ""bhelạ̃uṇḍi""}]",True,True
LLM-000127,Plea barahi urfeit .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,Please surfeit.,"[{""slot"": ""noun"", ""headword"": ""barahi""}]",True,True
LLM-000128,bạki bo̱ko̱ea,,,,medium,generated_santali_5k.csv,,hudạ,"[{""slot"": ""noun"", ""headword"": ""bạki bo̱ko̱ea""}]",True,True
LLM-000129,ạgil hapṛam,,,,medium,generated_santali_5k.csv,,be̱ne̱t,"[{""slot"": ""noun"", ""headword"": ""ạgil hapṛam""}]",True,True
LLM-000130,ki huhu,,,,medium,generated_santali_large.csv,,kisim,"[{""slot"": ""noun"", ""headword"": ""huhu""}]",True,True
LLM-000131,Thi  i  a relentle   bhạnga .,,,,medium,santali_synthetic_40k_sentences.csv,,This is a relentless star.,"[{""slot"": ""noun"", ""headword"": ""bhạnga""}]",True,True
LLM-000132,ḍạṇḍit̕ .  j-a,,,,medium,generated_santali_large.csv,,barac̕ . j-a,"[{""slot"": ""noun"", ""headword"": ""ḍạṇḍit̕""}]",True,True
LLM-000133,There are/i  ten million  day-hor jạlại .,,,,medium,generated_high_confidence_against_eaf.csv,,There are/is ten millions day-horse.,"[{""slot"": ""noun"", ""headword"": ""jạlại""}]",True,True
LLM-000134,"we are running (water) ,  noo saram badea .",,,,medium,generated_high_confidence_sentence_eaf.csv,,"we are running (water), noose.","[{""slot"": ""noun"", ""headword"": ""saram badea""}]",True,True
LLM-000135,we do to peep in/at courtyard of hou akorma .,,,,medium,generated_high_confidence_sentence_eaf.csv,,we do to peep in/at courtyard of house.,"[{""slot"": ""noun"", ""headword"": ""akorma""}]",True,True
LLM-000136,kãhãka,,,,medium,generated_santali_large.csv,,cho̱ṇḍro̱,"[{""slot"": ""noun"", ""headword"": ""kãhãka""}]",True,True
LLM-000137,Do you di per kulhu ?,,,,medium,generated_vs_eaf_semantic_matches.csv,,Do you disperse?,"[{""slot"": ""noun"", ""headword"": ""kulhu""}]",True,True
LLM-000138,"we do alight ,  to with courtyard of hou huc̕ bir .",,,,medium,generated_high_confidence_sentence_eaf.csv,,"we do alight, to with courtyard of house.","[{""slot"": ""noun"", ""headword"": ""huc̕ bir""}]",True,True
LLM-000139,chuṇḍi,,,,medium,generated_santali_5k.csv,,khijur,"[{""slot"": ""noun"", ""headword"": ""chuṇḍi""}]",True,True
LLM-000140,you will not excu bẽ̱t .,,,,medium,generated_high_confidence_against_eaf.csv,,you will not excuse.,"[{""slot"": ""noun"", ""headword"": ""bẽ̱t""}]",True,True
LLM-000141,Plea bund plit into thin  lip .,,,,medium,generated_vs_eaf_semantic_matches.csv,,Please split into thin slips.,"[{""slot"": ""noun"", ""headword"": ""bund""}]",True,True
LLM-000142,we do to peep in/at courtyard of hou hae phoe .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,we do to peep in/at courtyard of house.,"[{""slot"": ""noun"", ""headword"": ""hae phoe""}]",True,True
LLM-000143,"you do fix ,  to fa ten in/at univer bidesiạ .",,,,medium,generated_high_confidence_sentence_eaf.csv,,"you do fix, to fasten in/at universe.","[{""slot"": ""noun"", ""headword"": ""bidesiạ""}]",True,True
LLM-000144,Plea e to  raebhidi h .,,,,medium,santali_synthetic_40k_sentences.csv,,Please to slash.,"[{""slot"": ""noun"", ""headword"": ""raebhidi""}]",True,True
LLM-000145,chiṭkĩṛic̕,,,,medium,generated_santali_large.csv,,aṛap,"[{""slot"": ""noun"", ""headword"": ""chiṭkĩṛic̕""}]",True,True
