sentence_id,santali_sentence,english_gloss,bangla_gloss,sentence_type,confidence,source_eaf_file,source_eaf_utterance_id,source_eaf_pattern,source_report_section,dictionary_slots_json,morphology_notes,rejection_risk,synthetic,needs_native_review
LLM-000024,menkʰan manwa hopon at͡ʃ'-ɾen  e̱ḍe̱ ɔt̪e at͡ʃ'-ak' t̪ʰonok-ɾe-ye d̪uɾup'-a,nan,,,medium,santali_matthew_glossed (1).eaf,22,menkʰan manwa hopon at͡ʃ'-ɾen sanam d̪ut̪-ko sɔt̪e at͡ʃ'-ak' t̪ʰonok-ɾe-ye d̪uɾup'-a,,"[{""slot"": ""n."", ""headword"": ""e̱ḍe̱"", ""pos"": ""n."", ""english"": ""Bunch"", ""bangla"": ""গুচ্ছ"", ""semantic_domain"": ""Shape""}]",,,True,True
LLM-000025,d̪i cetan ɑnɑm lekɑn rɔɡ biɡʰin,nan,,,medium,santali_matthew_glossed(1).eaf,16,d̪isom hɔr-ko tɑlɑ-re sɑnɑm lekɑn rɔɡ biɡʰin,,"[{""slot"": ""prep."", ""headword"": ""cetan"", ""pos"": ""prep."", ""english"": ""On"", ""bangla"": ""উপরে"", ""semantic_domain"": ""Position""}]",,,True,True
LLM-000026,para . j-aʔ mɔn d̪ɔ ɾɘ -kɛ-t̪ɛ pɛɾɛɟ-ɔʔ-a,nan,,,medium,santali_glossed_new.eaf,32,cɛ̃ɽɛ̃-ko-ɔ̯͡aʔ cɛɾɔ-bɛɾɔ aɲɟɔm-t̪ɛ ale.j-aʔ mɔn d̪ɔ ɾɘs-kɛ-t̪ɛ pɛɾɛɟ-ɔʔ-a,,"[{""slot"": ""n."", ""headword"": ""para"", ""pos"": ""n."", ""english"": ""quicksilver"", ""bangla"": ""পারদ"", ""semantic_domain"": ""Material""}]",,,True,True
LLM-000027,ṭhu u d̪o Gɑlil kʰon Jord̪ɑn-te Johɑn tʰen-e hec'-enɑ,nan,,,medium,santali_matthew_glossed.eaf,7,Jisu d̪o Gɑlil kʰon Jord̪ɑn-te Johɑn tʰen-e hec'-enɑ,,"[{""slot"": ""v."", ""headword"": ""ṭhu"", ""pos"": ""v."", ""english"": ""to shoot with gun"", ""bangla"": ""গুলি ছোড়া"", ""semantic_domain"": ""Action""}]",,,True,True
LLM-000028,hɑe ɑpe  ɔ t̪ɔr bɑd̪ɑe-kɔ ɑr pʰɑri i-kɔ pʰɑ iɑrɑ-kɔ d̪ɔ ente ɑpe d̪ɔ nɔrɔk  talare ermɑ rɑd͡ʒ-pe iɲ e et̪-etʔ-kɑn-ɑ,nan,,,medium,matthew_santali_glossed_ipa.eaf,58,hɑe ɑpe sɔst̪ɔr bɑd̪ɑe-kɔ ɑr pʰɑrisi-kɔ pʰɑsiɑrɑ-kɔ d̪ɔ ente ɑpe d̪ɔ nɔrɔk sɑmɑn-re sermɑ rɑd͡ʒ-pe iɲ eset̪-etʔ-kɑn-ɑ,,"[{""slot"": ""prep."", ""headword"": ""talare"", ""pos"": ""prep."", ""english"": ""in the midst"", ""bangla"": ""মধ্যে"", ""semantic_domain"": ""Place""}]",,,True,True
LLM-000029,ḍoḍhor,nan,,,medium,santali_matthew_glossed(1).eaf,20,mɑyɑk'-ko-d̪e-ko bʰɑɡɑ-nɑ ente on-ko d̪o-ko mɑyɑ ocok'-ɑ,,"[{""slot"": ""n."", ""headword"": ""ḍoḍhor"", ""pos"": ""n."", ""english"": ""Cavity"", ""bangla"": ""গহ্বর"", ""semantic_domain"": ""Shape""}]",,,True,True
LLM-000030,dataram,nan,,,medium,santali_dialogues_glossed.eaf,55,ɔkɔi-hɔ̃ alo-pɛ ɛgɛɾ-ko-a,,"[{""slot"": ""n."", ""headword"": ""dataram"", ""pos"": ""n."", ""english"": ""Councillor"", ""bangla"": ""উপদেষ্টা"", ""semantic_domain"": ""Social""}]",,,True,True
LLM-000031,un-kin d̪o  lagaete,nan,,,medium,santali_matthew_glossed.eaf,14,un-kin d̪o sɑtmen-te jɑl-ko bɑgiɑt'-te-kin pɑɲɑke-d̪eɑ,,"[{""slot"": ""prep."", ""headword"": ""lagaete"", ""pos"": ""prep."", ""english"": ""including"", ""bangla"": ""সহ"", ""semantic_domain"": ""Relation""}]",,,True,True
LLM-000032,d̪i laha ɑnɑm lekɑn rɔɡ biɡʰin,nan,,,medium,santali_matthew_glossed.eaf,16,d̪isom hɔr-ko tɑlɑ-re sɑnɑm lekɑn rɔɡ biɡʰin,,"[{""slot"": ""prep."", ""headword"": ""laha"", ""pos"": ""prep."", ""english"": ""in front of"", ""bangla"": ""সামনে"", ""semantic_domain"": ""Place""}]",,,True,True
LLM-000033,ro̱ṭe̱,nan,,,medium,lexicon(1).eaf,222,baba,,"[{""slot"": ""n."", ""headword"": ""ro̱ṭe̱"", ""pos"": ""n."", ""english"": ""frog"", ""bangla"": ""ব্যাঙ"", ""semantic_domain"": ""Animal""}]",,,True,True
LLM-000034,aɖɛ-pa e ɾejaʔ i baṭ paṛ . j-oʔ-t̪a-bo-n-a,nan,,,medium,santali_glossed_new_3.eaf,99,aɖɛ-pase ɾejaʔ iskul-ko-ɾɛ abu calaʔ ho.j-oʔ-t̪a-bo-n-a,,"[{""slot"": ""n."", ""headword"": ""baṭ paṛ"", ""pos"": ""n."", ""english"": ""Spy"", ""bangla"": ""গুপ্তচর"", ""semantic_domain"": ""Person""}]",,,True,True
LLM-000035,bhut,nan,,,medium,santali_glossed_new_3(1).eaf,46,baba-d̪ɔ mit̪ʔ-ʈɛn gʰaɾɔ̃ɟ-ɾɛn mukʰi̯ɘ hɔɽ,,"[{""slot"": ""n."", ""headword"": ""bhut"", ""pos"": ""n."", ""english"": ""Demon"", ""bangla"": ""ভূত"", ""semantic_domain"": ""Belief""}]",,,True,True
LLM-000036,ak̕ erma raj-ge do oho-ge-pe hbolo-len-a,nan,,,medium,matthew_santali_glossed.eaf,50,Sarigeñ meta-pe-kan-a begor acur-ok'-te ar katic gidra-ko leka begor hoyo-k'-te serma raj-ge do oho-ge-pe hbolo-len-a,,"[{""slot"": ""prep."", ""headword"": ""ak̕"", ""pos"": ""prep."", ""english"": ""Of"", ""bangla"": ""এর, সম্পর্কিত"", ""semantic_domain"": ""Grammar""}]",,,True,True
LLM-000037,ro̱go̱s ɛ ɾaŋga-o-t̪ɛ  guṭi,nan,,,high,santali_glossed_dialogues.eaf,64,mɛnkʰan alɛ d̪ɔ ba-lɛ kɘ͡o̯mɘ͡o̯-aka-a sɛ ɾaŋga-o-t̪ɛ siɾiɲ aɽaʔ-kat̪ɛ hɔɽ-ku d̪ɔ ba-lɛ ed̪ɾe oco-akaʔ-ko-a,,"[{""slot"": ""v."", ""headword"": ""ro̱go̱s"", ""pos"": ""v."", ""english"": ""to rustle"", ""bangla"": ""খসখস শব্দ করা"", ""semantic_domain"": ""Sound""}, {""slot"": ""n."", ""headword"": ""guṭi"", ""pos"": ""n."", ""english"": ""pustules of small-pox"", ""bangla"": ""বসন্তের ফোড়া"", ""semantic_domain"": ""Health""}]",,,True,True
LLM-000038,kiṇḍol,nan,,,medium,santali_glossed_new_2.eaf,5,gɔgɔ-baba-kin ɛgɛ-ɾɛʔ-kan-t̪ahɛ̃-ɾɛ̃-hɔ ɛn-hɔ̃ mana d̪ɔ bɘɲ aɲɟɔm-ɛt̪ t̪ahɛ̃-kan-a,,"[{""slot"": ""n."", ""headword"": ""kiṇḍol"", ""pos"": ""n."", ""english"": ""revolving swing"", ""bangla"": ""ঘূর্ণায়মান দোলনা"", ""semantic_domain"": ""Object""}]",,,True,True
LLM-000039,burui,Nephew: We are all fine.,,,medium,santali_glossed_1.eaf,65,alɛ | ɟɔt̪ɔ-hɔɽ | mɔ̃ɟ-ge | mena-le-a,,"[{""slot"": ""v."", ""headword"": ""burui"", ""pos"": ""v."", ""english"": ""Drizzle"", ""bangla"": ""হালকা বৃষ্টি পড়া"", ""semantic_domain"": ""Nature""}]",,,True,True
LLM-000040,cĩṭ,nan,,,medium,santali_glossed_new_3.eaf,46,baba-d̪ɔ mit̪ʔ-ʈɛn gʰaɾɔ̃ɟ-ɾɛn mukʰi̯ɘ hɔɽ,,"[{""slot"": ""n."", ""headword"": ""cĩṭ"", ""pos"": ""n."", ""english"": ""Paste"", ""bangla"": ""পেস্ট"", ""semantic_domain"": ""Material""}]",,,True,True
LLM-000041,oṛgo poṛgo en-ak'-kan hor do mitt-en budan hor tuluc'-e jurik'-a,nan,,,medium,matthew_santali_glossed.eaf,29,Onate inak' noako katha anjom-kate sen-ak'-kan hor do mitt-en budan hor tuluc'-e jurik'-a,,"[{""slot"": ""adj."", ""headword"": ""oṛgo poṛgo"", ""pos"": ""adj."", ""english"": ""unsuccessful"", ""bangla"": ""ব্যর্থ"", ""semantic_domain"": ""State""}]",,,True,True
LLM-000042,co̱rco̱ṭa,nan,,,medium,matthew_santali_glossed.eaf,35,Dela pañjan-me Khange beret-kate-ye panja-ke-da,,"[{""slot"": ""adj."", ""headword"": ""co̱rco̱ṭa"", ""pos"": ""adj."", ""english"": ""Cruel"", ""bangla"": ""নিষ্ঠুর"", ""semantic_domain"": ""Personality""}]",,,True,True
LLM-000043,jo̱ṛnaṛ,nan,,,medium,santali_glossed_new_2.eaf,88,no-a-ko kat̪ʰa uni mɔca ɾɛ-hɔ̃ ba-i̯ ɘgu d̪aɽe-ke-a,,"[{""slot"": ""v."", ""headword"": ""jo̱ṛnaṛ"", ""pos"": ""v."", ""english"": ""to intermarry"", ""bangla"": ""আন্তর্জাতিক বিবাহ"", ""semantic_domain"": ""Custom""}]",,,True,True
LLM-000044,ko̱ṭe̱c̕ ewɑwɑ-d̪e-ɑ ɑr-e met̪ɑ-d̪e-ɑ e prɔbʱu  ɑnɑl-em kʰɑn-em  ɑpʰɑ d̪ɑre-ɑn-ɑ,nan,,,medium,matthew_santali_glossed_ipa.eaf,32,nelpe mit̪t̪-en murhutʃ d͡ʒɔm hɔr hetʃ-kɑt̪e-ye sewɑwɑ-d̪e-ɑ ɑr-e met̪ɑ-d̪e-ɑ e prɔbʱu sɑnɑl-em kʰɑn-em sɑpʰɑ d̪ɑre-ɑn-ɑ,,"[{""slot"": ""v."", ""headword"": ""ko̱ṭe̱c̕"", ""pos"": ""v."", ""english"": ""to rupture seminal ducts"", ""bangla"": ""বীর্যনালী ছিঁড়ে যাওয়া"", ""semantic_domain"": ""Health""}]",,,True,True
LLM-000045,bhiṇḍ,nan,,,medium,santali_glossed_2.eaf,44,cɛ̃ɽɛ̃-ko-aʔ bɘɽiʲc-ʔ hojoʔ nɔŋkan kɘmi kɘmi͡i̯ d̪ɔ baŋ leːka,,"[{""slot"": ""n."", ""headword"": ""bhiṇḍ"", ""pos"": ""n."", ""english"": ""Bale"", ""bangla"": ""গাঁট"", ""semantic_domain"": ""Object""}]",,,True,True
LLM-000046,eɾma kʰon aɾan hɔj-ena am d̪o iɲ-ɾen d̪ulaɾia hopon kan-am aɾ-ɲ-ɾen ku saba,nan,,,medium,santali_matthew27_mark1_glossed (1).eaf,25,seɾma kʰon aɾan hɔj-ena am d̪o iɲ-ɾen d̪ulaɾia hopon kan-am aɾ-ɲ-ɾen kusiak-ana,,"[{""slot"": ""n."", ""headword"": ""saba"", ""pos"": ""n."", ""english"": ""small tributary of river"", ""bangla"": ""ছোট শাখানদী"", ""semantic_domain"": ""Nature""}]",,,True,True
LLM-000047,tahẽ̱ tuluc̕,nan,,,medium,lexicon.eaf,224,hɔpɔn-ba,,"[{""slot"": ""conj."", ""headword"": ""tahẽ̱ tuluc̕"", ""pos"": ""conj."", ""english"": ""while"", ""bangla"": ""যখন"", ""semantic_domain"": ""Grammar""}]",,,True,True
LLM-000048,ḍabra,nan,,,medium,santali_glossed_3.eaf,34,bele,,"[{""slot"": ""n."", ""headword"": ""ḍabra"", ""pos"": ""n."", ""english"": ""Dub"", ""bangla"": ""ডাব"", ""semantic_domain"": ""General""}]",,,True,True
LLM-000049,Ape do dharti reak' mar ińren,nan,,,medium,matthew_santali_glossed.eaf,18,Ape do dharti reak' marsal kan-ape,,"[{""slot"": ""pron."", ""headword"": ""ińren"", ""pos"": ""pron."", ""english"": ""mine"", ""bangla"": ""আমার (সম্বন্ধে)"", ""semantic_domain"": ""Grammar""}]",,,True,True
LLM-000050,ɔka d̪ɔ gid̪ɾɛ-ko cɛ̃ɽɛ̃ t̪ukɘ-ku ɾɘp-ud̪-a aɾ uŋko-ɾɛn hɔpɔn-ko t̪i . jinis tur,nan,,,medium,santali_glossed_2.eaf,42,ɔka d̪ɔ gid̪ɾɛ-ko cɛ̃ɽɛ̃ t̪ukɘ-ku ɾɘp-ud̪-a aɾ uŋko-ɾɛn hɔpɔn-ko t̪i.jɘʔ-ko-a,,"[{""slot"": ""n."", ""headword"": ""jinis tur"", ""pos"": ""n."", ""english"": ""species"", ""bangla"": ""প্রজাতি"", ""semantic_domain"": ""Abstract""}]",,,True,True
LLM-000051,hend̪a baː ɔka ɟini cạmpur,nan,,,medium,santali_glossed_dialogues.eaf,13,hend̪a baː ɔka ɟinis t̪inɘʔ-gan-iɲ agu-ja,,"[{""slot"": ""adj."", ""headword"": ""cạmpur"", ""pos"": ""adj."", ""english"": ""Joking"", ""bangla"": ""রসিকতাপূর্ণ"", ""semantic_domain"": ""Behavior""}]",,,True,True
LLM-000052,Un khon Ji mis,nan,,,medium,matthew_santali_glossed.eaf,6,Un khon Jisu do poporcar ar memene ehop'-ke-da,,"[{""slot"": ""v."", ""headword"": ""mis"", ""pos"": ""v."", ""english"": ""to plot"", ""bangla"": ""ষড়যন্ত্র করা"", ""semantic_domain"": ""Action""}]",,,True,True
LLM-000053,uni d̪o  jãhãe,nan,,,medium,santali_matthew_glossed.eaf,2,uni d̪o sermɑ rɑj reɑk' kɑŋ-e-ɑ,,"[{""slot"": ""pron."", ""headword"": ""jãhãe"", ""pos"": ""pron."", ""english"": ""anyone"", ""bangla"": ""যে কেউ"", ""semantic_domain"": ""Grammar""}]",,,True,True
LLM-000054,nɑ re en-kɑt̪e-ye bere-len-ɑ,nan,,,medium,matthew_santali_glossed_ipa.eaf,2,nɑsɑret̪ bɑɡi-kɑt̪e d̪ɔre-ɑɔ ɑre reɑkʔ kɑpʰɑrnɑhum-re sen-kɑt̪e-ye bere-len-ɑ,,"[{""slot"": ""prep."", ""headword"": ""re"", ""pos"": ""prep."", ""english"": ""in"", ""bangla"": ""এ"", ""semantic_domain"": ""Grammar""}]",,,True,True
LLM-000055,rukhi ɛɾma-ɾɛ goɖo iɲ-aʔ baɽgi-ɾɛ a͡i̯ma hoɽo-ko ɟɔm giɖi-ked̪-a,nan,,,medium,santali_glossed_dialogues.eaf,33,cala-o-ɛn sɛɾma-ɾɛ goɖo iɲ-aʔ baɽgi-ɾɛ a͡i̯ma hoɽo-ko ɟɔm giɖi-ked̪-a,,"[{""slot"": ""n."", ""headword"": ""rukhi"", ""pos"": ""n."", ""english"": ""shred"", ""bangla"": ""টুকরো"", ""semantic_domain"": ""Material""}]",,,True,True
LLM-000056,bhap,nan,,,medium,santali_glossed_new_2.eaf,115,bɘɽiʲcʔ hɔɽ-ko alɛ ba-lɛ manɔt̪-ko-a,,"[{""slot"": ""n."", ""headword"": ""bhap"", ""pos"": ""n."", ""english"": ""Vapour"", ""bangla"": ""বাষ্প"", ""semantic_domain"": ""Nature""}]",,,True,True
LLM-000057,kuḍi,nan,,,medium,santali_glossed_new.eaf,44,cɛ̃ɽɛ̃-ko-ɔ̯͡aʔ bɘɽiʲc̚ʔ hojoʔ noŋkan kɘmi kɘmi͡i̯ d̪ɔ baŋ leːka,,"[{""slot"": ""n."", ""headword"": ""kuḍi"", ""pos"": ""n."", ""english"": ""kudali"", ""bangla"": ""কোদাল"", ""semantic_domain"": ""Tool""}]",,,True,True
LLM-000058,pahara,nan,,,medium,santali_matthew_glossed.eaf,25,ɑpe-ren bɑiri-ko ɑud̪ɑr-ko-pe ente on-ko d̪o-ko tir pitok'-ɑ,,"[{""slot"": ""n."", ""headword"": ""pahara"", ""pos"": ""n."", ""english"": ""guard"", ""bangla"": ""প্রহরী"", ""semantic_domain"": ""Person""}]",,,True,True
LLM-000059,bạli guṛ ã͡ɔ̯-t̪ɛ a͡i̯ma-ko hɔpɔn-ɔʔ-a,nan,,,medium,santali_glossed_new.eaf,89,sim-kʰɔn mit̪̚ʔ-sã͡ɔ̯-t̪ɛ a͡i̯ma-ko hɔpɔn-ɔʔ-a,,"[{""slot"": ""n."", ""headword"": ""bạli guṛ"", ""pos"": ""n."", ""english"": ""Lump of raw sugar"", ""bangla"": ""গুড়ের ডেলা"", ""semantic_domain"": ""Food""}]",,,True,True
LLM-000060,oŋko ɛnɛc-ʔ- ghạṛi ɛlɛt̪ʔ-len-kʰan pɔɾɔb ɘɖi ɾɘ kɘ-ge ho . j-o-a,nan,,,medium,santali_glossed_new_3.eaf,101,oŋko ɛnɛc-ʔ-seɾeɲ-ɾɛ-ko sɛlɛt̪ʔ-len-kʰan pɔɾɔb ɘɖi ɾɘskɘ-ge ho.j-o-a,,"[{""slot"": ""n."", ""headword"": ""ghạṛi"", ""pos"": ""n."", ""english"": ""watch (pocket watch)"", ""bangla"": ""পকেট ঘড়ি"", ""semantic_domain"": ""Object""}]",,,True,True
LLM-000061,nạbhuạ,nan,,,medium,santali_glossed_3.eaf,29,hamal,,"[{""slot"": ""adj."", ""headword"": ""nạbhuạ"", ""pos"": ""adj."", ""english"": ""waggish"", ""bangla"": ""রসিক"", ""semantic_domain"": ""Quality""}]",,,True,True
