gt_source,gt_id,gt_santali,gt_english,gt_bangla,gt_extra
Santali_dataset_parsed.csv,19,aɾ cɛt̪̚ʔ cɛt̪̚ʔko d̪isɛ d̪ɔhɔ͡i̯ ɟɘɾuɽtiɲa?,Daughter: What else needs to be remembered?,মেয়ে: আর কী কী মনে রাখা দরকার?,
Santali_dataset_parsed.csv,20,ɟɔmaʔɾɛ ɖʰeɾ sunum bɛ͡o̯haɾ lekʰan hɔɽmɔ bɘɽiɟɔ.a.,"Mother: If you use too much oil in food, the body becomes sick.",মা: খাবারে বেশি তেল ব্যবহার করলে শরীর খারাপ হয়ে যায়।,
Santali_dataset_parsed.csv,21,"hako d̪ɔ ɘɖi ãt d̪ɔ baŋ, ɟaːge bʰaɟako hojo.a.","Mother: Fish should be lightly fried, not over fried.",মা: মাছ বেশি না ভেজে হালকা করে ভাজতে হবে।,
Santali_dataset_parsed.csv,22,iɲd̪ɔ am ʈʰɛnkʰɔn ɟɔt̪ɔ̯͡aʔ isin basaŋiɲ ceːd̪a.,Daughter: I will learn to cook everything from you.,মেয়ে: আমি তোমার কাছ থেকে সবকিছু রান্না করা শিখবো।,
Santali_dataset_parsed.csv,23,ac̚cʰa ʈʰikge.ja.,Mother: Okay for sure.,মা: আচ্ছা ঠিক আছে।,
Santali_dataset_parsed.csv,24,"iskul ɔka d̪in bɔnd̪ɔ t̪ahɛna, ɛnhilɘʔge iɲʈʰɛnkʰɔn isin basaŋɛm ceːd̪a.",Mother: You will learn cooking from me on the day school is closed.,"মা: স্কুল যেদিন বন্ধ থাকবে, সেদিনই তুমি আমার কাছ থেকে রান্না শিখবে।",
Santali_dataset_parsed.csv,25,"ɛgɔ, iɲd̪ɔ isin basaŋ t̪e.jaɾ cet̪̚ʔɟɔŋiɲ mened̪a.","Daughter: Mom, I want to learn cooking.","মেয়ে: মা, আমি রান্না শিখতে চাই।",
Santali_dataset_parsed.csv,26,iskul cʰuʈi maha isin basaŋ t̪e.jaɾɛm cet̪̚ʔɘɲɘ.,Daughter: Will you teach me to cook during the school holidays?,মেয়ে: স্কুল ছুটির দিনে কি আমাকে রান্না শেখাবে?,
Santali_dataset_parsed.csv,27,nit̪ɔʔ ced̪aʔ isin basaŋ t̪e.jaɾ cet̪̚ʔɟɔŋɛm mɛned̪a?,Mother: Why do you want to learn cooking now?,মা: এখন কেন রান্না শিখতে চাও?,
Santali_dataset_parsed.csv,28,am ɟɔkʰɔn hãspat̪alɾɛm t̪ahɛ̃kana un ɔk̚t̪ɛ alɛ ɘɖi sɔmɔssaɾɛlɛ paɽa͡o̯lena.,Daughter: We had a lot of problems when you were in the hospital.,মেয়ে: তুমি যখন হাসপাতালে ছিলে তখন আমাদের অনেক সমস্যা হয়েছে।,
Santali_dataset_parsed.csv,29,isin basaŋ t̪e.jaɾ bɘɲd̪aɽelɛnt̪ɛ ɟɔm ɲu ɾe ɘɖi kɔsʈɔɾɛlɛ paɽa͡o̯lena.,Daughter: I can't cook so we had difficulty eating.,মেয়ে: রান্না পারি না তাই খাবার খেতে আমাদের কষ্ট হয়েছে।,
Santali_dataset_parsed.csv,30,cɛt̪̚ʔ cɛt̪̚ʔ isin basaŋ t̪e.jaɾ cet̪̚ʔɟɔŋɛm mened̪a ma lɘ.jɘɲmɛ.,Mother: What do you want to learn to cook?,মা: কী কী রান্না শিখতে চাও বলো?,
Santali_dataset_parsed.csv,31,amd̪ɔ hako aɾ ɟel isin basaŋ t̪e.jaɾ cet̪̚ʔ bam mened̪a.,Mother: But don't you want to learn how to cook fish and meat?,মা: কিন্তু তুমি কি মাছ ও মাংস রান্না শিখতে চাও না?,
Santali_dataset_parsed.csv,32,mɛnɛd̪ɘɲ mit̪̚ʔsã͡o̯t̪ɛ unɘʔ isin basaŋ t̪e.jaɾ cet̪̚ʔɟɔŋiɲ mɛnɛt̪̚ʔt̪ɛ ɾaŋga͡o̯ăʔam sɛ cɛt̪̚ʔ.,Daughter: But I thought you would get angry if I said so much together.,মেয়ে: কিন্তু এতকিছু একসাথে বললে তুমি রাগ করবে ভেবেছিলাম।,
Santali_dataset_parsed.csv,33,ɔnat̪ɛ ɟel aɾ hako ut̪u t̪e.jaɾ cet̪̚ʔɟɔŋɾe.jaʔ kat̪ʰa d̪ɔ bɘɲ met̪am kan t̪ahɛna.,Daughter: So I didn't talk about learning how to cook fish and meat.,মেয়ে: তাই মাছ ও মাংস রান্না শেখার কথা বলিনি।,
Santali_dataset_parsed.csv,34,"ɛnt̪ɛʔ isin basaŋ t̪e.jaɾ cɛt̪̚ʔleka ɾɘskɘɲ buɟʰhɘ͡o̯a, ɛʈaʔhɔɽ cet̪̚ʔakohɔ̃ oŋkage ɾɘskɘɲ ɘikɘ͡o̯a.","Mother: Because, as much as I love to cook, I also love to teach cooking.","মা: কারণ, আমার রান্না করতে যেমন ভালো লাগে, রান্না শেখাতেও ভালো লাগে।",
Santali_dataset_parsed.csv,35,"ɛgɔ, ad̪ɔ isin basaŋ ɔkt̪ɛ cɛt̪̚ʔ cɛt̪̚ʔko d̪isɘ d̪ɔhɔ ɟɘɾuɽa?","Daughter: What things need to be taken care of while cooking, mother?",মেয়ে: রান্নার সময় কী কী বিষয় খেয়াল রাখা দরকার মা?,
Santali_dataset_parsed.csv,36,ɟɔt̪ɔkʰɔn lahaɾɛ d̪isɘ͡i̯ ɟɘɾuɽt̪ama d̪aka͡i̯ ɔɽaʔɾɛ ɟɘɾuɽ ɟinisko menaʔa sɛ baŋ.,"Mother: First of all, check that the kitchen has all the necessary items.",মা: সবার আগে খেয়াল করতে হবে রান্নাঘরে দরকারি সকল জিনিসপত্র আছে কিনা।,
Santali_dataset_parsed.csv,37,aɽaʔsakam sɛ ut̪ut̪e.jaʔ gɛt̪̚ʔ lahaɾɛ mɔɟt̪ɛ ɘɾupʔ sapa͡i̯ hojo.a.,Mother: Wash the vegetables well in water before cutting them.,মা: শাক-সবজি কাটার আগে পানিতে ভালো করে ধুয়ে নিবে।,
Santali_dataset_parsed.csv,38,ɟahanaʔge t̪ʰɔɽa sunumt̪ɛm ut̪u.ja.,Mother: Use less oil while cooking any food.,মা: যে-কোনো খাবার রান্নার সময় কম তেল ব্যবহার করবে।,
Santali_dataset_parsed.csv,39,ut̪u͡i̯ t̪ʰɔɽa ɔk̚t̪ɛ lahaɾɛ ɟelɾɛ mɔsla makʰa͡o̯ d̪ɔhɔ͡i̯ ho.jo.a.,"Mother: Before cooking, put spices on the meat and keep it to marinate for a while.",মা: রান্না করার আগে মাংসে মশলা মাখিয়ে কিছুক্ষণ রেখে দিতে হবে।,
Santali_dataset_parsed.csv,40,t̪eheɲd̪ɔ a͡i̯maɲ cet̪̚ʔked̪a gɔː.,Daughter: I have learned a lot today mom.,মেয়ে: আজকে অনেক কিছু শিখলাম মা।,
Santali_dataset_parsed.csv,41,mit̪̚ʔgʰɘɽi lahaɾɛɲ sɛnd̪ɾakɛt̪̚ʔme.ja aɾ bɘɲ ɲamlɛt̪̚ʔme.ja.,Maloti: I looked for you a while back but couldn't find you.,মালতি: তোমাকে একটু আগে খুঁজে গিয়েছিলাম কিন্তু পাইনি।,
Santali_dataset_parsed.csv,42,okat̪ɛm sɛnlɛna?,Maloti: Where did you go?,মালতি: কোথায় গিয়েছিলে তুমি?,
Santali_dataset_parsed.csv,43,"alɛɾɛn aɾaʔ sɘnɖi͡i̯ at̪̚ʔlɛna, uni send̪ɾaɲ cala͡o̯lena.","Dolly: My red rooster was lost, so I went looking for it.","ডলি: আমার লাল মোরগটি হারিয়ে গিয়েছিল, সেটাকে খুঁজতে গিয়েছিলাম।",
Santali_dataset_parsed.csv,44,send̪ɾa ɲamked̪e.jam?,Maloti: Have you find it?,মালতি: খুঁজে পেয়েছ?,
Santali_dataset_parsed.csv,45,"hɛ̃ː, ɲamkid̪i.jɘɲ.","Dolly: Yes, got it.","ডলি: হ্যাঁ, পেয়েছি।",
Santali_dataset_parsed.csv,46,"ced̪aʔɛm t̪eŋgo͡akana, d̪uɽup̚ʔmɛ.","Dolly: Why are you standing, sit down.","ডলি: তুমি দাঁড়িয়ে আছো কেন, বসো।",
Santali_dataset_parsed.csv,47,nit̪̚ʔd̪ɔ bɘɲ d̪uɽup̚ʔa d̪i.,Maloti: I will not sit now [sister].,মালতি: এখন বসবো না (দিদি)।,
Santali_dataset_parsed.csv,48,ɔɽaʔɾɛ pɛɽako hɛʲc̚ʔakana.,Maloti: Guest has come to the house.,মালতি: বাড়িতে মেহমান/ অতিথি এসেছে।,
Santali_dataset_parsed.csv,49,ɔnat̪ɛ amʈʰɛniɲ hɛʲc̚ʔakana.,Maloti: So I have come to you.,মালতি: তাই তোমার কাছে এসেছি।,
Santali_dataset_parsed.csv,50,"ɔɽaʔɾɛ ca͡o̯le, d̪ɘl aɾ bele mena.a, mɛnɛʔ sunumd̪ɔ bɘnu.anaŋ.","Maloti: There is rice, pulses, eggs and everything in the house, but no oil.","মালতি: ঘরে চাল-ডাল-ডিম সবই আছে, কিন্তু তেল নেই।",
Santali_dataset_parsed.csv,51,cɛt̪̚ʔ amʈʰɛn t̪ʰɔɽa sunum ɲamkɔʔa?,Maloti: Can you give me some oil?,মালতি: তোমার কাছে কি একটু তেল পাওয়া যাবে?,
Santali_dataset_parsed.csv,52,"hɛ̃, mɛnaʔge.ja.","Dolly: Yes, available.","ডলি: হ্যাঁ, আছে।",
Santali_dataset_parsed.csv,53,"baŋ, bɔt̪ɔld̪ɔ bɘɲ ɘguo̯͡akad̪a.","Maloti: No, I have not brought the bottle.","মালতি: না, বোতল আনিনি।",
Santali_dataset_parsed.csv,54,"ʈʰikge.ja, kolka͡i̯mɛ.","Dolly: All right, send her away.","ডলি: ঠিক আছে, তাকে পাঠিয়ে দাও।",
Santali_dataset_parsed.csv,55,"ɛːd̪i, ɔɽaʔɾɛ menama?","Maloti: [Sister], Are you at home?","মালতি: (দিদি), বাড়িতে আছো?",
Santali_dataset_parsed.csv,56,"hɛ̃, minɘɲgecɔ.","Dolly: Yes, I am.","ডলি: হ্যাঁ, আছি।",
Santali_dataset_parsed.csv,57,cɛt̪̚ʔ ceka͡o̯ăkana?,Dolly: What happened?,ডলি: কী হয়েছে?,
Santali_dataset_parsed.csv,58,ɔkaseʲc̚ɛ d̪ɘɽled̪a unid̪ɔ?,Maloti: Where did the rooster go?,মালতি: কোথায় গিয়েছিল মোরগটি?,
Santali_dataset_parsed.csv,59,alɛ ɔɽaʔ aɽe busup̚ʔpalaɾɛ͡i̯ sɔgɛ.jakantahɛkana.,Dolly: It was hiding in the haystack next door.,ডলি: পাশের বাড়ির খড়ের গাদায় লুকিয়ে ছিল।,
Santali_dataset_parsed.csv,60,baɟaɾ kolko lɘgit̪̚ʔ ɔko͡i̯hɔ̃ bɘɲ ɲamɛt̪̚ʔko͡a̯.,Maloti: But can't find anyone to send to the market.,মালতি: কিন্তু বাজারে পাঠানোর জন্য কাউকে খুঁজে পাচ্ছি না।,
Santali_dataset_parsed.csv,61,lɘ.jɘɲmɛ cɛt̪̚ʔko laga͡o̯ma?,"Dolly: Tell me, what do you need?","ডলি: বলো, তোমার কী লাগবে?",
Santali_dataset_parsed.csv,62,sunum id̪ilɘgit̚ʔ bɔt̪ɔlɛm ɘguo̯͡akad̪a?,Dolly: Have you brought the bottle to take the oil?,ডলি: তুমি তেল নেওয়ার জন্য বোতল নিয়ে এসেছ?,
Santali_dataset_parsed.csv,63,iɲɾɛn kuɽigid̪̚ɾɘ sunum bɔt̪ɔlat̪ɛɲ kolka͡i̯kana.,Maloti: I am sending my daughter with a bottle to contain oil.,মালতি: আমি আমার মেয়েকে তেলের বোতল নিয়ে পাঠিয়ে দিচ্ছি।,
Santali_dataset_parsed.csv,64,amʈʰɛn ɖʰeɾɲɔʔ buluŋ menaʔkʰan mit̪̚ʔbɘʈi kolt̪oɾao͡ɘ̯ɲmɛ.,"Dolly: If you have extra salt, send me a bowl of salt.",ডলি: তোমার কাছে বাড়তি লবণ থাকলে আমার জন্য এক বাটি লবণ পাঠিয়ে দিও।,
Santali_dataset_parsed.csv,65,iɲd̪ɔ ɘɖi ãʈ t̪et̪aŋid̪iɲkana.,Ritu: I am very thirsty.,রিতু: আমার খুব পানির পিপাসা/ তৃষ্ণা পেয়েছে।,
Santali_dataset_parsed.csv,66,"hɛ̃, imamkɘnɘɲ.","Preetu: Yes, sure.","প্রিতু: হ্যাঁ, দিচ্ছি।",
Santali_dataset_parsed.csv,67,nit̪̚ʔ amd̪ɔ ɔkakʰɔnɛm hɛʲc̚ʔɛna?,Pritu: Where did you come from now?,প্রিতু: তুমি এখন কোথা থেকে এলে?,
Santali_dataset_parsed.csv,68,"ɔɽaʔɾɛ d̪aʔ bɘnuʔa, ɔnat̪ɛ d̪aʔ id̪iɲ hɛʲc̚ʔakana.",Ritu: I don't have water at home so I have come to fetch water.,"রিতু: আমার বাড়িতে পানি নেই, তাই পানি নিতে এসেছি।",
Santali_dataset_parsed.csv,69,hud̪isɔʔkɘnɘɲ d̪okanɾɛ pasɛʲc̚ʔ mɛna.ja.,Ritu: I think he is in the shop now.,রিতু: আমার মনে হয় — সে এখন দোকানে আছে।,
Santali_dataset_parsed.csv,70,mɛnkʰan ɔɽaʔɾɛ ɾu͡ɘɽ kat̪ɛʔiɲ ɲɛlked̪a uni d̪ɔ d̪aʔ ba͡i̯ ɘgu͡akad̪a.,Ritu: But I came home and saw that he did not bring water.,রিতু: কিন্তু বাড়ি ফিরে দেখলাম সে পানি আনেনি।,
Santali_dataset_parsed.csv,71,"hɛ̃, ale.jaʔ nɔlkupkʰɔn hɔ̃ nit̪̚ʔ d̪ɔ d̪aʔ baŋ ɾakabɔʔkana.","Preetu: Yes, water does not come up in our tube wells/ taps/ wells as before.","প্রিতু: হ্যাঁ, আমাদের নলকূপেও/ কল/ কুয়াতেও আগের মতো পানি ওঠে না।",
Santali_dataset_parsed.csv,72,niɾon d̪in hiɟuʔɾɛ ni.jɘ sɔmɔssa nɛlɔʔkana.,Preetu: This scarcity of water starts with the arrival of hot summer days.,প্রিতু: গরমের দিন আসার সাথে সাথে পানির এই সমস্যা শুরু হয়।,
Santali_dataset_parsed.csv,73,d̪aʔ ɾenaʔ ɔbʰab d̪ɔ ɛʈaʔ ɟahanaʔt̪ɛ baŋ miʈɘ.a.,Ritu: Scarcity of water cannot be filled with anything else.,রিতু: পানির অভাব অন্যকিছু দিয়ে পূরণ করা যায় না।,
Santali_dataset_parsed.csv,74,"isin basan kʰɔn ɛhɔp̚ʔ kat̪ɛʔ t̪ʰɘɾibɘʈi gasa͡o̯, ɖɘbɾɘʔ, aɾ ɟɔt̪ɔ kɘmiɾege d̪aʔ laga.a.","Ritu: From eating to cooking, bathing, washing everything requires water.","রিতু: খাওয়া থেকে শুরু করে রান্না, গোসল, ধোয়া-মোছা সব কাজেই পানি লাগে।",
Santali_dataset_parsed.csv,75,abo d̪ɔ d̪aʔ ɾenaʔ ɛʈkɛʈɔɽẽ caba͡i̯ lɘgit̪̚ʔ ɟɔt̪ɔkot̪ɛbon gapal maɾaʔa.,Preetu: We will have a meeting with everyone to solve the water crisis.,প্রিতু: আমরা পানির সমস্যা সমাধানের জন্য সবাইকে নিয়ে মিটিং করবো।,
Santali_dataset_parsed.csv,76,mit̪̚ʔ g͡lɘs d̪aʔɛm imɘɲa?,Ritu: Can I have a glass of water?,রিতু: আমাকে কি এক গ্লাস পানি দেওয়া যাবে?,
Santali_dataset_parsed.csv,77,iɲd̪ɔ bɘ͡i̯hɘɽ kʰɔniɲ hɛʲc̚ʔɛna.,Ritu: I have come from the fields.,রিতু: আমি ক্ষেত/ মাঠ থেকে এলাম।,
Santali_dataset_parsed.csv,78,amɾɛn ɔɽaʔhɔɽ dɔ͡i̯ oka͡i̯na?,Preetu: Where is your husband?,প্রিতু: তোমার স্বামী/ জামাই কোথায়?,
Santali_dataset_parsed.csv,79,set̪aʔɾɛ iɲd̪ɔ uni d̪aʔ aguɲ met̪ad̪i t̪ahɛ̃kana.,Ritu: In the morning I asked him to fetch water.,রিতু: সকালে আমি তাকে পানি আনতে বলেছিলাম।,
Santali_dataset_parsed.csv,80,alɛd̪ɔ d̪inɘmge oka kɔl kʰɔn d̪aʔlɛ ɘgu͡i̯ ɔna d̪ɔ bɘɽiʲc̚ʔakana.,Ritu: The tube well/ tap/ well that we fetch water from every day is ruined.,রিতু: আমরা প্রতিদিন যে নলকূপ/ কল/ কুয়া থেকে পানি আনি — সেটা নষ্ট হয়ে গেছে।,
Santali_dataset_parsed.csv,81,alɛ ɔɽaʔ aɖɛpasɛ aɾ kɔl bɘnu.a.,Ritu: There is no other tube well/ tap/ well around our house.,রিতু: আমাদের বাড়ির আশেপাশে আর কোনো নলকূপ/ কল/ কুয়া নেই।,
Santali_dataset_parsed.csv,82,d̪aʔ ɾe.jaʔ ɛʈkɛʈɔ̃ɽɛʔ alɔ hojoʔ lɘgit̪̚ʔt̪ɛ mɔ̃ɟ bɛbɔst̪a hat̪͡o̯ ɟɘɾuɽa.,Preetu: Permanent/ long term/ good solution is needed to avoid water problems.,প্রিতু: পানির সমস্যা যেন না হয় এর জন্য স্থায়ী/ দীর্ঘমেয়াদী/ ভালো সমাধান দরকার।,
Santali_dataset_parsed.csv,83,at̪oɾɛn ɟɔt̪ɔko mit̪̚ʔsã͡o̯t̪ɛ duɽup̚ʔ kat̪ɛ no̯͡a bisɔjt̪ɛ gapalmaɾa͡o̯ ɟɘɾuɽa.,Preetu: Everyone in the village needs to sit together and discuss this issue.,প্রিতু: গ্রামের সবাই একসাথে বসে এই বিষয়ে আলোচনা করা দরকার।,
Santali_dataset_parsed.csv,84,kɔl sɛ kuɲ baŋkʰan d̪aʔ lɘgit̪̚ʔ ɛʈaʔ bɛbɔsta̪ t̪ahɛn ɟɘɾuɽa.,"Ritu: Apart from tube wells/ wells, there should be other water systems.",রিতু: নলকূপ/ কূপ/ কুয়া ছাড়াও পানির অন্য ব্যবস্থাও থাকা দরকার।,
Santali_dataset_parsed.csv,85,"ɟelɛka, sɛɾma d̪aʔ aɾɟa͡o̯ d̪ɔhɔkaʔ.","Ritu: Like, rain water reservation.","রিতু: যেমন, বৃষ্টির পানি ধরে রাখা।",
Santali_dataset_parsed.csv,86,no̯͡a d̪ɔ ɘɖi bʰɘbit̪̚ ɾe.jaʔ katʰa kana.,Preetu: This is a matter of concern!,প্রিতু: এটা তো চিন্তার বিষয়!,
Santali_dataset_parsed.csv,87,unɾɛ amaʔ d̪ɔ ɾu̯͡ɘ aɾ laʲc̚ʔ haso t̪ahɛ̃kan t̪ɛ bam cala͡o̯ d̪aɽe.jad̪a.,"Father: At that moment you had a fever and stomach ache, that is why you couldn't go.","বাবা: তখন তোমার জ্বর আর পেটব্যথা হয়েছিল, তাই যেতে পারোনি।",
Santali_dataset_parsed.csv,88,ni̯͡ɘbaɾd̪ɔɲ id̪imɛge.ja aɾ ɛnɛʲc̚ʔ ɟinisiɲ kiɾiɲama.,Father: This time I will take you and buy you toys.,বাবা: এবার তোমাকে নিয়ে যাবো এবং খেলনা কিনে দেবো।,
Santali_dataset_parsed.csv,89,iɲsã͡o̯t̪ɛ huɖiɲ bɔ͡i̯hahɔ̃ id̪i͡ɛ̯ ho.jo.a.,Daughter: You have to take younger brother with me.,মেয়ে: আমার সাথে ছোটভাইকেও নিতে হবে।,
Santali_dataset_parsed.csv,90,iɲd̪ɔ uni mɔ̃ɟ mɔ̃ɟ ɟɔmaʔiɲ kiɾiɲa.ja.,Daughter: I will buy him delicious food items.,মেয়ে: তাকে আমি মজার মজার খাবার কিনে দেবো।,
Santali_dataset_parsed.csv,91,"am bɔ͡i̯had̪ɔ nit̪hɔ͡i̯ kɘʈiʲc̚ʔge.ja, ɾaʔ d̪aɽɛo̯͡aʔa͡i̯.","Father: Your brother is still very young, he might cry.","বাবা: তোমার ভাই এখনও অনেক ছোট, সে কান্নাকাটি করতে পারে।",
Santali_dataset_parsed.csv,92,t̪ʰoɽa͡i̯ lɘʈuɲɔʔlɛnkʰan mɛlaɲ id̪i͡i̯ja.,Father: I will take him to the fair when he is a little grown up.,বাবা: আরেকটু বড় হলে তাকে মেলায় নিয়ে যাবো।,
Santali_dataset_parsed.csv,93,abo d̪ɔ bɛgɔɾ lɘ͡i̯t̪ege mɛlabon cala.a.,Father: We will go to the fair without acknowledging him.,বাবা: আমরা তাকে না জানিয়ে/ না বলে মেলায় যাবো।,
Santali_dataset_parsed.csv,94,uni d̪ɔ iɲ ba͡i̯ ɲɛlliɲkʰaʲc̚ʔɛ ɾaːga.,Daughter: He will cry if he doesn't see me.,মেয়ে: সে আমাকে দেখতে না পেলেই কাঁদবে।,
Santali_dataset_parsed.csv,95,ɾu͡ɘɽ ɔkt̪ɛ uni lɘgit̪̚ʔ ɟɔmaʔ aɾ ɛnɛʲc̚ʔ ɟiniskoɲ ɘgu t̪ɔɾaɔ̯͡a.ja.,Father: We will bring food and toys for him when we get back.,বাবা: ফেরার সময় তার জন্য খাবার ও খেলনা নিয়ে আসবো।,
Santali_dataset_parsed.csv,96,onako͡i̯ ɲam lekʰanɛ kusiʔa,Father: He will be happy when he gets them.,বাবা: সেগুলো পেলে সে খুশি হবে।,
Santali_dataset_parsed.csv,97,"ʈʰikge.ja baba, oŋka.jabo.","Daughter: Alright Father, I will do that.","মেয়ে: ঠিক আছে বাবা, তাই করবো।",
Santali_dataset_parsed.csv,98,"ɛː ba, dinkalɔm am d̪ɔ iɲ mɛla ɲɛl bam id̪i t̪aɾalid̪iɲa.","Daughter: Father, you didn't take me to the fair last year/ previous time.","মেয়ে: বাবা, গতবছর/ আগেরবার তুমি আমাকে মেলায় নিয়ে যাওনি।",
Santali_dataset_parsed.csv,99,ni͡ɘbaɾd̪ɔ id̪iɲgi laga͡o̯ma,Daughter: This time you must take me.,মেয়ে: এবার আমাকে নিতেই হবে।,
Santali_dataset_parsed.csv,100,amd̪ɔ hasa ɾenaʔ put̪ul aɾ sad̪ɔmɛm kiɾiɲiɲɘ.,Daughter: You shall buy me a clay doll and horse.,মেয়ে: আমাকে তুমি মাটির পুতুল আর ঘোড়া কিনে দিবে।,
Santali_dataset_parsed.csv,101,ɔkɔ͡i̯cɔŋ mit̪̚ʔ hɔɽaʔ ɾaʔiɲ aɲɟɔmɛd̪a.,1st Friend: I can hear someone crying.,১ম বন্ধু: আমি একজনের কান্না শুনতে পাচ্ছি।,
Santali_dataset_parsed.csv,102,hɔ͡i̯t̪o bɘɽiʲc̚ʔ ɟahanaʔ ho͡i̯.akana.,1st Friend: It seems something bad happened.,১ম বন্ধু: মনে হয় খারাপ কিছু ঘটেছে।,
