file,utterance_id,root_annotation_id,root_tier,start_ms,end_ms,ref,mb,gl,ft,ipa,bangla,english,ipa_original,ipa_normalized,segmentation,gloss,notes,all_tiers_json
bangla_sentences_glossed.eaf,11,a11,ref,22000,24000,iɲ gɔgɔ̯͡aʔ isin basaŋ d̪ɔ ɘɖigi sibila mɛnkʰan iɲɾɛn kɘʈiʲc̚ʔ bɔ͡i̯ha d̪ɔ ɔna ba͡i̯ kusiɔ̯͡aʔa,iɲ gɔgɔ̯͡a-ʔ isin basaŋ d̪ɔ ɘɖi-gi sibil-a mɛnkʰan iɲ-ɾɛn kɘʈiʲc̚ʔ bɔ͡i̯ha d̪ɔ ɔna ba͡i̯ kusi-ɔ̯͡a-ʔ-a,1SG mother-GEN hand food TOP very-EMPH delicious-FIN but 1SG-GEN younger brother TOP that eat-INF like-GEN-M-FIN,"My mother's cooking is very tasty, but my younger brother does not like to eat it.",,,,,,,,,"{""ft"": [""My mother's cooking is very tasty, but my younger brother does not like to eat it.""], ""gl"": [""1SG mother-GEN hand food TOP very-EMPH delicious-FIN but 1SG-GEN younger brother TOP that eat-INF like-GEN-M-FIN""], ""mb"": [""iɲ gɔgɔ̯͡a-ʔ isin basaŋ d̪ɔ ɘɖi-gi sibil-a mɛnkʰan iɲ-ɾɛn kɘʈiʲc̚ʔ bɔ͡i̯ha d̪ɔ ɔna ba͡i̯ kusi-ɔ̯͡a-ʔ-a""], ""ref"": [""iɲ gɔgɔ̯͡aʔ isin basaŋ d̪ɔ ɘɖigi sibila mɛnkʰan iɲɾɛn kɘʈiʲc̚ʔ bɔ͡i̯ha d̪ɔ ɔna ba͡i̯ kusiɔ̯͡aʔa""]}"
bangla_sentences_glossed.eaf,12,a12,ref,24200,26200,hĭɟuʔkan cʰuʈiɾɛ iɲd̪ɔ ɖʰakaɲ cala.a aɾ baŋkʰan sa͡i̯kel cala͡o̯iɲ ciːd̪a,hĭɟuʔ-kan cʰuʈi-ɾɛ iɲ-d̪ɔ ɖʰaka-iɲ cala-a aɾ baŋ-kʰan sa͡i̯kel cala͡o̯-iɲ ciː-d̪a,next-PROG holiday-LOC 1SG-TOP Dhaka-OBJ go-FIN or NEG-COND bicycle ride-OBJ learn-INCH,On the next holiday I will go to Dhaka or else learn to ride a bicycle.,,,,,,,,,"{""ft"": [""On the next holiday I will go to Dhaka or else learn to ride a bicycle.""], ""gl"": [""next-PROG holiday-LOC 1SG-TOP Dhaka-OBJ go-FIN or NEG-COND bicycle ride-OBJ learn-INCH""], ""mb"": [""hĭɟuʔ-kan cʰuʈi-ɾɛ iɲ-d̪ɔ ɖʰaka-iɲ cala-a aɾ baŋ-kʰan sa͡i̯kel cala͡o̯-iɲ ciː-d̪a""], ""ref"": [""hĭɟuʔkan cʰuʈiɾɛ iɲd̪ɔ ɖʰakaɲ cala.a aɾ baŋkʰan sa͡i̯kel cala͡o̯iɲ ciːd̪a""]}"
bangla_sentences_glossed.eaf,13,a13,ref,26400,28400,iɲd̪ɔ baŋlat̪ɛ kat̪ʰaɲ ɾɔːɽa aɾ iŋɾeɟit̪ɛhɔ̃ katʰaɲ ɾɔɽ d̪aɽeo̯͡aʔa,iɲ-d̪ɔ baŋla-t̪ɛ kat̪ʰa-iɲ ɾɔːɽ-a aɾ iŋɾeɟi-t̪ɛ-hɔ̃ katʰa-iɲ ɾɔɽ d̪aɽe-o̯͡a-ʔ-a,1SG-TOP Bengali-INS word-OBJ speak-FIN and English-INS-also word-OBJ speak be.able-REFL-M-FIN,I speak Bengali and can also speak English.,,,,,,,,,"{""ft"": [""I speak Bengali and can also speak English.""], ""gl"": [""1SG-TOP Bengali-INS word-OBJ speak-FIN and English-INS-also word-OBJ speak be.able-REFL-M-FIN""], ""mb"": [""iɲ-d̪ɔ baŋla-t̪ɛ kat̪ʰa-iɲ ɾɔːɽ-a aɾ iŋɾeɟi-t̪ɛ-hɔ̃ katʰa-iɲ ɾɔɽ d̪aɽe-o̯͡a-ʔ-a""], ""ref"": [""iɲd̪ɔ baŋlat̪ɛ kat̪ʰaɲ ɾɔːɽa aɾ iŋɾeɟit̪ɛhɔ̃ katʰaɲ ɾɔɽ d̪aɽeo̯͡aʔa""]}"
bangla_sentences_glossed.eaf,14,a14,ref,28600,30600,iɲ d̪ɔɲ kɘmi kana aɾ sumɔn d̪ɔ͡i̯ ɟɘpit̪̚ʔed̪a,iɲ d̪ɔ-iɲ kɘmi kan-a aɾ sumɔn d̪ɔ͡i̯ ɟɘpi-t̪̚ʔe-d̪a,1SG TOP-OBJ work COP.PROG-FIN and Suman TOP sleep-3SG.SUBJ-PST,I am working and Suman is sleeping.,,,,,,,,,"{""ft"": [""I am working and Suman is sleeping.""], ""gl"": [""1SG TOP-OBJ work COP.PROG-FIN and Suman TOP sleep-3SG.SUBJ-PST""], ""mb"": [""iɲ d̪ɔ-iɲ kɘmi kan-a aɾ sumɔn d̪ɔ͡i̯ ɟɘpi-t̪̚ʔe-d̪a""], ""ref"": [""iɲ d̪ɔɲ kɘmi kana aɾ sumɔn d̪ɔ͡i̯ ɟɘpit̪̚ʔed̪a""]}"
bangla_sentences_glossed.eaf,15,a15,ref,30800,32800,mɛlaɾɛɲ d̪aɽankan t̪ahɛ̃na ac̚kagi uniɲ ɲɛlɲamked̪e̯͡a,mɛla-ɾɛ-iɲ d̪aɽan-kan t̪ahɛ̃-n-a ac̚ka-gi uni-iɲ ɲɛl-ɲam-ked̪e-a,fair-LOC-OBJ walk-PROG stay-TR-FIN suddenly-EMPH 3SG-OBJ see-BEN-PST.3SG-FIN,I was walking at the fair and suddenly I saw him.,,,,,,,,,"{""ft"": [""I was walking at the fair and suddenly I saw him.""], ""gl"": [""fair-LOC-OBJ walk-PROG stay-TR-FIN suddenly-EMPH 3SG-OBJ see-BEN-PST.3SG-FIN""], ""mb"": [""mɛla-ɾɛ-iɲ d̪aɽan-kan t̪ahɛ̃-n-a ac̚ka-gi uni-iɲ ɲɛl-ɲam-ked̪e-a""], ""ref"": [""mɛlaɾɛɲ d̪aɽankan t̪ahɛ̃na ac̚kagi uniɲ ɲɛlɲamked̪e̯͡a""]}"
bangla_sentences_glossed.eaf,16,a16,ref,33000,35000,am d̪ɔ pasɛn bam pɘt̪jɘ͡o̯ăʔa mɛnkʰan no̯͡age sɘɾi.jaʔkana,am d̪ɔ pasɛn ba-m pɘt̪jɘ͡o̯-ă-ʔ-a mɛnkʰan no̯͡a-ge sɘɾi.jaʔ-kan-a,2SG TOP perhaps NEG-2SG.SUBJ believe-IRREAL-M-FIN but this-EMPH truth-PROG-FIN,"You may not believe it, but this is the truth.",,,,,,,,,"{""ft"": [""You may not believe it, but this is the truth.""], ""gl"": [""2SG TOP perhaps NEG-2SG.SUBJ believe-IRREAL-M-FIN but this-EMPH truth-PROG-FIN""], ""mb"": [""am d̪ɔ pasɛn ba-m pɘt̪jɘ͡o̯-ă-ʔ-a mɛnkʰan no̯͡a-ge sɘɾi.jaʔ-kan-a""], ""ref"": [""am d̪ɔ pasɛn bam pɘt̪jɘ͡o̯ăʔa mɛnkʰan no̯͡age sɘɾi.jaʔkana""]}"
bangla_sentences_glossed.eaf,17,a17,ref,35200,37200,am calaʔ kʰaʲc̚ʔ calaʔmɛ iɲ d̪ɔ baŋ,am calaʔ kʰaʲc̚ʔ calaʔ-mɛ iɲ d̪ɔ baŋ,2SG go-M wish go-IMP.2SG 1SG TOP NEG,You may go if you wish; I will not go.,,,,,,,,,"{""ft"": [""You may go if you wish; I will not go.""], ""gl"": [""2SG go-M wish go-IMP.2SG 1SG TOP NEG""], ""mb"": [""am calaʔ kʰaʲc̚ʔ calaʔ-mɛ iɲ d̪ɔ baŋ""], ""ref"": [""am calaʔ kʰaʲc̚ʔ calaʔmɛ iɲ d̪ɔ baŋ""]}"
bangla_sentences_glossed.eaf,18,a18,ref,37400,39400,uni.jaʔ muʈʰɘn ɲɛlt̪igiɲ buɟhɘ͡o̯d̪a ɟe uni͡i̯ komɽo̯͡akaʔa,uni-jaʔ muʈʰɘn ɲɛl-t̪i-gi-iɲ buɟhɘ͡o̯-d̪a ɟe uni-i̯ komɽ-o̯͡a-k-aʔ-a,3SG-GEN face see-CAUS-EMPH-OBJ understand-PST.1SG COMP 3SG-3SG.OBJ steal-REFL-PFV-M-FIN,I understood from his facial expression that he had stolen.,,,,,,,,,"{""ft"": [""I understood from his facial expression that he had stolen.""], ""gl"": [""3SG-GEN face see-CAUS-EMPH-OBJ understand-PST.1SG COMP 3SG-3SG.OBJ steal-REFL-PFV-M-FIN""], ""mb"": [""uni-jaʔ muʈʰɘn ɲɛl-t̪i-gi-iɲ buɟhɘ͡o̯-d̪a ɟe uni-i̯ komɽ-o̯͡a-k-aʔ-a""], ""ref"": [""uni.jaʔ muʈʰɘn ɲɛlt̪igiɲ buɟhɘ͡o̯d̪a ɟe uni͡i̯ komɽo̯͡akaʔa""]}"
bangla_sentences_glossed.eaf,19,a19,ref,39600,41600,iɲ baba ɘɖi kɘʈiʲc̚ʔ t̪ahɛ̃kanɾegi iɲ haɽamba d̪ɔ͡i̯ gɔʲc̚ʔĕna,iɲ baba ɘɖi kɘʈiʲc̚ʔ t̪ahɛ̃-kan-ɾe-gi iɲ haɽamba d̪ɔ͡i̯ gɔʲc̚ʔ-ĕna,1SG father very young stay-PROG-LOC-EMPH 1SG grandfather TOP die-1PL.PST,My grandfather died when my father was very young.,,,,,,,,,"{""ft"": [""My grandfather died when my father was very young.""], ""gl"": [""1SG father very young stay-PROG-LOC-EMPH 1SG grandfather TOP die-1PL.PST""], ""mb"": [""iɲ baba ɘɖi kɘʈiʲc̚ʔ t̪ahɛ̃-kan-ɾe-gi iɲ haɽamba d̪ɔ͡i̯ gɔʲc̚ʔ-ĕna""], ""ref"": [""iɲ baba ɘɖi kɘʈiʲc̚ʔ t̪ahɛ̃kanɾegi iɲ haɽamba d̪ɔ͡i̯ gɔʲc̚ʔĕna""]}"
bangla_sentences_glossed.eaf,20,a20,ref,41800,43800,nɔʔɔ͡i̯pɛ ɲɛlɛʔ ɔɽaʔ d̪ɔ alɛ.jaʔkana,nɔʔɔ͡i̯-pɛ ɲɛlɛ-ʔ ɔɽaʔ d̪ɔ alɛ-jaʔ-kan-a,this-PL see-M house TOP 1PL.EXCL-GEN-PROG-FIN,This house that you are seeing is ours.,,,,,,,,,"{""ft"": [""This house that you are seeing is ours.""], ""gl"": [""this-PL see-M house TOP 1PL.EXCL-GEN-PROG-FIN""], ""mb"": [""nɔʔɔ͡i̯-pɛ ɲɛlɛ-ʔ ɔɽaʔ d̪ɔ alɛ-jaʔ-kan-a""], ""ref"": [""nɔʔɔ͡i̯pɛ ɲɛlɛʔ ɔɽaʔ d̪ɔ alɛ.jaʔkana""]}"
bangla_sentences_glossed.eaf,21,a21,ref,44000,46000,ɔkaʈaʔ kat̪ʰam ɾɔɽkɛt̪̚ʔ ɔna d̪ɔɲ baɖa͡i̯ge̯͡a,ɔka-ʈaʔ kat̪ʰa-m ɾɔɽ-kɛt̪̚ʔ ɔna d̪ɔ-iɲ baɖa͡i̯-ge-a,which-thing word-2SG.POSS say-PST.2SG that TOP-OBJ know-EMPH-FIN,"The thing that you said, that I know.",,,,,,,,,"{""ft"": [""The thing that you said, that I know.""], ""gl"": [""which-thing word-2SG.POSS say-PST.2SG that TOP-OBJ know-EMPH-FIN""], ""mb"": [""ɔka-ʈaʔ kat̪ʰa-m ɾɔɽ-kɛt̪̚ʔ ɔna d̪ɔ-iɲ baɖa͡i̯-ge-a""], ""ref"": [""ɔkaʈaʔ kat̪ʰam ɾɔɽkɛt̪̚ʔ ɔna d̪ɔɲ baɖa͡i̯ge̯͡a""]}"
bangla_sentences_glossed.eaf,22,a22,ref,46200,48200,koʈʰin kɘmikanɾɛhɔ̃ no̯͡ad̪ɔɲ kuɾumuʈu.ja,koʈʰin kɘmi-kan-ɾɛ-hɔ̃ no̯͡a-d̪ɔ-iɲ kuɾumuʈu-ja,difficult work-PROG-LOC-even this-TOP-OBJ try-FIN,"Although the task is difficult, I will still try to do it.",,,,,,,,,"{""ft"": [""Although the task is difficult, I will still try to do it.""], ""gl"": [""difficult work-PROG-LOC-even this-TOP-OBJ try-FIN""], ""mb"": [""koʈʰin kɘmi-kan-ɾɛ-hɔ̃ no̯͡a-d̪ɔ-iɲ kuɾumuʈu-ja""], ""ref"": [""koʈʰin kɘmikanɾɛhɔ̃ no̯͡ad̪ɔɲ kuɾumuʈu.ja""]}"
bangla_sentences_glossed.eaf,23,a23,ref,48400,50400,ɔɽaʔɛm hɛʲc̚ʔakanɾɛd̪ɔ d̪ɛlalaŋ d̪ãɽa ɘgu.ja,ɔɽaʔ-ɛm hɛʲc̚ʔ-ak-an-ɾɛ-d̪ɔ d̪ɛla-laŋ d̪ãɽa ɘgu-ja,home-2SG.POSS arrive-PFV-PROG-LOC-TOP let.us-1PL.EXCL.HORT around go-FIN,"Since you have come home, let us roam around.",,,,,,,,,"{""ft"": [""Since you have come home, let us roam around.""], ""gl"": [""home-2SG.POSS arrive-PFV-PROG-LOC-TOP let.us-1PL.EXCL.HORT around go-FIN""], ""mb"": [""ɔɽaʔ-ɛm hɛʲc̚ʔ-ak-an-ɾɛ-d̪ɔ d̪ɛla-laŋ d̪ãɽa ɘgu-ja""], ""ref"": [""ɔɽaʔɛm hɛʲc̚ʔakanɾɛd̪ɔ d̪ɛlalaŋ d̪ãɽa ɘgu.ja""]}"
bangla_sentences_glossed.eaf,24,a24,ref,50600,52600,am mam besge d̪ɛla ad̪ɔ pʰuʈbɔl gat̪elaŋ cala.a,am mam bes-ge d̪ɛla ad̪ɔ pʰuʈbɔl gat̪e-laŋ cala-a,2SG body good-EMPH let.us then football play-1PL.EXCL.HORT go-FIN,"Since you are healthy, let us go and play football.",,,,,,,,,"{""ft"": [""Since you are healthy, let us go and play football.""], ""gl"": [""2SG body good-EMPH let.us then football play-1PL.EXCL.HORT go-FIN""], ""mb"": [""am mam bes-ge d̪ɛla ad̪ɔ pʰuʈbɔl gat̪e-laŋ cala-a""], ""ref"": [""am mam besge d̪ɛla ad̪ɔ pʰuʈbɔl gat̪elaŋ cala.a""]}"
