file,utterance_id,start_ms,end_ms,ref,mb,gl,ft
santali_see_paradigm.eaf,32,62000,64000,iɲiɲ ɲɛlɛt̪̚ʔkan t̪ahɛ̃na,iɲ-iɲ ɲɛl-ɛ-t̪̚ʼkan t̪ahɛ̃-na,1SG-1SG see-PROG-PTCP-CONT stay.PST-FIN,I was watching.
santali_see_paradigm.eaf,33,64000,66000,ɘliɲliɲ ɲɛlɛt̪̚ʔkan t̪ahɛ̃na,ɘliɲ-liɲ ɲɛl-ɛ-t̪̚ʼkan t̪ahɛ̃-na,1DU.EXCL-1DU.EXCL see-PROG-PTCP-CONT stay.PST-FIN,We two were watching.
santali_see_paradigm.eaf,34,66000,68000,alɛlɛ ɲɛlɛt̪̚ʔkan t̪ahɛ̃na,alɛ-lɛ ɲɛl-ɛ-t̪̚ʼkan t̪ahɛ̃-na,1PL-1PL see-PROG-PTCP-CONT stay.PST-FIN,We were watching.
santali_see_paradigm.eaf,35,68000,70000,amɛm ɲɛlɛt̪̚ʔkan t̪ahɛ̃na,am-ɛm ɲɛl-ɛ-t̪̚ʼkan t̪ahɛ̃-na,2SG-2SG see-PROG-PTCP-CONT stay.PST-FIN,You were watching.
santali_see_paradigm.eaf,36,70000,72000,abɛnbɛn ɲɛlɛt̪̚ʔkan t̪ahɛ̃na,abɛn-bɛn ɲɛl-ɛ-t̪̚ʼkan t̪ahɛ̃-na,2DU-2DU see-PROG-PTCP-CONT stay.PST-FIN,You two were watching.
santali_see_paradigm.eaf,37,72000,74000,apɛpɛ ɲɛlɛt̪̚ʔkan t̪ahɛ̃na,apɛ-pɛ ɲɛl-ɛ-t̪̚ʼkan t̪ahɛ̃-na,2PL-2PL see-PROG-PTCP-CONT stay.PST-FIN,You were watching.
santali_see_paradigm.eaf,38,74000,76000,uni͡i̯ ɲɛlɛt̪̚ʔkan t̪ahɛ̃na,uni-i̯ ɲɛl-ɛ-t̪̚ʼkan t̪ahɛ̃-na,3SG.ANIM-3SG see-PROG-PTCP-CONT stay.PST-FIN,He/She was watching.
santali_see_paradigm.eaf,39,76000,78000,ɔna͡i̯ ɲɛlɛt̪̚ʔkan t̪ahɛ̃na,ɔna-i̯ ɲɛl-ɛ-t̪̚ʼkan t̪ahɛ̃-na,3SG.INANIM-3SG see-PROG-PTCP-CONT stay.PST-FIN,That was watching.
santali_see_paradigm.eaf,40,78000,80000,unkinkin ɲɛlɛt̪̚ʔkan t̪ahɛ̃na,unkin-kin ɲɛl-ɛ-t̪̚ʼkan t̪ahɛ̃-na,3DU.ANIM-3DU see-PROG-PTCP-CONT stay.PST-FIN,The two were watching.
santali_see_paradigm.eaf,41,80000,82000,ɔnakinkin ɲɛlɛt̪̚ʔkan t̪ahɛ̃na,ɔnakin-kin ɲɛl-ɛ-t̪̚ʼkan t̪ahɛ̃-na,3DU.INANIM-3DU see-PROG-PTCP-CONT stay.PST-FIN,Those two were watching.
santali_see_paradigm.eaf,42,82000,84000,onkoko ɲɛlɛt̪̚ʔkan t̪ahɛ̃na,onko-ko ɲɛl-ɛ-t̪̚ʼkan t̪ahɛ̃-na,3PL.ANIM-3PL see-PROG-PTCP-CONT stay.PST-FIN,They were watching.
santali_see_paradigm.eaf,43,84000,86000,ɔnakoko ɲɛlɛt̪̚ʔkan t̪ahɛ̃na,ɔnako-ko ɲɛl-ɛ-t̪̚ʼkan t̪ahɛ̃-na,3PL.INANIM-3PL see-PROG-PTCP-CONT stay.PST-FIN,Those were watching.
santali_see_paradigm.eaf,44,86000,88000,iɲiɲ ɲɛllɛd̪a,iɲ-iɲ ɲɛl-lɛ-d̪a,1SG-1SG see-REM.PST-FIN,I saw.
santali_see_paradigm.eaf,45,88000,90000,ɘliɲliɲ ɲɛllɛd̪a,ɘliɲ-liɲ ɲɛl-lɛ-d̪a,1DU.EXCL-1DU.EXCL see-REM.PST-FIN,We two saw.
santali_see_paradigm.eaf,46,90000,92000,alɛlɛ ɲɛllɛd̪a,alɛ-lɛ ɲɛl-lɛ-d̪a,1PL-1PL see-REM.PST-FIN,We saw.
santali_see_paradigm.eaf,47,92000,94000,amɛm ɲɛllɛd̪a,am-ɛm ɲɛl-lɛ-d̪a,2SG-2SG see-REM.PST-FIN,You saw.
santali_see_paradigm.eaf,48,94000,96000,abɛnbɛn ɲɛllɛd̪a,abɛn-bɛn ɲɛl-lɛ-d̪a,2DU-2DU see-REM.PST-FIN,You two saw.
santali_see_paradigm.eaf,49,96000,98000,apɛpɛ ɲɛllɛd̪a,apɛ-pɛ ɲɛl-lɛ-d̪a,2PL-2PL see-REM.PST-FIN,You saw.
santali_see_paradigm.eaf,50,98000,100000,uni͡i̯ ɲɛllɛd̪a,uni-i̯ ɲɛl-lɛ-d̪a,3SG.ANIM-3SG see-REM.PST-FIN,He/She saw.
santali_see_paradigm.eaf,51,100000,102000,ɔna͡i̯ ɲɛllɛd̪a,ɔna-i̯ ɲɛl-lɛ-d̪a,3SG.INANIM-3SG see-REM.PST-FIN,That saw.
santali_see_paradigm.eaf,52,102000,104000,unkinkin ɲɛllɛd̪a,unkin-kin ɲɛl-lɛ-d̪a,3DU.ANIM-3DU see-REM.PST-FIN,The two saw.
santali_see_paradigm.eaf,53,104000,106000,ɔnakinkin ɲɛllɛd̪a,ɔnakin-kin ɲɛl-lɛ-d̪a,3DU.INANIM-3DU see-REM.PST-FIN,Those two saw.
santali_see_paradigm.eaf,54,106000,108000,onkoko ɲɛllɛd̪a,onko-ko ɲɛl-lɛ-d̪a,3PL.ANIM-3PL see-REM.PST-FIN,They saw.
santali_see_paradigm.eaf,55,108000,110000,onakoko ɲɛllɛd̪a,onako-ko ɲɛl-lɛ-d̪a,3PL.INANIM-3PL see-REM.PST-FIN,Those saw.
santali_see_paradigm.eaf,56,110000,112000,iɲiɲ ɲɛla,iɲ-iɲ ɲɛl-a,1SG-1SG see-FIN,I will see.
santali_see_paradigm.eaf,57,112000,114000,aliɲliɲ ɲɛla,aliɲ-liɲ ɲɛl-a,1DU.INCL-1DU.INCL see-FIN,We two will see.
santali_see_paradigm.eaf,58,114000,116000,alɛlɛ ɲɛla,alɛ-lɛ ɲɛl-a,1PL-1PL see-FIN,We will see.
santali_see_paradigm.eaf,59,116000,118000,amɛm ɲɛla,am-ɛm ɲɛl-a,2SG-2SG see-FIN,You will see.
santali_see_paradigm.eaf,60,118000,120000,abɛnbɛn ɲɛla,abɛn-bɛn ɲɛl-a,2DU-2DU see-FIN,You two will see.
santali_see_paradigm.eaf,61,120000,122000,apɛpɛ ɲɛla,apɛ-pɛ ɲɛl-a,2PL-2PL see-FIN,You will see.
santali_see_paradigm.eaf,62,122000,124000,uni͡i̯ ɲɛla,uni-i̯ ɲɛl-a,3SG.ANIM-3SG see-FIN,He/She will see.
santali_see_paradigm.eaf,63,124000,126000,ɔna͡i̯ ɲɛla,ɔna-i̯ ɲɛl-a,3SG.INANIM-3SG see-FIN,That will see.
santali_see_paradigm.eaf,64,126000,128000,unkinkin ɲɛla,unkin-kin ɲɛl-a,3DU.ANIM-3DU see-FIN,The two will see.
santali_see_paradigm.eaf,65,128000,130000,ɔnakinkin ɲɛla,ɔnakin-kin ɲɛl-a,3DU.INANIM-3DU see-FIN,Those two will see.
santali_see_paradigm.eaf,66,130000,132000,onkoko ɲɛla,onko-ko ɲɛl-a,3PL.ANIM-3PL see-FIN,They will see.
santali_see_paradigm.eaf,67,132000,134000,onakoko ɲɛla,onako-ko ɲɛl-a,3PL.INANIM-3PL see-FIN,Those will see.
santali_see_paradigm.eaf,68,134000,136000,iɲ bɘɲ ɲɛla,iɲ bɘ-ɲ ɲɛl-a,1SG NEG-1SG see-FIN,I will not see.
santali_see_paradigm.eaf,69,136000,138000,ɘliɲ bɘliɲ ɲɛla,ɘliɲ bɘ-liɲ ɲɛl-a,1DU.EXCL NEG-1DU.EXCL see-FIN,We two will not see.
santali_see_paradigm.eaf,70,138000,140000,alɛ balɛ ɲɛla,alɛ ba-lɛ ɲɛl-a,1PL NEG-1PL see-FIN,We will not see.
santali_see_paradigm.eaf,71,140000,142000,am bam ɲɛla,am ba-m ɲɛl-a,2SG NEG-2SG see-FIN,You will not see.
santali_see_paradigm.eaf,72,142000,144000,abɛn babɛn ɲɛla,abɛn ba-bɛn ɲɛl-a,2DU NEG-2DU see-FIN,You two will not see.
santali_see_paradigm.eaf,73,144000,146000,apɛ bapɛ ɲɛla,apɛ ba-pɛ ɲɛl-a,2PL NEG-2PL see-FIN,You will not see.
santali_see_paradigm.eaf,74,146000,148000,uni ba͡i̯ ɲɛla,uni ba-i̯ ɲɛl-a,3SG.ANIM NEG-3SG see-FIN,He/She will not see.
santali_see_paradigm.eaf,75,148000,150000,ɔna ba͡i̯ ɲɛla,ɔna ba-i̯ ɲɛl-a,3SG.INANIM NEG-3SG see-FIN,That will not see.
santali_see_paradigm.eaf,76,150000,152000,uŋkin bɘkin ɲɛla,uŋkin bɘ-kin ɲɛl-a,3DU.ANIM NEG-3DU see-FIN,The two will not see.
santali_see_paradigm.eaf,77,152000,154000,onakin bɘkin ɲɛla,onakin bɘ-kin ɲɛl-a,3DU.INANIM NEG-3DU see-FIN,Those two will not see.
santali_see_paradigm.eaf,78,154000,156000,oŋko bako ɲɛla,oŋko ba-ko ɲɛl-a,3PL.ANIM NEG-3PL see-FIN,They will not see.
santali_see_paradigm.eaf,79,156000,158000,onkoko bako ɲɛla,onko-ko ba-ko ɲɛl-a,3PL.INANIM-3PL NEG-3PL see-FIN,Those will not see.
santali_see_paradigm.eaf,80,158000,160000,iɲiɲ ɲɛlɛd̪a,iɲ-iɲ ɲɛl-ɛ-d̪a,1SG-1SG see-PROG-FIN,I am seeing.
santali_see_paradigm.eaf,81,160000,162000,iɲiɲ ɲɛlakad̪a,iɲ-iɲ ɲɛl-a-ka-d̪a,1SG-1SG see-FIN-PRF-FIN,I have seen.
santali_imperatives_glossed.eaf,1,0,2000,d̪a.ja kat̪ɛ bʰit̪ɾi sɛʲc̚ʔ hiɟuʔ-mɛ,d̪a.ja kat̪ɛ bʰit̪ɾi sɛʲc̚ʔ hiɟuʔ-mɛ,Please Manner Inside DIR Come-IMP.2SG.POL,Please come in.
santali_imperatives_glossed.eaf,2,2200,4200,d̪a.ja kat̪ɛ ɾe͡aɽaʔ hat̪a͡omɛ,d̪a.ja kat̪ɛ ɾe͡aɽaʔ hat̪a͡o-mɛ,Please Manner Cold.Thing Take-IMP.2SG.POL,Please have something cold.
santali_imperatives_glossed.eaf,3,4400,6400,mit̪ʔ gʰɘɽi t̪ɘŋgi-mɛ,mit̪ʔ gʰɘɽi t̪ɘŋgi-mɛ,One Hour Wait-IMP.2SG.POL,Wait for a while.
santali_imperatives_glossed.eaf,4,6600,8600,ɔnaʈaʔ ɟɘɽ lɘ͡i-mɛ,ɔna-ʈaʔ ɟɘɽ lɘ͡i-mɛ,That-CLSSFR Incident Tell-IMP.2SG.POL,Tell that incident.
santali_imperatives_glossed.eaf,5,8800,10800,t̪ʰɔɽa bɘ͡i bɘ͡i-ɲɔʔ kat̪ʰa ɾɔɽ-mɛ,t̪ʰɔɽa bɘ͡i bɘ͡i-ɲɔʔ kat̪ʰa ɾɔɽ-mɛ,Little Slow-REDUP Talk Speak-IMP.2SG.POL,Speak slowly.
santali_imperatives_glossed.eaf,6,11000,13000,aɾhɔ̃ hiɟuʔ-mɛ,aɾhɔ̃ hiɟuʔ-mɛ,Again Come-IMP.2SG.POL,Come again.
santali_imperatives_glossed.eaf,7,13200,15200,ɔnɖɛ alom cala-a,ɔnɖɛ alom cala-a,There PROH Go-FIN.2SG,Don't you go there.
santali_imperatives_glossed.eaf,8,15400,17400,aɾ alom ɾɔɽ-a,aɾ alom ɾɔɽ-a,More PROH Speak-FIN.2SG,Don't talk anymore.
santali_imperatives_glossed.eaf,9,17600,19600,d̪a.ja kat̪ɛ nɔnɖɛ-m hiɟuʔ-a,d̪a.ja kat̪ɛ nɔnɖɛ-m hiɟuʔ-a,Please Manner Here-2SG Come-FIN.Q,Would you please come here for a bit?
santali_imperatives_glossed.eaf,10,19800,21800,t̪ʰɔɽa macʰa ɾɔɽ-mɛ,t̪ʰɔɽa macʰa ɾɔɽ-mɛ,Little Less Speak-IMP.2SG.POL,Speak less.
santali_imperatives_glossed.eaf,11,22000,24000,ɟɔɟɔm d̪uɽup̚ʔ-pɛ,ɟɔɟɔm d̪uɽup̚ʔ-pɛ,Eat Sit-IMP.2PL,Sit down to eat.
santali_imperatives_glossed.eaf,12,24200,26200,aɾhɔ̃ ɾɔɽ-mɛ,aɾhɔ̃ ɾɔɽ-mɛ,Again Speak-IMP.2SG.POL,Say it again.
santali_imperatives_glossed.eaf,13,26400,28400,iɲ sã͡ot̪ɛ alom ɾɔɽ-a,iɲ sã͡o-t̪ɛ alom ɾɔɽ-a,1SG COMIT-INSTR PROH Speak-FIN.2SG,You will not talk to me.
santali_imperatives_glossed.eaf,14,28600,30600,ɟɘst̪i kat̪ʰa alom ɾɔɽ-a,ɟɘst̪i kat̪ʰa alom ɾɔɽ-a,Much Talk PROH Speak-FIN.2SG,Don't talk too much.
santali_imperatives_glossed.eaf,15,30800,32800,ɘɖi gʰɘɽi-ʲc̚ʔ bahɾɛ-ɾɛ alom t̪ahɛ̃-na,ɘɖi gʰɘɽi-ʲc̚ʔ bahɾɛ-ɾɛ alom t̪ahɛ̃-na,So.Much Hour-ABL Outside-LOC PROH Stay-FIN.2SG,Don't stay out too long.
santali_imperatives_glossed.eaf,16,33000,35000,gɔɽɔ͡-ɘɲ-mɛ,gɔɽɔ-ɘɲ-mɛ,Help-1SG.OBJ-IMP.2SG.POL,Help me.
santali_imperatives_glossed.eaf,17,35200,37200,gɔɽɔ-a͡i-mɛ,gɔɽɔ-a͡i-mɛ,Help-3SG.OBJ-IMP.2SG.POL,Help him.
santali_imperatives_glossed.eaf,18,37400,39400,lɘʈu-ko manɔt̪ʔ-kom,lɘʈu-ko manɔt̪ʔ-kom,Elder-3PL Respect-IMP.2SG.3PL.OBJ,Respect the elders.
santali_imperatives_glossed.eaf,19,39600,41600,kɘʈi-ʲc̚ʔ-ko d̪ulɘɽ-kom,kɘʈi-ʲc̚ʔ-ko d̪ulɘɽ-kom,Young-ABL-3PL Love-IMP.2SG.3PL.OBJ,Love the youngers.
santali_imperatives_glossed.eaf,20,41800,43800,mɔ̃ɟ-t̪ɛ ɔɭɔʔ paɽhaʔ-mɛ,mɔ̃ɟ-t̪ɛ ɔɭɔʔ paɽhaʔ-mɛ,Well-INSTR Writing Study-IMP.2SG.POL,Study well.
santali_imperatives_glossed.eaf,21,44000,46000,gɔgo pɘɾsi ɟa͡oge d̪ulɘɽ-aʔ-mɛ,gɔgo pɘɾsi ɟa͡oge d̪ulɘɽ-aʔ-mɛ,Mother Tongue Always Love-CONT-IMP.2SG.POL,You will always love your mother tongue.
santali_imperatives_glossed.eaf,22,46200,48200,aɾhɔ̃ bɘ͡i bɘ͡i-t̪ɛ t̪aɽam-mɛ,aɾhɔ̃ bɘ͡i bɘ͡i-t̪ɛ t̪aɽam-mɛ,Again Slowly-REDUP-INSTR Walk-IMP.2SG.POL,Walk slower.
santali_imperatives_glossed.eaf,23,48400,50400,ãʈ mɘcʰi-ʲc̚ʔ ɾɔɽ-mɛ,ãʈ mɘcʰi-ʲc̚ʔ ɾɔɽ-mɛ,Voice Raise-ABL Speak-IMP.2SG.POL,Speak loudly.
santali_imperatives_glossed.eaf,24,50600,52600,d̪a.ja kat̪ɛ panahi bɔʲc̚ʔ kat̪ɛ bɔlɔʔ-mɛ,d̪a.ja kat̪ɛ panahi bɔʲc̚ʔ kat̪ɛ bɔlɔʔ-mɛ,Please Manner Shoe Remove-ABL Manner Enter-IMP.2SG.POL,Please take your shoes off before entering.
santali_imperatives_glossed.eaf,25,52800,54800,gapa set̪aʔ alɛ sã͡ot̪ɛ baski.ja-gɔʔ-mɛ,gapa set̪aʔ alɛ sã͡o-t̪ɛ baski.ja-gɔʔ-mɛ,Tomorrow Morning 1PL.EXCL COMIT-INSTR Breakfast.Eat-IMP.2SG.POL,Have breakfast with us tomorrow morning.
santali_imperatives_glossed.eaf,26,55000,57000,gapa t̪ikin alɛ sã͡ot̪ɛ maɲɟan-ɔʔ-mɛ,gapa t̪ikin alɛ sã͡o-t̪ɛ maɲɟan-ɔʔ-mɛ,Tomorrow Noon 1PL.EXCL COMIT-INSTR Eat.Lunch-IMP.2SG.POL,Eat lunch with us tomorrow noon.
santali_imperatives_glossed.eaf,27,57200,59200,gapa alɛ ɔɽaʔ-ɾɛ maɲɟan-ɔʔ-mɛ,gapa alɛ ɔɽaʔ-ɾɛ maɲɟan-ɔʔ-mɛ,Tomorrow 1PL.EXCL House-LOC Eat.Lunch-IMP.2SG.POL,Tomorrow you will have lunch at our home.
santali_imperatives_glossed.eaf,28,59400,61400,ɟɘst̪i gʰaɽi-ʲc̚ʔ bahɾɛ-ɾɛ alom t̪ahɛ̃-na,ɟɘst̪i gʰaɽi-ʲc̚ʔ bahɾɛ-ɾɛ alom t̪ahɛ̃-na,Much Hour-ABL Outside-LOC PROH Stay-FIN.2SG,Don't stay out too long.
santali_imperatives_glossed.eaf,29,61600,63600,t̪eheɲ d̪ɔ kɘmi alɔm cala-a,t̪eheɲ d̪ɔ kɘmi alɔm cala-a,Today TOP Work PROH Go-FIN.2SG,Don't you go to work today.
santali_imperatives_glossed.eaf,30,63800,65800,apɛ d̪ɔ cɛt̪ʔ t̪iheɲ calaʔ baŋ ho.joʔ t̪apɛ͡a,apɛ d̪ɔ cɛt̪ʔ t̪iheɲ calaʔ baŋ ho.joʔ t̪a-pɛ͡a,2PL TOP Q Today Go NEG Happen FIN-2PL.Q,Aren't you going today?
santali_imperatives_glossed.eaf,31,66000,68000,no͡a ciʈʰi ɔka ɔka-ɾɛ kol ho.jo-a aɾ ɔka ɔka-ɾɛ baŋ kol ho.jo-a,no͡a ciʈʰi ɔka ɔka-ɾɛ kol ho.jo-a aɾ ɔka ɔka-ɾɛ baŋ kol ho.jo-a,This Letter Where Where-LOC Send Happen-FIN And Where Where-LOC NEG Send Happen-FIN,Where should the letter be sent and where should it not be sent?
santali_imperatives_glossed.eaf,32,68200,70200,no͡a sɔŋbat̪ʔ ɔko͡i-koʈʰɛn baŋ kol ho.ja-kana,no͡a sɔŋbat̪ʔ ɔko͡i-ko-ʈʰɛn baŋ kol ho.ja-kana,This News Who-3PL-ABL NEG Send Happen-PST.FIN,Who has not been sent the news?
santali_imperatives_glossed.eaf,33,70400,72400,oŋko d̪ɔ cɛt̪ʔ no͡a kɘmi bako puɾɘ͡u d̪aɽɛ.jaʔ-a,oŋko d̪ɔ cɛt̪ʔ no͡a kɘmi ba-ko puɾɘ͡u d̪aɽɛ.jaʔ-a,3PL TOP Q This Work NEG-3PL Finish Can-FIN,Could they not complete this job?
santali_imperatives_glossed.eaf,34,72600,74600,ɟɔmaʔ-ko baŋ sibila-kana,ɟɔmaʔ-ko baŋ sibila-kana,Food-3PL NEG Tasty-PST.FIN,Is the food not good to eat?
santali_imperatives_glossed.eaf,35,74800,76800,amd̪ɔ ced̪aʔ hɔla ɔkat̪ehɔ̃ bam cala͡o-lena,am-d̪ɔ ced̪aʔ hɔla ɔka-t̪e-hɔ̃ ba-m cala͡o-len-a,2SG-TOP Why Yesterday Where-INSTR-Also NEG-2SG Go-PST-FIN,Why didn't you go anywhere yesterday?
santali_imperatives_glossed.eaf,36,77000,79000,ni͡ɘ d̪ʰa͡o d̪ɔ ced̪aʔ ɟɘst̪i ba͡i d̪aʔ-eda,ni͡ɘ d̪ʰa͡o d̪ɔ ced̪aʔ ɟɘst̪i baŋ d̪aʔ-eda,This Time TOP Why Much NEG Rain-NPST.FIN,Why is it not raining much this time?
santali_imperatives_glossed.eaf,37,79200,81200,amd̪ɔ uni hiɟuʔ bam mɛna-ka͡ode͡a,am-d̪ɔ uni hiɟuʔ ba-m mɛna-ka͡o-de͡a,2SG-TOP 3SG Come NEG-2SG Tell-CAUS-PST.FIN,Didn't you ask him to come?
santali_imperatives_glossed.eaf,38,81400,83400,iɲ t̪inɘʔ d̪in kʰɔn d̪aɽan bɘɲ cala͡o-akan ɔna d̪ɔɲ hiɽiɲ-ăkada,iɲ t̪inɘʔ d̪in kʰɔn d̪aɽan bɘ-ɲ cala͡o-akan ɔna d̪ɔ-ɲ hiɽiɲ-ăkada,1SG How.Many Day ABL Roaming NEG-1SG Go-HAB That TOP-1SG Forget-PRF.FIN,I forgot how long I haven't been travelling.
santali_imperatives_glossed.eaf,39,83600,85600,apɛ ɔkɔ͡i ɔkɔ͡i-ko ɔna ʈoʈʰa calaʔ bapɛ mene-da,apɛ ɔkɔ͡i ɔkɔ͡i-ko ɔna ʈoʈʰa calaʔ ba-pɛ mene-da,2PL Who Who-3PL That Place Go NEG-2PL Agree-FIN,How many of you do not agree to go to that place?
santali_imperatives_glossed.eaf,40,85800,87800,amd̪ɔ cɛʈ̪ʔ gapa ɔkat̪ɛhɔ̃ bam cala-a,am-d̪ɔ cɛʈ̪ʔ gapa ɔka-t̪ɛ-hɔ̃ ba-m cala-a,2SG-TOP Q Tomorrow Where-INSTR-Also NEG-2SG Go-FIN,Aren't you going anywhere tomorrow?
santali_imperatives_glossed.eaf,41,88000,90000,unɟɔkʰɛʲc̚ʔ,un-ɟɔkʰɛ-ʲc̚ʔ,That-Time-ABL,Then
santali_imperatives_glossed.eaf,42,90200,92200,nit̪ʔ,nit̪ʔ,Now,Now
santali_imperatives_glossed.eaf,43,92400,94400,hɔla,hɔla,Yesterday,Yesterday
santali_imperatives_glossed.eaf,44,94600,96600,gapa,gapa,Tomorrow,Tomorrow
santali_imperatives_glossed.eaf,45,96800,98800,mand̪ʰɛɾ,mand̪ʰɛɾ,Day.After.Tomorrow,The Day After Tomorrow
santali_imperatives_glossed.eaf,46,99000,101000,ni͡ɘd̪ʰa͡o,ni͡ɘ-d̪ʰa͡o,This-Time,This Time
santali_imperatives_glossed.eaf,47,101200,103200,nit̪ʔgi,nit̪ʔ-gi,Now-EMPH,Just Now
santali_imperatives_glossed.eaf,48,103400,105400,unɘʔd̪in,un-ɘʔ-d̪in,That-CLSSFR-Day,So Long (for that many days)
